run_id,K,bin_width,va_pct,va_expansion_rule,construction,placebo_type,timestamp,git_sha
bar_b2.0_v68_single_K45,45,2.0,0.68,single,bar_uniform,none,2026-08-07T04:59:13.866404+00:00,583018da
bar_b2.0_v68_single_K60,60,2.0,0.68,single,bar_uniform,none,2026-08-07T04:59:13.866409+00:00,583018da
bar_b2.0_v70_paired_K5,5,2.0,0.7,paired,bar_uniform,none,2026-08-07T04:59:15.493856+00:00,583018da
bar_b2.0_v70_paired_K10,10,2.0,0.7,paired,bar_uniform,none,2026-08-07T04:59:15.493893+00:00,583018da
bar_b2.0_v70_paired_K15,15,2.0,0.7,paired,bar_uniform,none,2026-08-07T04:59:15.493900+00:00,583018da
bar_b2.0_v70_paired_K20,20,2.0,0.7,paired,bar_uniform,none,2026-08-07T04:59:15.493906+00:00,583018da
bar_b2.0_v70_paired_K30,30,2.0,0.7,paired,bar_uniform,none,2026-08-07T04:59:15.493911+00:00,583018da
bar_b2.0_v70_paired_K45,45,2.0,0.7,paired,bar_uniform,none,2026-08-07T04:59:15.493916+00:00,583018da
bar_b2.0_v70_paired_K60,60,2.0,0.7,paired,bar_uniform,none,2026-08-07T04:59:15.493921+00:00,583018da
bar_b2.0_v70_single_K5,5,2.0,0.7,single,bar_uniform,none,2026-08-07T04:59:17.259832+00:00,583018da
bar_b2.0_v70_single_K10,10,2.0,0.7,single,bar_uniform,none,2026-08-07T04:59:17.259872+00:00,583018da
bar_b2.0_v70_single_K15,15,2.0,0.7,single,bar_uniform,none,2026-08-07T04:59:17.259879+00:00,583018da
bar_b2.0_v70_single_K20,20,2.0,0.7,single,bar_uniform,none,2026-08-07T04:59:17.259885+00:00,583018da
bar_b2.0_v70_single_K30,30,2.0,0.7,single,bar_uniform,none,2026-08-07T04:59:17.259900+00:00,583018da
bar_b2.0_v70_single_K45,45,2.0,0.7,single,bar_uniform,none,2026-08-07T04:59:17.259905+00:00,583018da
bar_b2.0_v70_single_K60,60,2.0,0.7,single,bar_uniform,none,2026-08-07T04:59:17.259910+00:00,583018da
bar_b2.0_v75_paired_K5,5,2.0,0.75,paired,bar_uniform,none,2026-08-07T04:59:18.841416+00:00,583018da
bar_b2.0_v75_paired_K10,10,2.0,0.75,paired,bar_uniform,none,2026-08-07T04:59:18.841465+00:00,583018da
bar_b2.0_v75_paired_K15,15,2.0,0.75,paired,bar_uniform,none,2026-08-07T04:59:18.841476+00:00,583018da
bar_b2.0_v75_paired_K20,20,2.0,0.75,paired,bar_uniform,none,2026-08-07T04:59:18.841486+00:00,583018da
bar_b2.0_v75_paired_K30,30,2.0,0.75,paired,bar_uniform,none,2026-08-07T04:59:18.841494+00:00,583018da
bar_b2.0_v75_paired_K45,45,2.0,0.75,paired,bar_uniform,none,2026-08-07T04:59:18.841502+00:00,583018da
bar_b2.0_v75_paired_K60,60,2.0,0.75,paired,bar_uniform,none,2026-08-07T04:59:18.841511+00:00,583018da
bar_b2.0_v75_single_K5,5,2.0,0.75,single,bar_uniform,none,2026-08-07T04:59:20.405225+00:00,583018da
bar_b2.0_v75_single_K10,10,2.0,0.75,single,bar_uniform,none,2026-08-07T04:59:20.405260+00:00,583018da
bar_b2.0_v75_single_K15,15,2.0,0.75,single,bar_uniform,none,2026-08-07T04:59:20.405267+00:00,583018da
bar_b2.0_v75_single_K20,20,2.0,0.75,single,bar_uniform,none,2026-08-07T04:59:20.405272+00:00,583018da
bar_b2.0_v75_single_K30,30,2.0,0.75,single,bar_uniform,none,2026-08-07T04:59:20.405277+00:00,583018da
bar_b2.0_v75_single_K45,45,2.0,0.75,single,bar_uniform,none,2026-08-07T04:59:20.405282+00:00,583018da
bar_b2.0_v75_single_K60,60,2.0,0.75,single,bar_uniform,none,2026-08-07T04:59:20.405287+00:00,583018da
footprint_canonical_K15,15,1.0,0.7,paired,footprint,none,2026-08-07T04:59:25.401882+00:00,583018da
placebo_stale5d_K15,15,1.0,0.7,paired,bar_uniform,stale_5d,2026-08-07T05:04:20.401654+00:00,583018da
placebo_shuffled_01_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401741+00:00,583018da
placebo_shuffled_02_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401752+00:00,583018da
placebo_shuffled_03_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401758+00:00,583018da
placebo_shuffled_04_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401764+00:00,583018da
placebo_shuffled_05_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401769+00:00,583018da
