tag,side,K,outcome,lift,ci_lo,ci_hi,n_cond_exc,n_cond_clusters,powered,null_spanning
2025H2,above,5,touched_poc,0.0955555555555555,0.04068573581702392,0.148839154367084,150,115,True,False
2025H2,above,5,reached_opposite_edge,0.05555555555555558,0.00400613195609609,0.10805800588078049,150,115,True,False
2025H2,above,5,poc_before_stop_10,0.08222222222222222,0.049275361923845615,0.11930840410069511,150,115,True,False
2025H2,above,5,poc_before_stop_20,0.10444444444444445,0.06040741348170826,0.1500167991646613,150,115,True,False
2025H2,above,5,poc_before_stop_30,0.12444444444444447,0.07599266386868259,0.17412122367357094,150,115,True,False
2025H2,above,5,poc_before_stop_40,0.13185185185185183,0.0826943856647607,0.18351432470369816,150,115,True,False
2025H2,above,5,poc_before_stop_60,0.14740740740740743,0.0918996100931033,0.20406389944433415,150,115,True,False
2025H2,above,5,poc_before_stop_80,0.1325925925925926,0.08049597686379965,0.1944043898346326,150,115,True,False
2025H2,above,10,touched_poc,0.10555555555555551,0.06391664687062192,0.1486076926446533,180,138,True,False
2025H2,above,10,reached_opposite_edge,0.04999999999999999,0.010113549572899894,0.09252307631646933,180,138,True,False
2025H2,above,10,poc_before_stop_10,0.06666666666666668,0.04335557851057448,0.09344918244682017,180,138,True,False
2025H2,above,10,poc_before_stop_20,0.10000000000000003,0.06936996230874491,0.13409485289092993,180,138,True,False
2025H2,above,10,poc_before_stop_30,0.11111111111111116,0.07689059773688929,0.1489402860384792,180,138,True,False
2025H2,above,10,poc_before_stop_40,0.11851851851851852,0.08255331729396889,0.1576255000775162,180,138,True,False
2025H2,above,10,poc_before_stop_60,0.13518518518518519,0.09463384001980428,0.17846353626513173,180,138,True,False
2025H2,above,10,poc_before_stop_80,0.12592592592592589,0.08531692059395278,0.16901715649687252,180,138,True,False
2025H2,above,15,touched_poc,0.10994152046783623,0.07130188226152273,0.15240634219345076,190,144,True,False
2025H2,above,15,reached_opposite_edge,0.05029239766081872,0.0129628132922231,0.08803731634068915,190,144,True,False
2025H2,above,15,poc_before_stop_10,0.05555555555555558,0.03684679428712207,0.0783033399379275,190,144,True,False
2025H2,above,15,poc_before_stop_20,0.08304093567251464,0.0568577802643413,0.11164206604084319,190,144,True,False
2025H2,above,15,poc_before_stop_30,0.09005847953216378,0.059925564326550926,0.12363952365378779,190,144,True,False
2025H2,above,15,poc_before_stop_40,0.10974658869395709,0.07663256025572641,0.14472918618683941,190,144,True,False
2025H2,above,15,poc_before_stop_60,0.12495126705653026,0.08860791741920329,0.16666666666666663,190,144,True,False
2025H2,above,15,poc_before_stop_80,0.12241715399610131,0.0836768760097757,0.16518199024181654,190,144,True,False
2025H2,above,20,touched_poc,0.09447264523406651,0.05661222262600468,0.13367397598457983,197,149,True,False
2025H2,above,20,reached_opposite_edge,0.0413423575860124,0.0070952201166840255,0.0744620633987535,197,149,True,False
2025H2,above,20,poc_before_stop_10,0.04844895657078399,0.02972480542852905,0.0689224242482838,197,149,True,False
2025H2,above,20,poc_before_stop_20,0.07219402143260012,0.04909395929143298,0.09908674500567134,197,149,True,False
2025H2,above,20,poc_before_stop_30,0.0765933446136492,0.048541800569619584,0.10604216863512592,197,149,True,False
2025H2,above,20,poc_before_stop_40,0.09855235946606505,0.06921358688243368,0.13274644989607984,197,149,True,False
2025H2,above,20,poc_before_stop_60,0.10926865952246667,0.07479940143824668,0.1478110852473361,197,149,True,False
2025H2,above,20,poc_before_stop_80,0.10392931002068062,0.06759703510493197,0.1430367474881135,197,149,True,False
2025H2,above,30,touched_poc,0.09332238642583468,0.055613487819370214,0.1334647852536904,203,153,True,False
2025H2,above,30,reached_opposite_edge,0.04471811713191026,0.012221007435955734,0.07841211852024588,203,153,True,False
2025H2,above,30,poc_before_stop_10,0.04274767378215655,0.026534928900690865,0.061007268243412634,203,153,True,False
2025H2,above,30,poc_before_stop_20,0.06349206349206349,0.04089739611902208,0.08862830240061348,203,153,True,False
2025H2,above,30,poc_before_stop_30,0.0707170224411604,0.04492178599908863,0.09984659108509115,203,153,True,False
2025H2,above,30,poc_before_stop_40,0.09027549717204891,0.0628520012347034,0.1192040245759675,203,153,True,False
2025H2,above,30,poc_before_stop_60,0.10231709542054368,0.0705185316475639,0.13896867764342682,203,153,True,False
2025H2,above,30,poc_before_stop_80,0.09965334792920999,0.06399509971028983,0.13635355487186582,203,153,True,False
2025H2,above,45,touched_poc,0.08600427350427342,0.05126238073929901,0.12252785075689013,208,157,True,False
2025H2,above,45,reached_opposite_edge,0.040170940170940195,0.009747839510084899,0.07106034719346621,208,157,True,False
2025H2,above,45,poc_before_stop_10,0.03824786324786325,0.022748193104891738,0.056170670159638836,208,157,True,False
2025H2,above,45,poc_before_stop_20,0.056623931623931645,0.03593223399133366,0.07962814670253025,208,157,True,False
2025H2,above,45,poc_before_stop_30,0.062072649572649574,0.03734900864669929,0.08957989299597846,208,157,True,False
2025H2,above,45,poc_before_stop_40,0.07973646723646721,0.05325022757674639,0.10893945917538463,208,157,True,False
2025H2,above,45,poc_before_stop_60,0.09362535612535616,0.06170899609843938,0.12846304562757707,208,157,True,False
2025H2,above,45,poc_before_stop_80,0.08906695156695155,0.056666334965615045,0.12465105812123578,208,157,True,False
2025H2,above,60,touched_poc,0.08796296296296291,0.05661645698565167,0.12477847158976495,216,164,True,False
2025H2,above,60,reached_opposite_edge,0.0490740740740741,0.023726228467189293,0.07706172441790417,216,164,True,False
2025H2,above,60,poc_before_stop_10,0.0314814814814815,0.01729651760554891,0.04722978481088531,216,164,True,False
2025H2,above,60,poc_before_stop_20,0.05092592592592593,0.03362729269472197,0.07165675917985495,216,164,True,False
2025H2,above,60,poc_before_stop_30,0.05833333333333335,0.03668161536100676,0.08157390490765541,216,164,True,False
2025H2,above,60,poc_before_stop_40,0.07314814814814813,0.04960099000077591,0.0998447920387428,216,164,True,False
2025H2,above,60,poc_before_stop_60,0.09166666666666667,0.06347091253599227,0.12316677095887017,216,164,True,False
2025H2,above,60,poc_before_stop_80,0.0888888888888889,0.057938727955861434,0.12632488173768708,216,164,True,False
2025H2,below,5,touched_poc,0.037537029200169214,-0.009905771837908339,0.08637582296511657,170,125,True,True
2025H2,below,5,reached_opposite_edge,0.015446466356326682,-0.03147696904968381,0.06110073756692605,170,125,True,True
