block,outcome,n,k,p,wilson_lo,wilson_hi
2025H2|above|clustered|failed_30,touched_poc,153,111.0,0.7254901960784313,0.6499065559213393,0.7900277472227246
2025H2|above|clustered|failed_30,reached_opposite_edge,153,62.0,0.40522875816993464,0.33068149267038227,0.4844185828197938
2025H2|above|clustered|failed_30,poc_before_stop_10,153,28.0,0.1830065359477124,0.12975906724694125,0.251782564565027
2025H2|above|clustered|failed_30,poc_before_stop_20,153,44.0,0.2875816993464052,0.22175456746761424,0.3638145672517459
2025H2|above|clustered|failed_30,poc_before_stop_30,153,58.0,0.3790849673202614,0.30605949044532943,0.4580337093179986
2025H2|above|clustered|failed_30,poc_before_stop_40,153,69.0,0.45098039215686275,0.3742967741616633,0.5300653338504968
2025H2|above|clustered|failed_30,poc_before_stop_60,153,87.0,0.5686274509803921,0.4894168962605358,0.6444761525224401
2025H2|above|clustered|failed_30,poc_before_stop_80,153,100.0,0.6535947712418301,0.5752693434027233,0.7243960514925086
2025H2|above|clustered|failed_30,median_t_touched_poc,111,,19.0,,
2025H2|above|clustered|failed_45,touched_poc,157,113.0,0.7197452229299363,0.6448884784550566,0.784105015765344
2025H2|above|clustered|failed_45,reached_opposite_edge,157,63.0,0.4012738853503185,0.32784367142125215,0.47942012103045206
2025H2|above|clustered|failed_45,poc_before_stop_10,157,28.0,0.17834394904458598,0.12636935973057256,0.24568364148304384
2025H2|above|clustered|failed_45,poc_before_stop_20,157,44.0,0.2802547770700637,0.21589498423465597,0.35511152154494335
2025H2|above|clustered|failed_45,poc_before_stop_30,157,58.0,0.36942675159235666,0.29788883349238643,0.44720198878244793
2025H2|above|clustered|failed_45,poc_before_stop_40,157,69.0,0.4394904458598726,0.3642171643984435,0.5176541922655044
2025H2|above|clustered|failed_45,poc_before_stop_60,157,88.0,0.5605095541401274,0.4823458077344958,0.6357828356015567
2025H2|above|clustered|failed_45,poc_before_stop_80,157,101.0,0.643312101910828,0.5657793811713961,0.7139989846245173
2025H2|above|clustered|failed_45,median_t_touched_poc,113,,20.0,,
2025H2|above|clustered|failed_60,touched_poc,164,119.0,0.725609756097561,0.6527427657685103,0.7881491227740203
2025H2|above|clustered|failed_60,reached_opposite_edge,164,68.0,0.4146341463414634,0.3420287480588004,0.4911472941142961
2025H2|above|clustered|failed_60,poc_before_stop_10,164,28.0,0.17073170731707318,0.120845353418255,0.23569080924940308
2025H2|above|clustered|failed_60,poc_before_stop_20,164,45.0,0.27439024390243905,0.21185087722597967,0.34725723423148974
2025H2|above|clustered|failed_60,poc_before_stop_30,164,60.0,0.36585365853658536,0.29598838043988274,0.4418596858321261
2025H2|above|clustered|failed_60,poc_before_stop_40,164,71.0,0.4329268292682927,0.3594856958150511,0.5094383373209533
2025H2|above|clustered|failed_60,poc_before_stop_60,164,92.0,0.5609756097560976,0.4844873058820168,0.6346726639943429
2025H2|above|clustered|failed_60,poc_before_stop_80,164,106.0,0.6463414634146342,0.5705826396383173,0.7154012880649459
2025H2|above|clustered|failed_60,median_t_touched_poc,119,,20.0,,
2025H2|below|per_excursion|UNCOND,touched_poc,278,158.0,0.5683453237410072,0.5095796183590787,0.6252478875875239
2025H2|below|per_excursion|UNCOND,reached_opposite_edge,278,102.0,0.3669064748201439,0.31242287486287224,0.42501829776742794
2025H2|below|per_excursion|UNCOND,poc_before_stop_10,278,37.0,0.13309352517985612,0.09812365431825781,0.1780655242841912
2025H2|below|per_excursion|UNCOND,poc_before_stop_20,278,52.0,0.18705035971223022,0.14559003910218477,0.23704190735284525
2025H2|below|per_excursion|UNCOND,poc_before_stop_30,278,62.0,0.22302158273381295,0.17805101861380745,0.2755427730762766
2025H2|below|per_excursion|UNCOND,poc_before_stop_40,278,78.0,0.2805755395683453,0.23102808992182466,0.33610465414434576
2025H2|below|per_excursion|UNCOND,poc_before_stop_60,278,102.0,0.3669064748201439,0.31242287486287224,0.42501829776742794
2025H2|below|per_excursion|UNCOND,poc_before_stop_80,278,121.0,0.4352517985611511,0.37824458405029715,0.4940240945266057
