block,outcome,n,k,p,wilson_lo,wilson_hi
FIT|above|per_excursion|accepted_45,cont_before_reentry_1.0,118,75,0.635593220338983,0.5457554486715985,0.71688062964648
FIT|above|per_excursion|accepted_45,cont_before_reentry_1.5,118,51,0.4322033898305085,0.3463522697916651,0.5223296910492955
FIT|above|per_excursion|accepted_45,cont_before_reentry_2.0,118,30,0.2542372881355932,0.18428115742871232,0.33969095061977017
FIT|above|per_excursion|accepted_45,cont_before_stop_10,118,53,0.4491525423728814,0.36241878244216363,0.5390926881885568
FIT|above|per_excursion|accepted_45,cont_before_stop_20,118,62,0.5254237288135594,0.43595066970567825,0.6132935949789615
FIT|above|per_excursion|accepted_45,cont_before_stop_30,118,69,0.5847457627118644,0.4945348394767576,0.6696127094720415
FIT|above|per_excursion|accepted_45,cont_before_stop_40,118,70,0.5932203389830508,0.503005656466807,0.677556647376872
FIT|above|per_excursion|accepted_45,cont_before_stop_60,118,74,0.6271186440677966,0.5371517183693184,0.7090696050538803
FIT|above|per_excursion|accepted_45,cont_before_stop_80,118,76,0.6440677966101694,0.5543867776807746,0.7246640555321838
FIT|above|per_excursion|accepted_45,returned_to_poc,118,31,0.2627118644067797,0.19168832306387246,0.34869853987949
FIT|above|per_excursion|accepted_60,cont_before_reentry_0.25,105,101,0.9619047619047619,0.9061155814676505,0.9850877819522184
FIT|above|per_excursion|accepted_60,cont_before_reentry_0.5,105,92,0.8761904761904762,0.7996263614011154,0.9261990582913551
FIT|above|per_excursion|accepted_60,cont_before_reentry_0.75,105,82,0.780952380952381,0.6927024592140119,0.8493696896702383
FIT|above|per_excursion|accepted_60,cont_before_reentry_1.0,105,71,0.6761904761904762,0.5818421637535649,0.7581013872416429
FIT|above|per_excursion|accepted_60,cont_before_reentry_1.5,105,49,0.4666666666666667,0.37410951657470093,0.5615768386424218
FIT|above|per_excursion|accepted_60,cont_before_reentry_2.0,105,29,0.2761904761904762,0.19972009427826307,0.36845971932241894
FIT|above|per_excursion|accepted_60,cont_before_stop_10,105,49,0.4666666666666667,0.37410951657470093,0.5615768386424218
FIT|above|per_excursion|accepted_60,cont_before_stop_20,105,58,0.5523809523809524,0.4570954967107025,0.6439688022338187
FIT|above|per_excursion|accepted_60,cont_before_stop_30,105,65,0.6190476190476191,0.5235152399012015,0.706176348609074
FIT|above|per_excursion|accepted_60,cont_before_stop_40,105,66,0.6285714285714286,0.5331435691527342,0.7149233464383633
FIT|above|per_excursion|accepted_60,cont_before_stop_60,105,70,0.6666666666666666,0.5720259532944062,0.7495422706199794
FIT|above|per_excursion|accepted_60,cont_before_stop_80,105,71,0.6761904761904762,0.5818421637535649,0.7581013872416429
FIT|above|per_excursion|accepted_60,returned_to_poc,105,20,0.19047619047619047,0.12682403782859736,0.27597783204468634
FIT|above|clustered|UNCOND,cont_before_reentry_0.25,380,174,0.45789473684210524,0.4084712983473211,0.5081609791338066
FIT|above|clustered|UNCOND,cont_before_reentry_0.5,380,120,0.3157894736842105,0.27109434793606535,0.3641718660438681
FIT|above|clustered|UNCOND,cont_before_reentry_0.75,380,86,0.22631578947368422,0.1871034452215724,0.2710063584057572
FIT|above|clustered|UNCOND,cont_before_reentry_1.0,380,61,0.16052631578947368,0.12704247262563984,0.2008052645659517
FIT|above|clustered|UNCOND,cont_before_reentry_1.5,380,41,0.10789473684210527,0.08053432965011997,0.14310375439288112
FIT|above|clustered|UNCOND,cont_before_reentry_2.0,380,25,0.06578947368421052,0.04495568146968357,0.09531468005444516
FIT|above|clustered|UNCOND,cont_before_stop_10,380,44,0.11578947368421053,0.08739413546595777,0.1518753965493319
FIT|above|clustered|UNCOND,cont_before_stop_20,380,53,0.1394736842105263,0.10823623759516182,0.1779276383369935
FIT|above|clustered|UNCOND,cont_before_stop_30,380,60,0.15789473684210525,0.12467895119209671,0.19795830334206527
FIT|above|clustered|UNCOND,cont_before_stop_40,380,62,0.1631578947368421,0.12940941646093435,0.20364880338808672
FIT|above|clustered|UNCOND,cont_before_stop_60,380,75,0.19736842105263158,0.16046443961750323,0.24033005477810165
FIT|above|clustered|UNCOND,cont_before_stop_80,380,87,0.22894736842105262,0.18953974200837068,0.2737805442763884
FIT|above|clustered|UNCOND,returned_to_poc,380,229,0.6026315789473684,0.5526380043524287,0.6505708192873226
FIT|above|clustered|accepted_5,cont_before_reentry_0.25,173,146,0.8439306358381503,0.7824496041970974,0.8904689850941101
FIT|above|clustered|accepted_5,cont_before_reentry_0.5,173,111,0.6416184971098265,0.5677986299140293,0.7092854950882325
FIT|above|clustered|accepted_5,cont_before_reentry_0.75,173,82,0.47398843930635837,0.4009568271633665,0.5481501702851976
FIT|above|clustered|accepted_5,cont_before_reentry_1.0,173,60,0.3468208092485549,0.2799187097224566,0.42037805303019893
FIT|above|clustered|accepted_5,cont_before_reentry_1.5,173,41,0.23699421965317918,0.17977239376924556,0.3056428026551252
FIT|above|clustered|accepted_5,cont_before_reentry_2.0,173,25,0.14450867052023122,0.09983638514782188,0.20462591331588803
FIT|above|clustered|accepted_5,cont_before_stop_10,173,43,0.24855491329479767,0.19008569685616644,0.317948611813287
FIT|above|clustered|accepted_5,cont_before_stop_20,173,51,0.2947976878612717,0.23190560995938886,0.36660514769039504
FIT|above|clustered|accepted_5,cont_before_stop_30,173,57,0.32947976878612717,0.26380886345785154,0.4025592309271801
FIT|above|clustered|accepted_5,cont_before_stop_40,173,59,0.34104046242774566,0.2745374502374823,0.414449756392632
FIT|above|clustered|accepted_5,cont_before_stop_60,173,64,0.3699421965317919,0.30155387680504553,0.4439811104377752
FIT|above|clustered|accepted_5,cont_before_stop_80,173,69,0.3988439306358382,0.3288375619140225,0.4732452059415048
FIT|above|clustered|accepted_5,returned_to_poc,173,92,0.5317919075144508,0.45755286378519655,0.6046496948887806
FIT|above|clustered|accepted_10,cont_before_reentry_0.25,124,119,0.9596774193548387,0.9090725968299253,0.9826559172061945
FIT|above|clustered|accepted_10,cont_before_reentry_0.5,124,98,0.7903225806451613,0.7104948380776402,0.8527021181556983
FIT|above|clustered|accepted_10,cont_before_reentry_0.75,124,77,0.6209677419354839,0.5331548384225953,0.7015105600079625
FIT|above|clustered|accepted_10,cont_before_reentry_1.0,124,59,0.47580645161290325,0.3899577057750623,0.5631092145388261
FIT|above|clustered|accepted_10,cont_before_reentry_1.5,124,41,0.33064516129032256,0.2540245934622476,0.4174438487349713
FIT|above|clustered|accepted_10,cont_before_reentry_2.0,124,25,0.20161290322580644,0.1404555297898297,0.28070315408146096
FIT|above|clustered|accepted_10,cont_before_stop_10,124,42,0.3387096774193548,0.26137256605166526,0.42574023604092415
FIT|above|clustered|accepted_10,cont_before_stop_20,124,49,0.3951612903225806,0.313505613184297,0.4831177081758861
FIT|above|clustered|accepted_10,cont_before_stop_30,124,54,0.43548387096774194,0.35145103373797243,0.5233940870990632
FIT|above|clustered|accepted_10,cont_before_stop_40,124,55,0.4435483870967742,0.35910800396379056,0.5313814767686156
FIT|above|clustered|accepted_10,cont_before_stop_60,124,59,0.47580645161290325,0.3899577057750623,0.5631092145388261
FIT|above|clustered|accepted_10,cont_before_stop_80,124,62,0.5,0.4133257730247514,0.5866742269752486
FIT|above|clustered|accepted_10,returned_to_poc,124,57,0.4596774193548387,0.37448868538236924,0.5472895151407781
FIT|above|clustered|accepted_15,cont_before_reentry_0.25,110,108,0.9818181818181818,0.9361185758998575,0.9949997499142563
FIT|above|clustered|accepted_15,cont_before_reentry_0.5,110,94,0.8545454545454545,0.7767209782912426,0.9084415633455579
FIT|above|clustered|accepted_15,cont_before_reentry_0.75,110,76,0.6909090909090909,0.5993322306151246,0.769601445650845
FIT|above|clustered|accepted_15,cont_before_reentry_1.0,110,58,0.5272727272727272,0.4346352821640567,0.6180695287310817
FIT|above|clustered|accepted_15,cont_before_reentry_1.5,110,41,0.37272727272727274,0.28809453277586256,0.46594968304682455
FIT|above|clustered|accepted_15,cont_before_reentry_2.0,110,25,0.22727272727272727,0.15894521607203976,0.3140066749765752
FIT|above|clustered|accepted_15,cont_before_stop_10,110,41,0.37272727272727274,0.28809453277586256,0.46594968304682455
FIT|above|clustered|accepted_15,cont_before_stop_20,110,48,0.43636363636363634,0.3473834458841848,0.5296386620271587
FIT|above|clustered|accepted_15,cont_before_stop_30,110,53,0.4818181818181818,0.390641183226373,0.5742222761768682
FIT|above|clustered|accepted_15,cont_before_stop_40,110,54,0.4909090909090909,0.3993812926379583,0.5830504370636623
FIT|above|clustered|accepted_15,cont_before_stop_60,110,57,0.5181818181818182,0.4257777238231319,0.6093588167736271
FIT|above|clustered|accepted_15,cont_before_stop_80,110,60,0.5454545454545454,0.4524389026806324,0.6354024488112651
FIT|above|clustered|accepted_15,returned_to_poc,110,45,0.4090909090909091,0.3217882494780518,0.5025290475381534
FIT|above|clustered|accepted_20,cont_before_reentry_0.25,102,101,0.9901960784313726,0.9465407803733753,0.9982673102072662
FIT|above|clustered|accepted_20,cont_before_reentry_0.5,102,88,0.8627450980392157,0.782710889505578,0.9164470975240967
FIT|above|clustered|accepted_20,cont_before_reentry_0.75,102,73,0.7156862745098039,0.6215633803531885,0.7941521795022938
FIT|above|clustered|accepted_20,cont_before_reentry_1.0,102,57,0.5588235294117647,0.4620686963178269,0.6513082745518501
FIT|above|clustered|accepted_20,cont_before_reentry_1.5,102,41,0.4019607843137255,0.3120433343545498,0.4989950475293221
FIT|above|clustered|accepted_20,cont_before_reentry_2.0,102,25,0.24509803921568626,0.17188040381978262,0.3368193890782839
FIT|above|clustered|accepted_20,cont_before_stop_10,102,40,0.39215686274509803,0.3029736690082715,0.4891685510639875
FIT|above|clustered|accepted_20,cont_before_stop_20,102,47,0.46078431372549017,0.3672332339199432,0.5571821188336056
FIT|above|clustered|accepted_20,cont_before_stop_30,102,52,0.5098039215686274,0.4142085151226479,0.6046876466889649
FIT|above|clustered|accepted_20,cont_before_stop_40,102,53,0.5196078431372549,0.42370956161784173,0.6140827620053841
FIT|above|clustered|accepted_20,cont_before_stop_60,102,56,0.5490196078431373,0.4524253919116267,0.6420554171464375
FIT|above|clustered|accepted_20,cont_before_stop_80,102,58,0.5686274509803921,0.47174801648043707,0.6605251162008527
FIT|above|clustered|accepted_20,returned_to_poc,102,41,0.4019607843137255,0.3120433343545498,0.4989950475293221
FIT|above|clustered|accepted_30,cont_before_reentry_0.25,95,94,0.9894736842105263,0.9427599067633495,0.9981394716360291
