tag,side,K,outcome,lift,ci_lo,ci_hi,n_cond_exc,n_cond_clusters,powered,null_spanning
2025H2,above,60,cont_before_stop_60,0.40740740740740744,0.29894595086515713,0.5200185656781401,54,54,True,False
2025H2,above,60,cont_before_stop_80,0.3814814814814815,0.26789375969943013,0.4951052745821576,54,54,True,False
2025H2,above,60,returned_to_poc,-0.3518518518518519,-0.4585273549979433,-0.23661389639761232,54,54,True,False
2025H2,below,5,cont_before_reentry_0.25,0.4053423927524647,0.3420664004698104,0.47335790625250873,108,98,True,False
2025H2,below,5,cont_before_reentry_0.5,0.38149480415667464,0.31594033150997763,0.4542579467353951,108,98,True,False
2025H2,below,5,cont_before_reentry_0.75,0.3119504396482814,0.24744013238347384,0.3827416787494463,108,98,True,False
2025H2,below,5,cont_before_reentry_1.0,0.2511990407673861,0.18995912974645487,0.3213100619228634,108,98,True,False
2025H2,below,5,cont_before_reentry_1.5,0.14361843858246734,0.09326409623422714,0.19695032141296884,108,98,True,False
2025H2,below,5,cont_before_reentry_2.0,0.11324273914201971,0.06934105576464457,0.1606747712381515,108,98,True,False
2025H2,below,5,cont_before_stop_10,0.18325339728217427,0.12543840744101634,0.24448723839578312,108,98,True,False
2025H2,below,5,cont_before_stop_20,0.2105648814281908,0.14931490760401073,0.27672338630465265,108,98,True,False
2025H2,below,5,cont_before_stop_30,0.22035704769517717,0.15602496123984647,0.2936012614098949,108,98,True,False
2025H2,below,5,cont_before_stop_40,0.2136957100985878,0.15058584147458628,0.2862167496849598,108,98,True,False
2025H2,below,5,cont_before_stop_60,0.2034372501998401,0.13461877359208935,0.277018693747991,108,98,True,False
2025H2,below,5,cont_before_stop_80,0.20243804956035172,0.13141145985278757,0.27657309450197937,108,98,True,False
2025H2,below,5,returned_to_poc,-0.05908606448174791,-0.13929870578736167,0.014194645692663673,108,98,True,True
2025H2,below,10,cont_before_reentry_0.25,0.45900147351997916,0.39425218898814585,0.5231608205422064,83,79,True,False
2025H2,below,10,cont_before_reentry_0.5,0.4822310826037965,0.4066861574015247,0.5574769509196867,83,79,True,False
2025H2,below,10,cont_before_reentry_0.75,0.42272687873797343,0.34226576402251774,0.5090472095292098,83,79,True,False
2025H2,below,10,cont_before_reentry_1.0,0.3405564704862616,0.25773445720780064,0.4291727758062622,83,79,True,False
2025H2,below,10,cont_before_reentry_1.5,0.2161307098899194,0.14762143008110748,0.28850897882605203,83,79,True,False
2025H2,below,10,cont_before_reentry_2.0,0.16902140937852128,0.10619908783245932,0.2381196774744406,83,79,True,False
2025H2,below,10,cont_before_stop_10,0.2391436248591488,0.1657778637770898,0.32288638524515495,83,79,True,False
