mo,lvltype,level,dir,risk,maxfav,stopped,cvd,hit30,hit50,hit80,hit100,hit150
2026-03,BB,BBbasis^POC,short,28.12,24.9,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,long,39.12,20.1,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,long,35.0,9.0,True,False,False,False,False,False,False
2026-03,VWAP,VWAPmid^POC,long,39.62,0.0,True,False,False,False,False,False,False
2026-03,VWAP,VWAPmid^POC,short,26.38,18.4,True,True,False,False,False,False,False
2026-03,VWAP,VWAP-1^VAL,short,28.88,64.1,True,True,True,True,False,False,False
2026-03,BB,BBlower^VAL,short,25.0,16.8,True,True,False,False,False,False,False
2026-03,BB,BBlower^VAL,long,43.75,0.0,True,True,False,False,False,False,False
2026-03,BB,BBupper^POC,long,19.25,77.8,True,True,True,True,False,False,False
2026-03,VWAP,VWAP-1^POC,short,32.25,18.0,True,True,False,False,False,False,False
2026-03,BB,BBupper^VAH,short,33.38,432.6,False,True,True,True,True,True,True
2026-03,BB,BBlower^VAL,long,17.25,0.0,True,False,False,False,False,False,False
2026-03,BB,BBlower^VAL,short,13.88,35.9,True,True,True,False,False,False,False
2026-03,BB,BBlower^VAL,long,7.62,0.0,True,False,False,False,False,False,False
2026-03,BB,BBupper^VAH,long,27.88,0.0,True,True,False,False,False,False,False
2026-03,BB,BBupper^VAH,long,36.75,5.8,True,True,False,False,False,False,False
2026-04,VWAP,VWAP+1^VAH,long,22.62,0.0,True,False,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,long,10.5,0.0,True,False,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,short,14.38,0.0,True,True,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,long,20.12,244.9,False,False,True,True,True,True,True
2026-04,VWAP,VWAP+1^POC,long,28.75,198.8,False,True,True,True,True,True,True
2026-04,VWAP,VWAP+1^POC,long,17.38,68.1,True,True,True,True,False,False,False
2026-04,VWAP,VWAP+1^POC,long,18.62,8.6,True,True,False,False,False,False,False
2026-04,BB,BBlower^VAL,long,17.12,571.9,False,False,True,True,True,True,True
2026-04,BB,BBbasis^POC,short,25.0,0.0,True,False,False,False,False,False,False
2026-04,BB,BBupper^VAH,long,21.38,16.6,True,True,False,False,False,False,False
2026-04,BB,BBbasis^POC,short,17.5,0.0,True,False,False,False,False,False,False
2026-04,BB,BBbasis^POC,long,42.12,85.4,True,True,True,True,True,False,False
2026-04,BB,BBupper^VAH,short,13.75,0.0,True,True,False,False,False,False,False
2026-04,BB,BBupper^VAH,short,20.88,7.6,True,False,False,False,False,False,False
2026-04,BB,BBlower^POC,short,16.62,12.6,True,True,False,False,False,False,False
2026-04,BB,BBbasis^POC,short,31.38,291.4,True,True,True,True,True,True,True
2026-04,BB,BBbasis^POC,short,23.12,0.0,True,False,False,False,False,False,False
2026-04,BB,BBlower^VAL,long,13.62,0.0,True,True,False,False,False,False,False
2026-04,BB,BBlower^VAL,long,27.62,0.0,True,True,False,False,False,False,False
2026-04,VWAP,VWAPmid^VAL,long,15.12,11.6,True,False,False,False,False,False,False
2026-04,VWAP,VWAPmid^VAL,long,19.75,12.8,True,True,False,False,False,False,False
2026-04,VWAP,VWAPmid^VAL,long,15.62,0.0,True,False,False,False,False,False,False
2026-04,BB,BBbasis^POC,short,8.5,11.5,True,True,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,short,8.12,0.0,True,False,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,short,16.5,0.0,True,False,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,long,29.12,24.9,True,True,False,False,False,False,False
2026-04,VWAP,VWAP+1^VAH,long,33.25,16.8,True,True,False,False,False,False,False
2026-04,VWAP,VWAP+1^VAH,long,25.38,0.0,True,False,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,short,30.38,84.4,True,False,True,True,True,False,False
2026-04,VWAP,VWAPmid^POC,long,17.75,33.0,True,True,True,False,False,False,False
2026-04,VWAP,VWAPmid^POC,long,18.25,10.2,True,True,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,short,20.88,74.9,True,True,True,True,False,False,False
2026-04,VWAP,VWAPmid^POC,short,23.88,17.9,True,False,False,False,False,False,False
2026-04,VWAP,VWAP+1^POC,short,28.12,61.6,True,True,True,True,False,False,False
2026-04,VWAP,VWAP+1^POC,long,23.38,32.4,True,False,True,False,False,False,False
2026-04,BB,BBbasis^POC,short,27.25,60.0,True,True,True,True,False,False,False
2026-04,BB,BBbasis^POC,long,22.75,17.5,True,True,False,False,False,False,False
2026-04,BB,BBbasis^POC,long,16.75,0.0,True,False,False,False,False,False,False
2026-04,BB,BBbasis^POC,short,18.38,8.9,True,True,False,False,False,False,False
2026-04,BB,BBbasis^POC,short,21.5,0.0,True,False,False,False,False,False,False
2026-04,BB,BBupper^VAH,short,18.0,0.0,True,True,False,False,False,False,False
2026-04,BB,BBbasis^VAH,long,7.0,0.0,True,False,False,False,False,False,False
2026-04,BB,BBupper^VAH,short,21.75,18.2,True,True,False,False,False,False,False
2026-04,BB,BBupper^VAH,long,16.0,23.0,True,True,False,False,False,False,False
2026-04,BB,BBupper^VAH,short,11.88,4.6,True,True,False,False,False,False,False
2026-04,BB,BBupper^VAH,short,6.38,0.0,True,False,False,False,False,False,False
2026-04,VWAP,VWAP+1^VAH,long,22.75,10.0,True,True,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,short,39.0,12.5,True,True,False,False,False,False,False
2026-04,VWAP,VWAP+1^VAH,long,14.25,0.0,True,True,False,False,False,False,False
