day,time,bias,tier,score,direction,draws
2023-02-22,09:45,BULLISH,MEDIUM,5,bullish,12360.50:PDH|12404.62:equal-highs|12417.12:equal-highs
2023-02-22,10:15,BULLISH,MEDIUM,4,bullish,12143.25:AsiaH|12360.50:PDH|12404.62:equal-highs
2023-02-23,08:00,BULLISH,MEDIUM,5,bullish,12360.88:equal-highs|12404.62:equal-highs|12226.25:LondonH
2023-02-23,08:45,BULLISH,MEDIUM,5,bullish,12360.88:equal-highs|12404.62:equal-highs|12226.25:LondonH
2023-02-23,09:30,BULLISH,MEDIUM,5,bullish,12360.88:equal-highs|12404.62:equal-highs|12265.75:PWL
2023-02-24,08:00,NEUTRAL,NEUTRAL,4,bearish,12063.88:equal-lows|12081.50:LondonL|12028.50:PDL
2023-02-24,08:45,BEARISH,MEDIUM,4,bearish,
2023-02-24,09:30,BEARISH,MEDIUM,4,bearish,
2023-02-27,08:00,NEUTRAL,NEUTRAL,5,bullish,12176.88:equal-highs|12192.50:equal-highs|12213.62:equal-highs
2023-02-27,09:30,NEUTRAL,NEUTRAL,4,bullish,12176.88:equal-highs|12192.50:equal-highs|12213.62:equal-highs
2023-02-27,10:15,NEUTRAL,NEUTRAL,4,bullish,12192.50:equal-highs|12213.62:equal-highs|12417.75:PWH
2023-02-28,08:00,NEUTRAL,NEUTRAL,4,bullish,12189.50:PDH|12213.62:equal-highs|12417.75:PWH
2023-02-28,08:45,NEUTRAL,NEUTRAL,4,bullish,12189.50:PDH|12213.62:equal-highs|12096.75:AsiaL
2023-02-28,09:30,BEARISH,MEDIUM,5,bearish,12029.50:LondonL|12006.50:PDL|11923.00:PWL
2023-03-01,08:00,NEUTRAL,NEUTRAL,4,bearish,12082.12:equal-lows|11989.25:PDL|11923.00:PWL
2023-03-01,08:30,NEUTRAL,NEUTRAL,3,bearish,11989.25:PDL|11923.00:PWL
2023-03-01,09:30,NEUTRAL,NEUTRAL,3,bearish,11989.25:PDL|11923.00:PWL
2023-03-01,10:15,BEARISH,MEDIUM,4,bearish,11923.00:PWL
2023-03-02,08:00,BEARISH,MEDIUM,5,bearish,11854.25:PDL|11832.50:LondonL
2023-03-02,08:45,BEARISH,MEDIUM,5,bearish,11832.50:LondonL
2023-03-02,09:30,BEARISH,MEDIUM,5,bearish,11832.50:LondonL
2023-03-03,08:00,NEUTRAL,NEUTRAL,4,bearish,11923.00:PWL|11838.75:equal-lows|12057.50:AsiaH
2023-03-03,08:30,NEUTRAL,NEUTRAL,4,bearish,12081.75:equal-lows|11923.00:PWL|11838.75:equal-lows
2023-03-03,09:30,NEUTRAL,NEUTRAL,2,bullish,12417.75:PWH
2023-03-06,08:00,NEUTRAL,NEUTRAL,4,bullish,12359.00:LondonH|12378.00:PDH
2023-03-06,08:30,NEUTRAL,NEUTRAL,4,bullish,12378.00:PDH
2023-03-06,09:30,NEUTRAL,NEUTRAL,4,bullish,12378.00:PDH
2023-03-06,09:45,NEUTRAL,NEUTRAL,4,bullish,
2023-03-07,08:00,NEUTRAL,NEUTRAL,3,bullish,12371.25:equal-highs|12378.00:PWH|12486.25:PDH
