tape,day,ts,dir,entry,risk,res,r,hold,vwin,disp,risk_atr,atr,mins_in,vol_z,lrlq,lrlq_wrong,bar_delta,bar_ratio,vwin_delta,wick_delta,d_sma20,bb_w,d_vwap,d_vwap_p1,d_vwap_m1,d_vwap_p2,d_vwap_m2,vwap_sd,D15_ok,D15_conflict,D60_ok,D60_conflict,D240_ok,D240_conflict,d_fib0.382,d_fib0.5,d_fib0.618,d_fib0.705,d_fib0.786,fib_depth
2017-19,2017-04-20,2017-04-20 10:05:00,-1,5418.0,3.25,STOP,-1.2307692307692308,3,1,0.7272727272727273,1.2133333333333334,2.6785714285714284,35,0.7035323492692958,1,1,,,,,0.2940000000001358,1.7334839171018663,0.9813585986512287,1.6720352635366726,3.63475246083913,4.325429125724914,6.288146323027371,0.36985033116869287,False,False,False,False,False,False,1.7776266666665228,1.26,0.7423733333334773,0.3607333333334828,0.005413333333417541,0.2127659574468085
2017-19,2017-04-21,2017-04-21 09:37:00,1,5441.0,4.75,STOP,-1.1578947368421053,17,2,1.0,1.7733333333333334,2.6785714285714284,7,0.9829237817576011,6,0,,,,,0.9613333333332655,2.4278755299614208,2.4758541661935065,4.217628472348006,0.7340798600390069,5.959402778502506,1.0076944461154926,-1.4214552123343682,True,False,True,False,False,False,,,,,,
2017-19,2017-04-21,2017-04-21 09:45:00,-1,5440.25,4.75,STOP,-1.1578947368421053,101,5,0.7333333333333333,1.6624999999999999,2.857142857142857,15,0.6267776256188771,0,6,,,,,0.5949999999999364,1.8315473612979387,2.356221015807705,4.025981489072455,0.6864605425429545,5.695741962337524,0.9832999307221143,-1.4111131827193282,False,False,False,False,False,False,3.5108499999999823,3.3249999999999997,3.1391500000000176,3.0021250000001145,2.8745499999999082,-1.6111111111111112
2017-19,2017-04-21,2017-04-21 09:57:00,1,5437.5,4.25,TARGET,1.8235294117647058,89,2,0.6,1.9193548387096773,2.2142857142857144,27,1.1135244714740804,7,1,,,,,0.9540322580645982,2.3778620574282265,3.7077190093876253,6.172017602369388,1.2434204164058633,8.63631619535156,1.2208781765763095,-1.5045737638883898,True,False,True,False,True,False,,,,,,
2017-19,2017-04-21,2017-04-21 10:02:00,-1,5437.0,4.5,STOP,-1.1666666666666667,8,2,1.0,2.25,2.0,32,0.7985510825718284,1,7,,,,,0.837500000000091,2.3085937615027423,4.217422190465186,6.983670477055057,1.4511739038753149,9.749918763644473,1.3150743827141014,-1.5246000190620812,False,False,False,False,False,False,6.6404999999999745,6.375,6.1095000000000255,5.913750000000164,5.731499999999869,-2.3333333333333335
2017-19,2017-04-21,2017-04-21 10:12:00,-1,5438.5,4.5,STOP,-1.1666666666666667,6,1,0.8333333333333334,1.8666666666666667,2.4107142857142856,42,0.7336769759450171,2,7,,,,,0.25407407407414956,1.494841102737454,2.654077522968173,4.993291566515917,0.31486347942042847,7.332505610063662,2.024350564127316,-1.1346022525338655,False,False,False,False,False,False,0.7703111111110991,0.20740740740740743,0.35549629629628426,0.7705185185185487,1.156918518518419,0.45652173913043476
2017-19,2017-04-21,2017-04-21 10:26:00,-1,5442.25,2.5,TARGET,1.7,24,2,0.8333333333333334,1.5555555555555556,1.6071428571428572,56,0.8417587585233952,4,7,,,,,0.6844444444446708,2.60568077148176,1.5032596660755289,4.926108064140539,1.919588731989481,8.348956462206115,5.342437130055057,-0.4391838291538847,False,False,False,False,False,False,1.1778666666666848,2.022222222222222,2.8665777777777595,3.489111111111156,4.068711111110962,0.782608695652174
2017-19,2017-04-21,2017-04-21 10:49:00,-1,5438.25,4.75,STOP,-1.1578947368421053,33,4,0.7272727272727273,2.633663366336634,1.8035714285714286,79,1.7155893536121674,2,10,,,,,1.1574257425740557,1.428604284440475,3.3432505260701295,6.318514618646563,0.36798643349369614,9.293778711222997,2.6072776590827376,-1.1236819394997035,False,False,False,False,False,False,1.1682376237623602,0.4158415841584158,0.3365544554455284,0.8912871287129116,1.4077623762374907,0.43478260869565216
2017-19,2017-04-24,2017-04-24 09:48:00,1,5502.5,5.75,STOP,-1.1304347826086956,87,1,0.6,1.8941176470588237,3.0357142857142856,18,0.571140340666589,3,1,,,,,0.8688235294117048,1.799885047326627,2.128932893127229,0.0276826891106098,4.230183097143848,2.0735675149057093,6.331433301160167,1.0131743897313317,False,False,False,False,False,False,,,,,,
2017-19,2017-04-24,2017-04-24 09:55:00,1,5502.75,3.0,STOP,-1.25,14,1,0.9,1.2352941176470589,2.4285714285714284,25,0.7555666750062547,3,2,,,,,0.7463235294117647,2.1153426180188584,2.6516410377498154,0.03538168949885671,5.2679003860007745,2.5808776587524767,7.8841597342521075,1.0135237699283668,False,False,False,False,False,False,,,,,,
2017-19,2017-04-24,2017-04-24 10:13:00,1,5504.5,6.25,STOP,-1.12,62,4,0.875,2.7777777777777777,2.25,43,0.7031618688060405,2,3,,,,,0.5611111111110303,1.535332171215757,3.265316762188579,0.42229311656410573,6.108340407813052,2.420730529059963,8.951364053437121,1.148536617771074,False,False,False,False,False,False,2.2171111111112825,2.8333333333333335,3.449555555555384,3.903888888888711,4.326888888888789,-0.0425531914893617
2017-19,2017-04-24,2017-04-24 10:24:00,-1,5505.25,4.25,TARGET,1.8235294117647058,51,3,0.8333333333333334,2.2666666666666666,1.875,54,0.5650160872635958,3,0,,,,,0.4933333333334303,2.321685184303604,4.0177608676468175,0.5266126985637433,7.508909036729892,2.9645354705188462,11.000057205812482,1.1508422653691643,False,False,False,False,False,False,,,,,,
2017-19,2017-04-24,2017-04-24 10:32:00,-1,5504.25,2.5,TARGET,1.7,42,2,0.8333333333333334,1.308411214953271,1.9107142857142858,62,0.7555841529552348,3,1,,,,,0.549532710280469,1.4373102779840325,3.299376636622778,0.13585719334677776,6.734610466592334,3.5710910233163338,10.16984429656189,0.9604518352836722,False,False,False,False,False,False,,,,,,
2017-19,2017-04-25,2017-04-25 09:52:00,-1,5525.5,4.0,STOP,-1.1875,11,6,0.7272727272727273,2.1538461538461537,1.8571428571428572,22,1.4198782961460448,7,1,,,,,0.26250000000009793,1.9206573508300562,3.4694673293334533,0.5604233660475214,7.499358024714428,4.590314061428496,11.529248720095403,0.8609333581454743,False,False,False,False,False,False,,,,,,
2017-19,2017-04-25,2017-04-25 09:59:00,-1,5526.5,1.75,STOP,-1.4285714285714286,3,1,0.8333333333333334,1.1951219512195124,1.4642857142857142,29,0.2397940419271791,7,1,,,,,0.35853658536560523,1.0445595764678646,4.8681270564494055,0.23929318590583026,9.975547298804642,5.346713428261066,15.082967541159878,0.9531479348573444,False,False,False,False,False,False,,,,,,
2017-19,2017-04-25,2017-04-25 10:14:00,-1,5534.75,2.25,STOP,-1.3333333333333333,3,1,1.0,1.2,1.875,44,0.6533114067872627,9,0,,,,,1.8866666666668608,4.076714634478048,6.981786539989116,2.4952684266352056,11.468304653343028,1.991249686718705,15.954822766696937,1.55617036721825,False,False,False,False,False,False,,,,,,
2017-19,2017-04-25,2017-04-25 10:19:00,-1,5535.5,3.0,STOP,-1.25,57,1,0.8571428571428571,1.7319587628865978,1.7321428571428572,49,0.575694397740265,9,0,,,,,1.22680412371134,3.8369413872344884,7.631939188970061,2.599174915331646,12.664703462608475,2.4335893583067687,17.697467736246892,1.516450756286391,False,False,False,False,False,False,,,,,,
2017-19,2017-04-25,2017-04-25 10:59:00,-1,5533.25,2.0,STOP,-1.375,6,3,0.6666666666666666,1.6,1.25,89,1.8714237630427464,8,2,,,,,0.269999999999709,1.3252208259892408,7.297063967092981,0.03298440284197568,14.627112337027938,7.363032772776933,21.957160706962895,0.9955001111619776,False,False,False,False,False,False,2.548399999999674,2.1,1.651600000000326,1.3209999999999127,1.0131999999997787,-0.05263157894736842
2017-19,2017-04-26,2017-04-26 09:49:00,1,5551.25,7.25,STOP,-1.103448275862069,34,6,0.6666666666666666,2.6025641025641026,2.7857142857142856,19,0.8758119327225019,1,1,,,,,0.16602564102551043,3.0148194380226894,0.06003547802016002,1.0891462489380035,1.2092172049783236,2.238327975896167,2.3583989319364873,0.05224193581556063,False,False,False,False,False,False,,,,,,
2017-19,2017-04-26,2017-04-26 09:59:00,1,5548.0,3.5,STOP,-1.2142857142857142,23,1,0.8,1.240506329113924,2.8214285714285716,29,0.7212789688932953,1,1,,,,,0.24367088607594936,1.4129040200265144,1.0119574302186691,2.132293415780404,0.10837855534306601,3.252629401341817,1.2287145409044788,-0.9032624527465963,False,False,False,False,False,False,,,,,,
2017-19,2017-04-26,2017-04-26 10:04:00,-1,5547.5,2.75,STOP,-1.2727272727272727,4,1,0.6,1.0,2.75,34,0.443082067716316,1,1,,,,,0.2772727272726611,1.2903428676255073,1.1644034820128581,2.3157976590241147,0.013009305001601619,3.4671918360350404,1.1383848720093241,-1.0112987413532817,False,False,False,False,False,False,2.9194545454546725,2.1363636363636362,1.3532727272726002,0.7759090909090777,0.2383636363635808,0.1780821917808219
2017-19,2017-04-26,2017-04-26 10:26:00,1,5546.25,3.5,STOP,-1.2142857142857142,9,3,0.7142857142857143,1.9029126213592233,1.8392857142857142,56,0.6730420045999274,3,1,,,,,0.7067961165049533,2.0449779380986426,2.2020318116214255,3.939299307264361,0.46476431597849,5.676566802907791,1.27250317966494,-1.2675260529215557,True,False,False,False,False,False,,,,,,
2017-19,2017-04-26,2017-04-26 10:46:00,1,5545.25,3.0,TARGET,1.75,37,4,0.875,1.75,1.7142857142857142,76,1.1143442181269534,5,1,,,,,0.20416666666687888,1.285006823215366,2.550106531481864,4.602004195479671,0.49820886748405735,6.653901859477477,1.5536887965137491,-1.242803954712501,False,False,False,False,False,False,,,,,,
2017-19,2017-04-27,2017-04-27 09:48:00,-1,5554.75,3.75,STOP,-1.2,9,2,0.6428571428571429,1.5909090909090908,2.357142857142857,18,1.4855681894637691,3,0,,,,,1.0075757575757576,1.9785349300734065,3.324454663365197,0.9959702842863793,5.6529390424440145,1.3325140947924383,7.981423421522832,1.4277332900469677,False,False,False,False,False,False,,,,,,
2017-19,2017-04-27,2017-04-27 09:59:00,-1,5557.5,2.0,STOP,-1.375,2,1,0.8,1.087378640776699,1.8392857142857142,29,0.451650260567458,4,0,,,,,1.1349514563104819,2.2834184671460664,5.235824684245406,2.022471918018074,8.449177450472739,1.190880848208764,11.662530216699576,1.6293961681626923,False,False,False,False,False,False,,,,,,
