sym,day,dir,risk,res,r
NQ,2025-04-30,1,70.75,TARGET,1.989399293286219
NQ,2025-05-05,1,72.25,FLAT,0.8304498269896193
NQ,2025-05-08,1,40.75,STOP,-1.01840490797546
NQ,2025-05-08,1,37.75,STOP,-1.0198675496688743
NQ,2025-05-09,-1,41.25,TARGET,1.981818181818182
NQ,2025-05-14,-1,46.0,FLAT,-0.3804347826086957
NQ,2025-05-16,1,68.25,FLAT,0.4652014652014652
NQ,2025-05-20,1,68.75,FLAT,-0.10909090909090909
NQ,2025-05-22,1,65.5,FLAT,-0.22137404580152673
NQ,2025-05-26,-1,19.75,TARGET,1.9620253164556962
NQ,2025-06-04,-1,51.5,FLAT,-0.3786407766990291
NQ,2025-06-05,-1,58.75,STOP,-1.0127659574468084
NQ,2025-06-06,-1,49.5,STOP,-1.0151515151515151
NQ,2025-06-09,-1,27.75,FLAT,0.02702702702702703
NQ,2025-06-10,-1,41.25,TARGET,1.981818181818182
NQ,2025-07-04,1,31.0,FLAT,0.46774193548387094
NQ,2025-07-11,-1,33.0,TARGET,1.9772727272727273
NQ,2025-07-14,-1,65.25,STOP,-1.0114942528735633
NQ,2025-07-14,-1,28.5,STOP,-1.0263157894736843
NQ,2025-08-04,-1,28.0,STOP,-1.0267857142857142
NQ,2025-08-05,1,58.0,STOP,-1.0129310344827587
NQ,2025-08-08,-1,24.75,TARGET,1.9696969696969697
NQ,2025-08-18,1,45.5,STOP,-1.0164835164835164
NQ,2025-08-18,1,59.75,FLAT,-0.7322175732217573
NQ,2025-08-26,1,68.5,FLAT,0.30656934306569344
NQ,2025-08-28,-1,46.5,STOP,-1.0161290322580645
NQ,2025-09-01,1,39.25,FLAT,0.5668789808917197
NQ,2025-09-03,-1,68.75,STOP,-1.010909090909091
NQ,2025-09-05,-1,36.75,STOP,-1.0204081632653061
NQ,2025-09-05,1,60.0,STOP,-1.0125
NQ,2025-09-09,1,55.75,FLAT,0.5246636771300448
NQ,2025-09-29,-1,48.0,TARGET,1.984375
NQ,2025-09-30,1,57.0,STOP,-1.013157894736842
NQ,2025-09-30,1,63.5,FLAT,0.3858267716535433
NQ,2025-10-09,1,50.0,STOP,-1.015
NQ,2025-10-10,-1,47.5,TARGET,1.9842105263157894
NQ,2025-10-16,-1,43.0,TARGET,1.9825581395348837
NQ,2025-10-23,-1,26.0,STOP,-1.0288461538461537
NQ,2025-11-03,-1,57.0,TARGET,1.986842105263158
NQ,2025-11-10,-1,50.25,STOP,-1.0149253731343284
NQ,2025-11-11,-1,49.0,TARGET,1.9846938775510203
NQ,2025-11-28,-1,80.0,STOP,-1.009375
NQ,2025-12-05,-1,27.0,TARGET,1.9722222222222223
NQ,2025-12-05,-1,29.75,TARGET,1.9747899159663866
NQ,2025-12-08,-1,68.5,TARGET,1.989051094890511
NQ,2025-12-24,-1,26.25,STOP,-1.0285714285714285
NQ,2026-01-07,-1,69.75,STOP,-1.010752688172043
NQ,2026-01-13,1,48.5,STOP,-1.0154639175257731
NQ,2026-01-19,-1,27.0,STOP,-1.0277777777777777
NQ,2026-01-20,-1,76.75,STOP,-1.009771986970684
NQ,2026-01-22,1,63.75,STOP,-1.011764705882353
NQ,2026-01-27,1,49.75,TARGET,1.984924623115578
NQ,2026-02-16,1,32.5,STOP,-1.023076923076923
NQ,2026-03-02,-1,78.75,STOP,-1.0095238095238095
NQ,2026-03-02,-1,54.0,STOP,-1.0138888888888888
NQ,2026-03-03,1,61.0,TARGET,1.9877049180327868
NQ,2026-04-02,-1,60.25,STOP,-1.012448132780083
NQ,2026-04-10,-1,50.5,STOP,-1.0148514851485149
NQ,2026-04-13,-1,78.5,STOP,-1.0095541401273886
NQ,2026-04-15,-1,71.0,STOP,-1.0105633802816902
NQ,2026-04-29,-1,34.25,TARGET,1.9781021897810218
NQ,2026-05-15,-1,66.75,FLAT,-0.0599250936329588
ES,2021-05-06,1,8.0,TARGET,1.90625
ES,2021-05-13,-1,6.25,STOP,-1.12
ES,2021-05-19,1,14.5,STOP,-1.0517241379310345
ES,2021-05-19,1,17.5,FLAT,1.0285714285714285
ES,2021-05-27,-1,7.25,STOP,-1.103448275862069
ES,2021-05-31,1,3.25,STOP,-1.2307692307692308
ES,2021-06-02,-1,3.25,STOP,-1.2307692307692308
ES,2021-06-03,1,8.5,TARGET,1.911764705882353
ES,2021-06-03,1,6.5,TARGET,1.8846153846153846
ES,2021-06-11,1,2.5,STOP,-1.3
ES,2021-06-14,1,4.0,STOP,-1.1875
ES,2021-07-14,-1,3.75,TARGET,1.8
ES,2021-07-30,-1,6.25,TARGET,1.88
ES,2021-08-12,1,4.25,TARGET,1.8235294117647058
ES,2021-08-20,-1,6.0,STOP,-1.125
ES,2021-09-21,1,9.5,STOP,-1.0789473684210527
ES,2021-09-28,1,8.0,STOP,-1.09375
ES,2021-09-29,-1,7.0,STOP,-1.1071428571428572
ES,2021-10-06,-1,20.25,STOP,-1.037037037037037
ES,2021-10-21,-1,4.0,STOP,-1.1875
ES,2021-10-21,-1,5.75,FLAT,0.2608695652173913
ES,2021-11-08,-1,4.25,TARGET,1.8235294117647058
ES,2021-11-11,-1,5.25,FLAT,0.0
ES,2021-11-17,1,6.5,FLAT,1.0384615384615385
ES,2021-11-17,1,3.5,TARGET,1.7857142857142858
ES,2021-11-24,1,10.75,TARGET,1.930232558139535
ES,2021-12-02,-1,20.75,STOP,-1.036144578313253
ES,2021-12-08,-1,10.5,FLAT,0.16666666666666666
ES,2021-12-09,-1,7.25,FLAT,0.3448275862068966
ES,2021-12-09,-1,5.0,TARGET,1.85
ES,2021-12-14,1,8.0,TARGET,1.90625
ES,2021-12-15,1,9.0,STOP,-1.0833333333333333
ES,2022-01-12,-1,14.25,STOP,-1.0526315789473684
ES,2022-02-01,-1,12.75,STOP,-1.0588235294117647
ES,2022-02-04,-1,8.75,TARGET,1.9142857142857144
ES,2022-02-04,1,9.25,STOP,-1.0810810810810811
ES,2022-02-07,-1,11.25,STOP,-1.0666666666666667
ES,2022-02-07,-1,14.0,FLAT,1.3214285714285714
ES,2022-02-11,-1,17.75,FLAT,0.9436619718309859
ES,2022-02-15,-1,16.25,STOP,-1.0461538461538462
ES,2022-02-24,1,19.25,TARGET,1.9610389610389611
ES,2022-02-25,-1,20.25,STOP,-1.037037037037037
ES,2022-02-28,-1,10.0,STOP,-1.075
ES,2022-03-02,-1,20.25,STOP,-1.037037037037037
ES,2022-03-08,1,23.25,STOP,-1.032258064516129
ES,2022-03-14,-1,12.5,STOP,-1.06
ES,2022-03-23,1,10.5,FLAT,1.0238095238095237
ES,2022-03-31,1,9.75,STOP,-1.0769230769230769
ES,2022-04-04,-1,10.75,STOP,-1.069767441860465
ES,2022-04-04,-1,7.75,STOP,-1.096774193548387
ES,2022-04-08,1,8.0,TARGET,1.90625
ES,2022-04-11,1,12.25,STOP,-1.0612244897959184
ES,2022-04-13,-1,10.0,STOP,-1.075
ES,2022-04-14,-1,12.5,TARGET,1.94
ES,2022-04-29,1,11.75,STOP,-1.0638297872340425
ES,2022-05-03,-1,18.75,STOP,-1.04
ES,2022-05-03,-1,16.25,STOP,-1.0461538461538462
ES,2022-05-04,-1,7.75,STOP,-1.096774193548387
ES,2022-05-05,1,15.75,STOP,-1.0476190476190477
ES,2022-05-19,-1,26.75,STOP,-1.02803738317757
ES,2022-05-24,1,11.5,TARGET,1.934782608695652
ES,2022-05-25,-1,11.0,TARGET,1.9318181818181819
ES,2022-05-31,1,15.5,STOP,-1.0483870967741935
ES,2022-06-09,1,18.0,STOP,-1.0416666666666667
ES,2022-06-09,1,17.25,STOP,-1.0434782608695652
ES,2022-06-17,-1,10.0,TARGET,1.925
ES,2022-06-20,-1,7.5,STOP,-1.1
ES,2022-06-21,-1,7.0,STOP,-1.1071428571428572
ES,2022-06-22,-1,13.5,FLAT,0.42592592592592593
ES,2022-07-06,-1,19.25,FLAT,0.6883116883116883
ES,2022-07-15,-1,10.75,STOP,-1.069767441860465
ES,2022-07-15,-1,11.0,STOP,-1.0681818181818181
ES,2022-07-19,-1,4.75,STOP,-1.1578947368421053
ES,2022-07-20,-1,7.75,STOP,-1.096774193548387
ES,2022-07-21,-1,24.25,STOP,-1.0309278350515463
ES,2022-08-04,1,12.25,FLAT,-0.3673469387755102
ES,2022-08-10,-1,11.0,STOP,-1.0681818181818181
ES,2022-08-10,-1,7.25,TARGET,1.896551724137931
ES,2022-08-11,-1,6.75,TARGET,1.8888888888888888
ES,2022-08-17,1,8.5,STOP,-1.088235294117647
ES,2022-08-22,1,8.5,STOP,-1.088235294117647
ES,2022-08-22,1,7.25,STOP,-1.103448275862069
ES,2022-08-22,1,8.5,STOP,-1.088235294117647
ES,2022-08-23,-1,11.25,TARGET,1.9333333333333333
ES,2022-08-25,1,12.5,TARGET,1.94
ES,2022-08-29,-1,11.25,TARGET,1.9333333333333333
ES,2022-08-30,1,20.25,FLAT,-0.2345679012345679
ES,2022-09-02,-1,10.5,TARGET,1.9285714285714286
ES,2022-09-06,1,11.5,STOP,-1.065217391304348
ES,2022-09-09,-1,21.0,FLAT,-0.8452380952380952
ES,2022-09-12,-1,6.25,TARGET,1.88
ES,2022-09-12,-1,5.0,TARGET,1.85
ES,2022-09-13,1,5.5,STOP,-1.1363636363636365
ES,2022-09-14,-1,16.25,STOP,-1.0461538461538462
ES,2022-09-16,1,8.25,STOP,-1.0909090909090908
ES,2022-10-05,1,12.5,STOP,-1.06
ES,2022-10-17,-1,16.0,STOP,-1.046875
ES,2022-10-17,-1,13.0,FLAT,-0.07692307692307693
ES,2022-10-19,-1,14.25,FLAT,1.7894736842105263
ES,2022-10-25,-1,11.0,STOP,-1.0681818181818181
ES,2022-10-25,-1,8.5,STOP,-1.088235294117647
ES,2022-10-25,-1,8.0,STOP,-1.09375
ES,2022-10-31,1,7.0,STOP,-1.1071428571428572
ES,2022-11-11,-1,10.0,STOP,-1.075
ES,2022-11-11,-1,6.5,TARGET,1.8846153846153846
ES,2022-11-11,-1,12.0,FLAT,-0.3125
ES,2022-11-15,-1,14.0,FLAT,0.16071428571428573
