tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div
2023-26,2025-10-16,2025-10-16 09:56:00,988755,-1,25065.25,31.5,STOP,-1.0238095238095237,-184.0,-0.11428571428571428,102.0,0.04054054054054054,0.6399046104928457,1.0952391337535166,
2023-26,2025-10-17,2025-10-17 09:30:00,990109,-1,24705.75,65.0,STOP,-1.0115384615384615,-198.0,-0.07215743440233237,251.0,0.03906614785992218,0.4270817120622568,7.048883524441762,
2023-26,2025-10-17,2025-10-17 10:08:00,990147,1,24835.5,14.0,STOP,-1.0535714285714286,-25.0,-0.04970178926441352,20.0,0.015408320493066256,0.38751926040061635,0.5999768705909564,
2023-26,2025-10-20,2025-10-20 09:56:00,991515,1,25218.25,15.5,STOP,-1.0483870967741935,-12.0,-0.03015075376884422,116.0,0.07901907356948229,0.27111716621253407,0.9811194653299916,
2023-26,2025-10-21,2025-10-21 09:53:00,992892,-1,25260.5,10.75,TARGET,2.9302325581395348,-52.0,-0.034574468085106384,-47.0,-0.031064111037673495,0.9940515532055518,0.7822530544626217,
2023-26,2025-10-22,2025-10-22 09:40:00,994259,-1,25224.5,10.25,STOP,-1.0731707317073171,-239.0,-0.09153581003446955,-176.0,-0.06442166910688141,0.955710102489019,1.599508023895982,
2023-26,2025-10-24,2025-10-24 10:16:00,997055,1,25528.0,8.0,STOP,-1.09375,-110.0,-0.24017467248908297,-137.0,-0.15765247410817032,0.5270425776754891,0.6122089541723907,
2023-26,2025-10-24,2025-10-24 10:17:00,997056,1,25529.0,9.0,STOP,-1.0833333333333333,-4.0,-0.004405286343612335,3.0,0.003089598352214212,0.9351184346035015,0.7051561365286856,
2023-26,2025-10-27,2025-10-27 10:13:00,998432,1,25861.5,11.75,STOP,-1.0638297872340425,-62.0,-0.0981012658227848,-5.0,-0.004420866489832007,0.5587975243147657,0.9122467102607572,
2023-26,2025-10-29,2025-10-29 09:43:00,1001162,1,26272.5,9.75,TARGET,2.923076923076923,-164.0,-0.28771929824561404,-69.0,-0.061224489795918366,0.5057675244010648,0.6197880831154534,
2023-26,2025-10-31,2025-10-31 10:24:00,1003963,1,26101.75,9.0,TARGET,2.9166666666666665,-59.0,-0.2177121771217712,64.0,0.057245080500894455,0.24239713774597496,0.7796930177266529,
2023-26,2025-10-31,2025-10-31 10:25:00,1003964,1,26106.25,10.25,TARGET,2.926829268292683,-32.0,-0.12903225806451613,49.0,0.04716073147256978,0.2386910490856593,0.7625624449015574,
2023-26,2025-11-03,2025-11-03 10:09:00,1005328,-1,26123.0,12.5,STOP,-1.06,-115.0,-0.09076558800315707,6.0,0.003500583430571762,0.7392065344224037,0.9932620817843867,
2023-26,2025-11-10,2025-11-10 09:55:00,1012214,1,25620.0,13.75,TARGET,2.9454545454545453,-52.0,-0.06933333333333333,136.0,0.08095238095238096,0.44642857142857145,0.7612958806592759,
2023-26,2025-11-10,2025-11-10 09:56:00,1012215,1,25622.75,16.25,STOP,-1.0461538461538462,-124.0,-0.12375249500998003,-15.0,-0.009416195856873822,0.6290018832391714,0.7368762752736041,
2023-26,2025-11-10,2025-11-10 10:03:00,1012222,1,25628.75,8.25,TARGET,2.909090909090909,-21.0,-0.04656319290465632,46.0,0.03758169934640523,0.3684640522875817,0.5949222268201845,
2023-26,2025-11-12,2025-11-12 10:22:00,1015001,-1,25593.75,27.75,STOP,-1.027027027027027,-175.0,-0.15779981965734896,-10.0,-0.00591016548463357,0.6554373522458629,0.8757230681434982,
2023-26,2025-11-12,2025-11-12 10:24:00,1015003,-1,25599.25,14.75,STOP,-1.0508474576271187,-107.0,-0.15091678420310295,-72.0,-0.06976744186046512,0.687015503875969,0.5475117975117976,
2023-26,2025-11-13,2025-11-13 09:30:00,1016329,-1,25457.5,45.0,TARGET,2.9833333333333334,-187.0,-0.06393162393162394,-3.0,-0.0006277463904582549,0.6120527306967984,6.389408932869752,
2023-26,2025-11-14,2025-11-14 10:03:00,1017742,1,24933.25,21.5,STOP,-1.0348837209302326,-53.0,-0.0848,129.0,0.05543618392780404,0.26858616244091105,0.6892452185284808,
2023-26,2025-11-14,2025-11-14 10:05:00,1017744,1,24926.5,31.75,STOP,-1.0236220472440944,-48.0,-0.020924149956408022,69.0,0.02182853527364758,0.725719708952863,0.953171453148816,
2023-26,2025-11-17,2025-11-17 10:24:00,1019143,-1,25096.5,31.75,STOP,-1.0236220472440944,-140.0,-0.15521064301552107,83.0,0.04284976768198245,0.4656685596282912,0.9419144642466387,
2023-26,2025-11-18,2025-11-18 09:40:00,1020479,1,24737.75,27.25,STOP,-1.0275229357798166,-162.0,-0.0652699435938759,-105.0,-0.03890329751759911,0.9195998517969618,1.025250699294046,
2023-26,2025-11-18,2025-11-18 10:10:00,1020509,-1,24524.75,47.25,STOP,-1.0158730158730158,-156.0,-0.08996539792387544,-42.0,-0.012041284403669725,0.49713302752293576,0.9980536951170644,
2023-26,2025-11-19,2025-11-19 09:30:00,1021849,-1,24603.75,30.0,STOP,-1.025,-279.0,-0.1279229711141678,6.0,0.0008925914906277894,0.32445700684320145,8.629239465570402,
2023-26,2025-11-20,2025-11-20 09:30:00,1023229,-1,25180.0,69.5,STOP,-1.0107913669064748,-117.0,-0.03501945525291829,214.0,0.028157894736842104,0.4396052631578947,9.07635320826861,
2023-26,2025-11-20,2025-11-20 09:41:00,1023240,-1,25160.25,46.25,STOP,-1.0162162162162163,50.0,0.05219206680584551,309.0,0.09575457080880075,0.2968701580415246,1.589407251577775,
