tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div,mult
2023-26,2023-11-08,2023-11-08 09:48:00,303754,1,15402.75,9.5,TARGET,0.9210526315789473,-31.0,-0.02770330652368186,108.0,0.07219251336898395,0.7479946524064172,0.6065397636278863,,1.0
2023-26,2023-11-09,2023-11-09 10:22:00,305168,-1,15374.75,10.0,TARGET,0.925,-144.0,-0.11483253588516747,-28.0,-0.01904761904761905,0.8530612244897959,0.7041241557695072,,1.0
2023-26,2023-11-13,2023-11-13 09:50:00,307896,-1,15493.75,8.75,TARGET,0.9142857142857143,-108.0,-0.04069329314242653,-21.0,-0.007194244604316547,0.9092154847550531,1.1316804621319325,,1.0
2023-26,2023-11-15,2023-11-15 10:05:00,310671,-1,15916.75,8.25,STOP,-1.0909090909090908,-103.0,-0.10248756218905472,-29.0,-0.020322354590049056,0.7042747021723896,0.6503064688860027,,1.0
2023-26,2023-11-21,2023-11-21 10:16:00,316202,-1,15982.25,11.0,TARGET,0.9318181818181818,-49.0,-0.09158878504672897,-45.0,-0.022443890274314215,0.26683291770573564,1.2984069421059448,,1.0
2023-26,2023-11-28,2023-11-28 09:40:00,322600,1,15989.75,9.0,STOP,-1.0833333333333333,-272.0,-0.1863013698630137,-174.0,-0.09177215189873418,0.770042194092827,1.0403006776220132,,1.0
2023-26,2024-03-04,2024-03-04 09:55:00,414583,-1,18300.25,10.25,STOP,-1.0731707317073171,-127.0,-0.09914129586260734,-28.0,-0.01696969696969697,0.7763636363636364,0.7519310957686787,,1.0
2023-26,2024-03-06,2024-03-06 10:26:00,417374,1,18011.75,15.25,STOP,-1.0491803278688525,-118.0,-0.046493301812450746,-48.0,-0.014660965180207697,0.775198533903482,1.322267320934553,,1.0
2023-26,2024-03-07,2024-03-07 09:31:00,418699,1,18180.0,12.5,STOP,-1.06,-94.0,-0.02986022871664549,-20.0,-0.005065856129685917,0.7973657548125633,2.8415143227292354,,1.0
2023-26,2024-03-07,2024-03-07 10:04:00,418732,1,18190.75,15.25,TARGET,0.9508196721311475,-149.0,-0.07732226258432798,69.0,0.0223807979240999,0.6250405449237756,1.0612006058102712,,1.0
2023-26,2024-03-07,2024-03-07 10:11:00,418739,1,18207.5,15.0,TARGET,0.95,-43.0,-0.03884372177055104,244.0,0.09090909090909091,0.4124441132637854,1.1514371514371515,,1.0
2023-26,2024-03-08,2024-03-08 09:30:00,420078,-1,18311.5,23.25,STOP,-1.032258064516129,-90.0,-0.018556701030927835,111.0,0.015132924335378323,0.6612133605998637,7.385219492549335,,1.0
2023-26,2024-03-08,2024-03-08 09:41:00,420089,-1,18319.0,9.0,STOP,-1.0833333333333333,-204.0,-0.13709677419354838,-113.0,-0.04667492771581991,0.6146220570012392,0.8654464860227353,,1.0
2023-26,2024-03-08,2024-03-08 09:42:00,420090,-1,18319.0,11.0,STOP,-1.0681818181818181,-37.0,-0.023733162283515075,18.0,0.007518796992481203,0.6512113617376776,0.8255457084727059,,1.0
2023-26,2024-03-11,2024-03-11 09:49:00,421477,1,18212.75,14.5,TARGET,0.9482758620689655,31.0,0.028054298642533938,31.0,0.028054298642533938,1.0,0.8068219088225648,,1.0
2023-26,2024-03-11,2024-03-11 10:09:00,421497,-1,18166.25,12.5,TARGET,0.94,-0.0,,-44.0,-0.053268765133171914,0.0,0.8145968216597999,,1.0
2023-26,2024-03-11,2024-03-11 10:10:00,421498,-1,18164.75,11.0,TARGET,0.9318181818181818,-0.0,,1.0,0.0015600624024961,0.0,0.8412844575929155,,1.0
2023-26,2024-03-14,2024-03-14 10:23:00,425651,1,18291.5,19.25,TARGET,0.961038961038961,-67.0,-0.04143475572047001,101.0,0.04474966770048737,0.7164377492246344,0.9265188834154351,,1.0
2023-26,2024-03-19,2024-03-19 10:13:00,429781,1,18105.5,9.5,STOP,-1.0789473684210527,-35.0,-0.06542056074766354,87.0,0.057961359093937376,0.3564290473017988,0.854686254412937,,1.0
2023-26,2024-03-21,2024-03-21 10:05:00,432533,-1,18638.0,11.0,STOP,-1.0681818181818181,-69.0,-0.10900473933649289,128.0,0.10847457627118644,0.5364406779661017,0.509950517513343,,1.0
2023-26,2024-03-26,2024-03-26 09:40:00,436648,1,18578.5,9.0,STOP,-1.0833333333333333,-199.0,-0.1791179117911791,-106.0,-0.053,0.5555,1.1247645024323032,,1.0
2023-26,2024-04-01,2024-04-01 10:00:00,440808,1,18592.5,22.25,STOP,-1.0337078651685394,-426.0,-0.26492537313432835,-325.0,-0.08331197128941296,0.41220199948731095,2.0015906000667028,,1.0
2023-26,2024-04-01,2024-04-01 10:16:00,440824,-1,18574.75,8.5,TARGET,0.9117647058823529,-69.0,-0.2292358803986711,140.0,0.1318267419962335,0.2834274952919021,0.5317577548005908,,1.0
2023-26,2024-04-02,2024-04-02 09:32:00,442160,-1,18283.25,8.75,TARGET,0.9142857142857143,-119.0,-0.08281141266527488,-97.0,-0.02411135968182948,0.35719612229679343,2.2389181066867017,,1.0
2023-26,2024-04-02,2024-04-02 09:55:00,442183,-1,18239.25,10.0,STOP,-1.075,-126.0,-0.09767441860465116,-22.0,-0.014120667522464698,0.82798459563543,0.5769408802236665,,1.0
2023-26,2024-04-02,2024-04-02 10:22:00,442210,-1,18225.75,8.0,STOP,-1.09375,-277.0,-0.1747634069400631,-226.0,-0.11932418162618796,0.8368532206969377,0.9380881624566617,,1.0
2023-26,2024-04-08,2024-04-08 09:47:00,447695,-1,18283.25,12.0,STOP,-1.0625,-90.0,-0.08823529411764706,-21.0,-0.011965811965811967,0.5811965811965812,0.5858494817485354,,1.0
2023-26,2024-04-08,2024-04-08 10:05:00,447713,1,18301.5,8.75,STOP,-1.0857142857142856,-62.0,-0.10064935064935066,75.0,0.04892367906066536,0.4018264840182648,0.9256128486897718,,1.0
2023-26,2024-04-09,2024-04-09 09:30:00,449058,1,18393.25,14.5,STOP,-1.0517241379310345,-209.0,-0.06649697741011772,74.0,0.012610770279481936,0.5356169052488071,7.121359223300971,,1.0
2023-26,2024-04-11,2024-04-11 09:30:00,451817,-1,18261.25,13.25,TARGET,0.9433962264150944,8.0,0.006379585326953748,299.0,0.05403939996385324,0.22664015904572565,6.296443812233286,,1.0
2023-26,2024-04-11,2024-04-11 09:37:00,451824,-1,18251.25,12.0,TARGET,0.9375,9.0,0.00893743793445879,160.0,0.06514657980456026,0.41001628664495116,1.296726504751848,,1.0
2023-26,2024-04-16,2024-04-16 10:07:00,455993,1,17885.75,20.75,TARGET,0.963855421686747,-91.0,-0.07262569832402235,37.0,0.01547469677959013,0.5240485152655793,1.0957083610200948,,1.0
2023-26,2024-04-17,2024-04-17 09:47:00,457353,-1,17934.75,8.5,TARGET,0.9117647058823529,-42.0,-0.061946902654867256,94.0,0.07781456953642384,0.5612582781456954,0.5217691776088459,,1.0
2023-26,2024-04-23,2024-04-23 09:51:00,462877,1,17470.5,15.75,TARGET,0.9523809523809523,-72.0,-0.03592814371257485,-14.0,-0.0045045045045045045,0.6447876447876448,0.9044743543106584,,1.0
2023-26,2024-04-24,2024-04-24 10:23:00,464289,-1,17732.25,13.25,STOP,-1.0566037735849056,-174.0,-0.12357954545454546,-113.0,-0.0736156351791531,0.9172638436482085,0.8819051449254546,,1.0
2023-26,2024-04-24,2024-04-24 10:25:00,464291,-1,17734.75,14.5,TARGET,0.9482758620689655,-73.0,-0.04611497157296273,-38.0,-0.022222222222222223,0.9257309941520467,1.0178268503913575,,1.0
2023-26,2024-04-24,2024-04-24 10:26:00,464292,-1,17732.75,8.0,TARGET,0.90625,-18.0,-0.02857142857142857,40.0,0.04975124378109453,0.7835820895522388,0.5096995055154051,,1.0
2023-26,2024-04-25,2024-04-25 09:52:00,465638,1,17357.25,11.25,TARGET,0.9333333333333333,-192.0,-0.07875307629204266,-153.0,-0.04078912290055985,0.649960010663823,0.9920787103770217,,1.0
2023-26,2024-04-30,2024-04-30 09:54:00,469780,1,17864.25,13.5,TARGET,0.9444444444444444,-20.0,-0.014947683109118086,-2.0,-0.0014619883040935672,0.9780701754385965,0.6165911703062673,,1.0
2023-26,2024-04-30,2024-04-30 09:56:00,469782,1,17865.25,9.75,TARGET,0.9230769230769231,-44.0,-0.08333333333333333,24.0,0.02733485193621868,0.6013667425968109,0.4346104346104346,,1.0
2023-26,2024-10-01,2024-10-01 10:25:00,620394,-1,19946.5,18.5,TARGET,0.9594594594594594,-91.0,-0.14108527131782947,34.0,0.020506634499396863,0.38902291917973464,0.7775459000633105,,1.0
2023-26,2024-10-04,2024-10-04 09:36:00,624485,-1,20217.25,22.25,TARGET,0.9662921348314607,-145.0,-0.07493540051679587,-162.0,-0.05172413793103448,0.617816091954023,2.1367900392290635,,1.0
2023-26,2024-10-04,2024-10-04 09:43:00,624492,-1,20219.25,9.5,TARGET,0.9210526315789473,14.0,0.041176470588235294,176.0,0.1527777777777778,0.2951388888888889,0.6047720292936452,,1.0
2023-26,2024-10-07,2024-10-07 09:40:00,625869,1,20154.25,16.75,STOP,-1.044776119402985,-168.0,-0.24633431085043989,-105.0,-0.08133230054221534,0.528272656855151,1.0100931069556374,,1.0
2023-26,2024-10-11,2024-10-11 10:03:00,631412,1,20356.25,11.5,TARGET,0.9347826086956522,-84.0,-0.15384615384615385,14.0,0.013944223107569721,0.5438247011952191,0.7875745214935677,,1.0
2023-26,2024-10-11,2024-10-11 10:04:00,631413,1,20360.5,11.75,TARGET,0.9361702127659575,19.0,0.04834605597964377,119.0,0.18335901386748846,0.6055469953775039,0.5281360621719494,,1.0
2023-26,2024-10-11,2024-10-11 10:05:00,631414,1,20367.25,12.75,TARGET,0.9411764705882353,-33.0,-0.07951807228915662,116.0,0.11462450592885376,0.41007905138339923,0.8489932885906041,,1.0
2023-26,2024-10-15,2024-10-15 09:49:00,634158,-1,20621.5,9.25,TARGET,0.918918918918919,-42.0,-0.10824742268041238,68.0,0.07657657657657657,0.4369369369369369,0.5598638169094005,,1.0
2023-26,2024-10-18,2024-10-18 10:05:00,638313,1,20492.25,16.5,TARGET,0.9545454545454546,-4.0,-0.004819277108433735,113.0,0.10690633869441817,0.7852412488174078,0.8821933814630889,,1.0
2023-26,2024-10-21,2024-10-21 09:32:00,639660,1,20440.5,18.25,TARGET,0.958904109589041,-161.0,-0.07677634716261325,-102.0,-0.04073482428115016,0.8374600638977636,3.3764832793959005,,1.0
2023-26,2024-10-22,2024-10-22 09:56:00,641063,1,20445.5,11.5,TARGET,0.9347826086956522,-122.0,-0.11213235294117647,-78.0,-0.06467661691542288,0.9021558872305141,0.7105193389695702,,1.0
2023-26,2024-10-22,2024-10-22 10:01:00,641068,1,20459.0,10.0,STOP,-1.075,-23.0,-0.04144144144144144,93.0,0.08555657773689053,0.5105795768169273,0.6646082357616704,,1.0
2023-26,2024-10-23,2024-10-23 09:32:00,642419,-1,20423.75,29.25,TARGET,0.9743589743589743,-31.0,-0.013437364542696142,83.0,0.022959889349930845,0.6381742738589211,3.1204143288735433,,1.0
2023-26,2024-10-24,2024-10-24 09:53:00,643820,-1,20325.75,10.0,STOP,-1.075,6.0,0.006437768240343348,32.0,0.03125,0.91015625,0.5912922970319898,,1.0
