tape,tf,sess,trend,W,U,buf,tgt,dolk,minrisk,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2023-26,2,NY,SIDE,1.0,0.5,2,R2,10,0.0,454,-0.05141145601286408,-23.340801029840293,0.32819383259911894,0.3333333333333333,-0.005139500734214375,2.0,20.5,-0.7797128262770244,-0.05914541258112038,-0.0436774994446078,-0.06498442376123487,0.00881057268722467
2023-26,2,NY,SIDE,1.0,0.5,2,R3,10,0.0,454,0.011675240915161604,5.300559375483369,0.2577092511013216,0.25,0.00770925110132159,3.0,20.5,0.14231712748771477,-0.04873357627228664,0.07208405810260983,-0.008127336896324312,0.01762114537444934
2023-26,2,NY,SIDE,2.0,0.5,2,R2,10,0.0,258,0.030996369901850493,7.997063434677427,0.35658914728682173,0.3333333333333333,0.023255813953488413,2.0,19.0,0.34646205161657,0.04545288164445036,0.01653985815925062,0.007978704558686399,0.007751937984496124
2023-26,2,NY,SIDE,2.0,0.5,2,R3,10,0.0,258,0.15305709341606238,39.488730101344096,0.29457364341085274,0.25,0.04457364341085274,3.0,19.0,1.3444404969032553,0.16173195141189226,0.14438223542023254,0.11971915446721575,0.011627906976744186
2023-26,2,NY,HHHL,1.0,0.5,2,R2,10,0.0,406,-0.22204291074294918,-90.14942176163737,0.270935960591133,0.3333333333333333,-0.06239737274220031,2.0,20.5,-3.3486926545727154,-0.29508653196456336,-0.14899928952133498,-0.2385263387018192,0.007389162561576354
2023-26,2,NY,HHHL,1.0,0.5,2,R3,10,0.0,406,-0.1625206552503408,-65.98338603163836,0.21182266009852216,0.25,-0.03817733990147784,3.0,20.5,-1.9935950645858251,-0.26373930614138463,-0.061302004359296926,-0.18599495338144315,0.019704433497536946
2023-26,2,NY,HHHL,2.0,0.5,2,R2,10,0.0,219,-0.20461972493278868,-44.811719760280724,0.2785388127853881,0.3333333333333333,-0.0547945205479452,2.0,19.5,-2.2400892055855013,-0.3691784707795243,-0.04155696768465972,-0.23509011482852704,0.0045662100456621
2023-26,2,NY,HHHL,2.0,0.5,2,R3,10,0.0,219,-0.13605195328282527,-29.795377768938735,0.2191780821917808,0.25,-0.03082191780821919,3.0,19.5,-1.2038398063805478,-0.2866096634400749,0.013137050418449349,-0.17941973780741205,0.0136986301369863
2023-26,2,NY,SLOPE,1.0,0.5,2,R2,10,0.0,725,-0.04211406149377492,-30.532694582986817,0.33241379310344826,0.3333333333333333,-0.0009195402298850519,2.0,20.0,-0.8035991140628398,-0.05725620001121671,-0.027013636856546463,-0.0505635593638584,0.005517241379310344
2023-26,2,NY,SLOPE,1.0,0.5,2,R3,10,0.0,725,-0.012301180836455065,-8.918356106429922,0.2496551724137931,0.25,-0.00034482758620690834,3.0,20.0,-0.19096080968808846,-0.06627163788168082,0.04152059726374255,-0.0247759578378851,0.01793103448275862
2023-26,2,NY,SLOPE,2.0,0.5,2,R2,10,0.0,392,0.04428582489561256,17.360043359080123,0.3622448979591837,0.3333333333333333,0.028911564625850372,2.0,18.75,0.608226131574454,0.03589012717523948,0.05268152261598562,0.029299613333850085,0.00510204081632653
