ts_event,open,high,low,close,volume
2026-07-28 12:04:00+00:00,27972.0,27993.75,27969.75,27983.0,379.0
2026-07-28 12:05:00+00:00,27984.25,27991.5,27978.0,27986.75,200.0
2026-07-28 12:06:00+00:00,27987.5,28001.75,27981.0,27981.75,343.0
2026-07-28 12:07:00+00:00,27981.0,27988.5,27975.25,27975.25,190.0
2026-07-28 12:08:00+00:00,27975.0,27978.75,27970.0,27971.0,168.0
2026-07-28 12:09:00+00:00,27970.75,27989.5,27970.75,27978.75,144.0
2026-07-28 12:10:00+00:00,27978.25,27982.75,27958.75,27966.75,249.0
2026-07-28 12:11:00+00:00,27967.25,27968.75,27958.25,27958.25,110.0
2026-07-28 12:12:00+00:00,27958.0,27965.75,27955.25,27957.0,122.0
2026-07-28 12:13:00+00:00,27956.25,27961.5,27949.25,27960.75,238.0
2026-07-28 12:14:00+00:00,27961.25,27968.0,27958.75,27963.0,60.0
2026-07-28 12:15:00+00:00,27967.0,27967.5,27950.0,27954.25,100.0
2026-07-28 12:16:00+00:00,27954.0,27960.75,27949.5,27960.75,142.0
2026-07-28 12:17:00+00:00,27958.75,27965.25,27957.25,27959.25,123.0
2026-07-28 12:18:00+00:00,27960.75,27970.0,27958.0,27968.25,272.0
2026-07-28 12:19:00+00:00,27966.5,27973.25,27960.25,27968.25,152.0
2026-07-28 12:20:00+00:00,27970.0,27970.5,27958.5,27963.25,125.0
2026-07-28 12:21:00+00:00,27963.5,27976.75,27960.75,27974.25,126.0
2026-07-28 12:22:00+00:00,27973.75,27973.75,27963.25,27964.0,65.0
2026-07-28 12:23:00+00:00,27964.0,27980.0,27961.25,27968.0,98.0
2026-07-28 12:24:00+00:00,27965.25,27977.25,27954.25,27975.25,277.0
2026-07-28 12:25:00+00:00,27976.0,27994.25,27970.0,27992.0,237.0
2026-07-28 12:26:00+00:00,27992.5,27996.75,27984.0,27989.0,232.0
2026-07-28 12:27:00+00:00,27991.0,28018.5,27988.25,28012.75,799.0
2026-07-28 12:28:00+00:00,28009.75,28011.5,27997.5,27997.5,183.0
2026-07-28 12:29:00+00:00,27998.25,28012.0,27995.75,28010.0,139.0
2026-07-28 12:30:00+00:00,28010.75,28027.75,28004.75,28022.0,454.0
2026-07-28 12:31:00+00:00,28022.0,28023.25,27992.5,28003.25,369.0
2026-07-28 12:32:00+00:00,28003.5,28011.5,28001.25,28009.5,167.0
2026-07-28 12:33:00+00:00,28010.25,28016.0,27993.75,27995.25,223.0
2026-07-28 12:34:00+00:00,27996.75,28001.0,27967.5,27979.0,865.0
2026-07-28 12:35:00+00:00,27979.0,27986.0,27971.5,27980.0,330.0
2026-07-28 12:36:00+00:00,27978.25,27998.5,27968.5,27991.0,291.0
2026-07-28 12:37:00+00:00,27990.5,27994.5,27969.0,27973.5,269.0
2026-07-28 12:38:00+00:00,27973.75,27982.5,27970.75,27973.25,196.0
2026-07-28 12:39:00+00:00,27972.25,27973.75,27964.75,27966.0,225.0
2026-07-28 12:40:00+00:00,27966.0,27981.5,27961.25,27964.25,287.0
2026-07-28 12:41:00+00:00,27963.75,27970.25,27956.25,27967.5,551.0
2026-07-28 12:42:00+00:00,27967.5,27998.25,27965.5,27990.75,455.0
2026-07-28 12:43:00+00:00,27991.25,28007.0,27989.25,27999.25,572.0
2026-07-28 12:44:00+00:00,28000.75,28018.0,27998.5,28009.5,392.0
2026-07-28 12:45:00+00:00,28010.5,28014.5,28005.75,28012.0,275.0
2026-07-28 12:46:00+00:00,28012.25,28032.75,28009.75,28019.5,763.0
2026-07-28 12:47:00+00:00,28019.5,28025.5,28013.5,28017.75,179.0
2026-07-28 12:48:00+00:00,28017.5,28018.25,28007.75,28011.25,285.0
2026-07-28 12:49:00+00:00,28011.75,28018.5,28001.25,28006.5,272.0
2026-07-28 12:50:00+00:00,28007.5,28010.5,27982.5,27982.75,668.0
2026-07-28 12:51:00+00:00,27982.25,27988.5,27977.5,27987.25,280.0
2026-07-28 12:52:00+00:00,27988.25,27992.5,27984.5,27985.25,184.0
2026-07-28 12:53:00+00:00,27984.5,27990.75,27982.0,27984.0,156.0
2026-07-28 12:54:00+00:00,27983.5,28013.25,27982.25,28007.75,409.0
2026-07-28 12:55:00+00:00,28009.25,28017.5,28004.75,28010.25,233.0
2026-07-28 12:56:00+00:00,28011.25,28016.75,28007.0,28012.5,106.0
2026-07-28 12:57:00+00:00,28012.25,28015.5,28007.25,28009.25,117.0
2026-07-28 12:58:00+00:00,28009.0,28009.0,27993.5,27995.0,194.0
2026-07-28 12:59:00+00:00,27997.0,27998.25,27992.0,27993.25,166.0
2026-07-28 13:00:00+00:00,27993.75,28004.5,27985.0,27986.5,497.0
2026-07-28 13:01:00+00:00,27986.0,27992.5,27977.25,27986.0,380.0
2026-07-28 13:02:00+00:00,27985.75,27992.5,27980.0,27984.75,310.0
2026-07-28 13:03:00+00:00,27984.5,27992.5,27974.5,27979.75,314.0
2026-07-28 13:04:00+00:00,27978.5,27985.75,27976.25,27980.0,136.0
2026-07-28 13:05:00+00:00,27977.5,27983.0,27974.0,27983.0,145.0
2026-07-28 13:06:00+00:00,27982.5,28011.5,27982.5,28006.5,426.0
2026-07-28 13:07:00+00:00,28006.0,28016.0,28005.25,28015.5,192.0
2026-07-28 13:08:00+00:00,28015.5,28027.75,28010.25,28019.75,301.0
2026-07-28 13:09:00+00:00,28020.25,28024.5,28016.5,28018.0,203.0
2026-07-28 13:10:00+00:00,28017.0,28023.0,28010.5,28020.25,407.0
2026-07-28 13:11:00+00:00,28020.0,28022.0,28000.75,28003.75,536.0
2026-07-28 13:12:00+00:00,28004.75,28008.5,27998.5,28000.75,315.0
2026-07-28 13:13:00+00:00,28000.25,28006.25,27999.25,28004.0,130.0
2026-07-28 13:14:00+00:00,28003.25,28005.25,27996.25,28001.25,192.0
2026-07-28 13:15:00+00:00,28003.0,28003.75,27994.75,28001.0,204.0
2026-07-28 13:16:00+00:00,28001.0,28007.5,27997.25,28003.75,254.0
2026-07-28 13:17:00+00:00,28004.5,28014.75,28002.25,28009.0,239.0
2026-07-28 13:18:00+00:00,28007.0,28028.5,28006.5,28028.25,323.0
2026-07-28 13:19:00+00:00,28028.25,28028.25,28011.75,28013.5,194.0
2026-07-28 13:20:00+00:00,28013.5,28021.0,28010.5,28018.0,195.0
2026-07-28 13:21:00+00:00,28017.5,28020.75,28009.25,28016.75,207.0
2026-07-28 13:22:00+00:00,28017.25,28019.5,27994.25,27997.5,267.0
2026-07-28 13:23:00+00:00,27997.0,27999.25,27986.0,27987.0,375.0
2026-07-28 13:24:00+00:00,27988.0,27999.0,27986.5,27998.5,285.0
2026-07-28 13:25:00+00:00,27998.0,27998.0,27969.0,27978.0,717.0
2026-07-28 13:26:00+00:00,27980.25,27980.75,27968.0,27976.0,215.0
2026-07-28 13:27:00+00:00,27975.75,27977.0,27952.25,27967.75,785.0
2026-07-28 13:28:00+00:00,27965.0,27965.0,27938.25,27948.0,892.0
2026-07-28 13:29:00+00:00,27947.75,27955.5,27938.0,27949.0,1050.0
2026-07-28 13:30:00+00:00,27950.0,27992.0,27928.75,27943.5,5220.0
2026-07-28 13:31:00+00:00,27945.5,27949.0,27899.25,27910.5,4091.0
