tape,tf,sess,trend,W,U,buf,tgt,dolk,minrisk,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2023-26,1,NY,SLOPE,1.0,0.5,2,DOL,10,8.0,1252,-0.03805926589805449,-47.65020090436422,0.38977635782747605,0.4081139172487909,-0.018337559421314875,1.4502962475312706,15.0,-0.9384970465749619,-0.023018162519766395,-0.05305239127513592,-0.058391404739731666,0.0007987220447284345
2023-26,1,NY,SLOPE,2.0,0.5,2,R2,10,8.0,691,0.010429116146636554,7.2065192573258585,0.3545586107091172,0.3333333333333333,0.02122527737578389,2.0,14.5,0.1909034610982947,0.01736732484905771,0.0035109600705229733,0.0018004629183568132,0.0
2023-26,1,NY,SLOPE,2.0,0.5,2,R3,10,8.0,691,0.07994686535920145,55.2432839632082,0.2821997105643994,0.25,0.03219971056439941,3.0,14.5,1.1656888453986316,0.06374413644326062,0.09610276557885346,0.06726087673504631,0.001447178002894356
2023-26,1,NY,SLOPE,2.0,0.5,2,DOL,10,8.0,691,-0.027597141436865286,-19.069624732873912,0.37771345875542695,0.38079470198675497,-0.0030812432313280236,1.626086956521739,14.5,-0.4763193394139449,-0.029363231563116102,-0.025836155617337726,-0.06407918759140718,0.001447178002894356
2023-26,3,NY,SIDE,1.0,0.5,2,R2,10,8.0,325,0.10913652649375087,35.469371110469034,0.3723076923076923,0.3333333333333333,0.03897435897435897,2.0,24.75,1.360864384285656,0.2082616935751981,0.010619489271699053,0.09160594205885834,0.018461538461538463
2023-26,3,NY,SIDE,1.0,0.5,2,R3,10,8.0,325,0.1345543897792191,43.73017667824621,0.24923076923076923,0.25,-0.000769230769230772,3.0,24.75,1.3832858517596536,0.276127047290106,-0.006149723820557988,0.10794781981520822,0.07692307692307693
2023-26,3,NY,SIDE,1.0,0.5,2,DOL,10,8.0,325,0.05844005775210306,18.993018769433494,0.41846153846153844,0.4074074074074074,0.011054131054131056,1.4545454545454546,24.75,0.7318916438290105,0.19179889732442224,-0.0741006294302019,0.008814928619818441,0.0
2023-26,3,NY,SIDE,2.0,0.5,2,R2,10,8.0,198,0.12841699001664073,25.426564023294862,0.3838383838383838,0.3333333333333333,0.0505050505050505,2.0,22.875,1.2391153808818047,0.18155274749049521,0.07528123254278621,0.0997770136463451,0.010101010101010102
2023-26,3,NY,SIDE,2.0,0.5,2,R3,10,8.0,198,0.1279066996660219,25.325526533872335,0.25757575757575757,0.25,0.007575757575757569,3.0,22.875,1.0170652431478624,0.2814302673680151,-0.025616868035971265,0.08389156931064488,0.06060606060606061
2023-26,3,NY,SIDE,2.0,0.5,2,DOL,10,8.0,198,0.0463592352185901,9.17912857328084,0.41919191919191917,0.38494756323257245,0.03424435595934672,1.5977564102564104,22.875,0.467629125351559,0.23955914808821352,-0.1468406776510333,-0.018466937667081542,0.0
