tape,tf,sess,trend,W,U,buf,tgt,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2023-26,3,NY,SIDE,1.0,0.5,2,R3,330,0.10135349213252715,33.44665240373396,0.24848484848484848,0.25,-0.001515151515151525,3.0,24.375,1.0490191672996994,0.21388341338874214,-0.011176429123687876,0.07490832183736584,0.07575757575757576
2023-26,3,NY,SIDE,1.0,0.5,2,DOL,330,-0.031704872213973834,-10.462607830611365,0.43333333333333335,0.4809503210993911,-0.04761698776605777,1.0792168257921682,24.375,-0.45376771833038015,0.042753885355799014,-0.10616362978374667,-0.06774355570132197,0.0
2023-26,3,NY,SIDE,2.0,0.5,2,R1,201,-0.020143987753622285,-4.048941538478079,0.5223880597014925,0.5,0.02238805970149249,1.0,22.5,-0.28321049955713756,0.03379052866479195,-0.07354449905898289,-0.03536822544890971,0.0
2023-26,3,NY,SIDE,2.0,0.5,2,R2,201,0.08154980705187782,16.391511217427443,0.3781094527363184,0.3333333333333333,0.04477611940298509,2.0,22.5,0.7918487637892407,0.09757005622384711,0.06568817420834384,0.052734514883829235,0.009950248756218905
2023-26,3,NY,SIDE,2.0,0.5,2,R3,201,0.08104713297514883,16.290473728004915,0.2537313432835821,0.25,0.0037313432835821003,3.0,22.5,0.6503402865201839,0.22644880090259178,-0.06291491447776497,0.03710112557665303,0.05970149253731343
2023-26,3,NY,SIDE,2.0,0.5,2,DOL,201,-0.03607836556802607,-7.25175147917324,0.43283582089552236,0.4586466165413534,-0.025810795645831053,1.180327868852459,22.5,-0.4075197930369006,0.12134354027653436,-0.19194163868145225,-0.08689116107005875,0.0
2023-26,3,NY,HHHL,1.0,0.5,2,R1,289,-0.1245390872610168,-35.991796218433855,0.4671280276816609,0.5,-0.032871972318339104,1.0,24.25,-2.1110103281388644,-0.127731618850572,-0.12136857313069992,-0.13620561841399725,0.0
2023-26,3,NY,HHHL,1.0,0.5,2,R2,289,-0.03400308040494336,-9.826890237028632,0.32525951557093424,0.3333333333333333,-0.008073817762399071,2.0,24.25,-0.40911751932090884,0.0877289074652175,-0.15489553732427552,-0.055156526416023643,0.02422145328719723
2023-26,3,NY,HHHL,1.0,0.5,2,R3,289,-0.013674687865747987,-3.9519847932011682,0.23183391003460208,0.25,-0.018166089965397925,3.0,24.25,-0.13575798136203784,0.09933564221396676,-0.12590563635870608,-0.04510167715312569,0.05190311418685121
2023-26,3,NY,HHHL,1.0,0.5,2,DOL,289,-0.09282813380795006,-26.827330670497567,0.39100346020761245,0.45303867403314924,-0.062035213825536784,1.2073170731707317,24.25,-1.2051441893730506,-0.054864127118091584,-0.1305303197620164,-0.13737544187667594,0.0
2023-26,3,NY,HHHL,2.0,0.5,2,R1,161,-0.14352528383156274,-23.107570696881602,0.45962732919254656,0.5,-0.04037267080745344,1.0,22.75,-1.8097347993041994,-0.12731934798107067,-0.15953114639995,-0.1648870667450934,0.0
2023-26,3,NY,HHHL,2.0,0.5,2,R2,161,0.020669256694011352,3.327750327735828,0.34782608695652173,0.3333333333333333,0.014492753623188415,2.0,22.75,0.18194084680967454,0.16018065201892934,-0.11711977572566072,-0.016528050260985312,0.018633540372670808
2023-26,3,NY,HHHL,2.0,0.5,2,R3,161,0.02940967528395701,4.7349577207170785,0.2484472049689441,0.25,-0.0015527950310559036,3.0,22.75,0.2130135362954191,0.20388508551646628,-0.14291171753827436,-0.02657730474248874,0.043478260869565216
