entry,stop,risk,rr,res,pnl,r,bars_held,i_entry,n,day,level,target
4160.0,4153.0,7.0,2.142857142857143,STOP,-7.0,-1.0714285714285714,6,3,130,2021-05-06,MHL,15.0
4207.0,4195.25,11.75,1.2765957446808511,TARGET,15.0,1.2340425531914894,10,2,130,2021-05-07,MHL,15.0
4227.25,4220.25,7.0,2.142857142857143,STOP,-7.0,-1.0714285714285714,7,13,130,2021-05-10,MHL,15.0
4133.75,4103.5,30.25,0.49586776859504134,TARGET,15.0,0.4793388429752066,47,36,130,2021-05-11,MHL,15.0
4099.5,4090.0,9.5,1.5789473684210527,STOP,-9.5,-1.0526315789473684,12,30,130,2021-05-12,MHL,15.0
4149.75,4144.25,5.5,2.727272727272727,STOP,-5.5,-1.0909090909090908,1,12,130,2021-05-17,MHL,15.0
4159.5,4152.25,7.25,2.0689655172413794,STOP,-7.25,-1.0689655172413792,4,3,130,2021-05-18,MHL,15.0
4067.75,4060.75,7.0,2.142857142857143,STOP,-7.0,-1.0714285714285714,6,5,130,2021-05-19,MHL,15.0
4162.25,4160.75,1.5,10.0,STOP,-1.5,-1.3333333333333333,2,50,130,2021-05-21,MHL,15.0
4191.5,4180.25,11.25,1.3333333333333333,FLAT,2.25,0.15555555555555556,109,20,130,2021-05-26,MHL,15.0
4210.75,4206.0,4.75,3.1578947368421053,STOP,-4.75,-1.105263157894737,8,8,130,2021-05-28,MHL,15.0
4200.25,4195.25,5.0,3.0,FLAT,6.0,1.1,33,96,130,2021-06-02,MHL,15.0
4173.5,4165.0,8.5,1.7647058823529411,TARGET,15.0,1.7058823529411764,18,8,130,2021-06-03,MHL,15.0
4217.75,4215.25,2.5,6.0,STOP,-2.5,-1.2,16,27,130,2021-06-07,MHL,15.0
4214.5,4205.5,9.0,1.6666666666666667,TARGET,15.0,1.6111111111111112,67,41,130,2021-06-08,MHL,15.0
4195.0,4185.25,9.75,1.5384615384615385,TARGET,15.0,1.4871794871794872,10,62,130,2021-06-17,MHL,15.0
4179.5,4170.25,9.25,1.6216216216216217,STOP,-9.25,-1.054054054054054,5,2,130,2021-06-18,MHL,15.0
4167.75,4164.5,3.25,4.615384615384615,TARGET,15.0,4.461538461538462,5,3,130,2021-06-21,MHL,15.0
4209.5,4206.0,3.5,4.285714285714286,STOP,-3.5,-1.1428571428571428,1,9,130,2021-06-22,MHL,15.0
4271.25,4265.5,5.75,2.608695652173913,STOP,-5.75,-1.0869565217391304,65,8,130,2021-06-28,MHL,15.0
4340.0,4335.25,4.75,3.1578947368421053,STOP,-4.75,-1.105263157894737,6,13,130,2021-07-07,MHL,15.0
4364.75,4354.25,10.5,1.4285714285714286,FLAT,3.0,0.23809523809523808,78,51,130,2021-07-14,MHL,15.0
4354.5,4344.75,9.75,1.5384615384615385,STOP,-9.75,-1.0512820512820513,69,5,130,2021-07-15,MHL,15.0
4264.25,4257.0,7.25,2.0689655172413794,STOP,-7.25,-1.0689655172413792,1,5,130,2021-07-19,MHL,15.0
4258.25,4252.5,5.75,2.608695652173913,TARGET,15.0,2.5217391304347827,3,2,130,2021-07-20,MHL,15.0
4353.75,4344.75,9.0,1.6666666666666667,STOP,-9.0,-1.0555555555555556,4,4,130,2021-07-22,MHL,15.0
4378.5,4374.25,4.25,3.5294117647058822,STOP,-4.25,-1.1176470588235294,3,5,130,2021-07-23,MHL,15.0
4399.25,4389.75,9.5,1.5789473684210527,STOP,-9.5,-1.0526315789473684,7,7,130,2021-07-27,MHL,15.0
4393.5,4385.25,8.25,1.8181818181818181,STOP,-8.25,-1.0606060606060606,62,17,130,2021-07-28,MHL,15.0
4408.75,4401.25,7.5,2.0,STOP,-7.5,-1.0666666666666667,33,14,130,2021-08-02,MHL,15.0
4387.25,4365.0,22.25,0.6741573033707865,TARGET,15.0,0.651685393258427,6,42,130,2021-08-03,MHL,15.0
4399.75,4393.75,6.0,2.5,STOP,-6.0,-1.0833333333333333,21,22,130,2021-08-04,MHL,15.0
4424.25,4416.5,7.75,1.935483870967742,FLAT,1.25,0.0967741935483871,124,5,130,2021-08-09,MHL,15.0
4427.0,4422.0,5.0,3.0,FLAT,3.25,0.55,100,29,130,2021-08-10,MHL,15.0
4438.25,4430.0,8.25,1.8181818181818181,TARGET,15.0,1.7575757575757576,88,23,130,2021-08-12,MHL,15.0
4458.5,4454.5,4.0,3.75,STOP,-4.0,-1.125,7,4,130,2021-08-13,MHL,15.0
4443.25,4434.5,8.75,1.7142857142857142,STOP,-8.75,-1.0571428571428572,5,13,130,2021-08-16,MHL,15.0
4447.5,4439.5,8.0,1.875,STOP,-8.0,-1.0625,5,3,130,2021-08-17,MHL,15.0
4435.0,4430.0,5.0,3.0,STOP,-5.0,-1.1,92,2,130,2021-08-18,MHL,15.0
4519.75,4512.25,7.5,2.0,FLAT,0.5,0.0,117,12,130,2021-08-31,MHL,15.0
4530.0,4523.75,6.25,2.4,STOP,-6.25,-1.08,3,6,130,2021-09-01,MHL,15.0
4528.25,4522.5,5.75,2.608695652173913,FLAT,7.75,1.2608695652173914,22,107,130,2021-09-02,MHL,15.0
4524.75,4521.0,3.75,4.0,STOP,-3.75,-1.1333333333333333,3,4,130,2021-09-03,MHL,15.0
4511.75,4506.75,5.0,3.0,STOP,-5.0,-1.1,18,3,130,2021-09-08,MHL,15.0
4472.5,4461.5,11.0,1.3636363636363635,STOP,-11.0,-1.0454545454545454,3,7,130,2021-09-13,MHL,15.0
4452.25,4439.0,13.25,1.1320754716981132,STOP,-13.25,-1.0377358490566038,28,43,130,2021-09-14,MHL,15.0
4441.0,4427.25,13.75,1.0909090909090908,TARGET,15.0,1.0545454545454545,56,5,130,2021-09-15,MHL,15.0
4458.75,4433.0,25.75,0.5825242718446602,TARGET,15.0,0.5631067961165048,24,88,130,2021-09-16,MHL,15.0
4375.25,4360.75,14.5,1.0344827586206897,STOP,-14.5,-1.0344827586206897,10,2,130,2021-09-21,MHL,15.0
4363.0,4356.25,6.75,2.2222222222222223,TARGET,15.0,2.1481481481481484,4,6,130,2021-09-22,MHL,15.0
4435.5,4424.75,10.75,1.3953488372093024,FLAT,-2.25,-0.2558139534883721,124,5,130,2021-09-27,MHL,15.0
4366.75,4345.75,21.0,0.7142857142857143,STOP,-21.0,-1.0238095238095237,76,7,130,2021-09-29,MHL,15.0
4363.25,4351.75,11.5,1.3043478260869565,STOP,-11.5,-1.0434782608695652,4,16,130,2021-09-30,MHL,15.0
4303.0,4298.25,4.75,3.1578947368421053,TARGET,15.0,3.0526315789473686,3,4,130,2021-10-05,MHL,15.0
4386.5,4382.0,4.5,3.3333333333333335,STOP,-4.5,-1.1111111111111112,13,62,130,2021-10-08,MHL,15.0
4355.5,4338.75,16.75,0.8955223880597015,STOP,-16.75,-1.0298507462686568,117,7,130,2021-10-12,MHL,15.0
4333.75,4330.5,3.25,4.615384615384615,STOP,-3.25,-1.1538461538461537,3,10,130,2021-10-13,MHL,15.0
4496.25,4489.0,7.25,2.0689655172413794,STOP,-7.25,-1.0689655172413792,2,3,130,2021-10-19,MHL,15.0
4545.5,4533.5,12.0,1.25,STOP,-12.0,-1.0416666666666667,33,2,130,2021-10-22,MHL,15.0
4541.25,4528.5,12.75,1.1764705882352942,TARGET,15.0,1.1372549019607843,42,9,130,2021-10-25,MHL,15.0
4581.25,4572.5,8.75,1.7142857142857142,STOP,-8.75,-1.0571428571428572,49,2,130,2021-10-26,MHL,15.0
4604.5,4586.25,18.25,0.821917808219178,FLAT,1.5,0.0547945205479452,59,70,130,2021-11-01,MHL,15.0
4617.75,4612.75,5.0,3.0,TARGET,15.0,2.9,100,4,130,2021-11-03,MHL,15.0
4660.0,4654.25,5.75,2.608695652173913,FLAT,14.0,2.347826086956522,126,3,130,2021-11-04,MHL,15.0
4682.5,4674.0,8.5,1.7647058823529411,FLAT,7.5,0.8235294117647058,48,81,130,2021-11-05,MHL,15.0
4692.5,4686.5,6.0,2.5,FLAT,1.75,0.20833333333333334,55,74,130,2021-11-08,MHL,15.0
4649.0,4645.5,3.5,4.285714285714286,TARGET,15.0,4.142857142857143,26,4,130,2021-11-12,MHL,15.0
4691.25,4686.25,5.0,3.0,STOP,-5.0,-1.1,1,2,130,2021-11-15,MHL,15.0
4693.0,4679.0,14.0,1.0714285714285714,FLAT,-6.75,-0.5178571428571429,106,23,130,2021-11-17,MHL,15.0
4699.5,4667.75,31.75,0.47244094488188976,FLAT,2.5,0.06299212598425197,78,51,130,2021-11-18,MHL,15.0
4704.25,4697.25,7.0,2.142857142857143,TARGET,15.0,2.0714285714285716,52,50,130,2021-11-22,MHL,15.0
4681.25,4666.75,14.5,1.0344827586206897,STOP,-14.5,-1.0344827586206897,14,4,130,2021-11-23,MHL,15.0
4667.25,4657.75,9.5,1.5789473684210527,STOP,-9.5,-1.0526315789473684,3,2,130,2021-11-24,MHL,15.0
4609.75,4593.75,16.0,0.9375,STOP,-16.0,-1.03125,18,17,75,2021-11-26,MHL,15.0
4628.0,4621.0,7.0,2.142857142857143,TARGET,15.0,2.0714285714285716,17,25,130,2021-11-29,MHL,15.0
4615.0,4606.0,9.0,1.6666666666666667,TARGET,15.0,1.6111111111111112,2,8,130,2021-12-01,MHL,15.0
4687.5,4678.5,9.0,1.6666666666666667,STOP,-9.0,-1.0555555555555556,15,4,130,2021-12-08,MHL,15.0
4639.25,4623.0,16.25,0.9230769230769231,STOP,-16.25,-1.0307692307692307,22,2,130,2021-12-14,MHL,15.0
4637.0,4601.75,35.25,0.425531914893617,TARGET,15.0,0.41134751773049644,16,92,130,2021-12-15,MHL,15.0
4636.75,4589.75,47.0,0.3191489361702128,TARGET,15.0,0.30851063829787234,9,25,130,2021-12-17,MHL,15.0
4549.25,4540.0,9.25,1.6216216216216217,STOP,-9.25,-1.054054054054054,1,5,130,2021-12-20,MHL,15.0
4594.0,4579.75,14.25,1.0526315789473684,STOP,-14.25,-1.0350877192982457,3,15,130,2021-12-21,MHL,15.0
4785.5,4783.5,2.0,7.5,STOP,-2.0,-1.25,1,2,130,2021-12-28,MHL,15.0
4778.0,4769.75,8.25,1.8181818181818181,TARGET,15.0,1.7575757575757576,104,17,130,2021-12-29,MHL,15.0
4783.25,4771.5,11.75,1.2765957446808511,STOP,-11.75,-1.0425531914893618,3,2,130,2022-01-03,MHL,15.0
4779.25,4769.75,9.5,1.5789473684210527,STOP,-9.5,-1.0526315789473684,61,3,130,2022-01-05,MHL,15.0
4705.25,4685.0,20.25,0.7407407407407407,STOP,-20.25,-1.0246913580246915,6,2,130,2022-01-06,MHL,15.0
4672.0,4653.5,18.5,0.8108108108108109,TARGET,15.0,0.7837837837837838,8,40,130,2022-01-07,MHL,15.0
4632.0,4572.5,59.5,0.25210084033613445,TARGET,15.0,0.24369747899159663,32,91,130,2022-01-10,MHL,15.0
4670.0,4627.0,43.0,0.3488372093023256,TARGET,15.0,0.3372093023255814,9,35,130,2022-01-11,MHL,15.0
4711.0,4696.5,14.5,1.0344827586206897,TARGET,15.0,1.0,29,39,130,2022-01-12,MHL,15.0
4715.75,4712.0,3.75,4.0,STOP,-3.75,-1.1333333333333333,2,18,130,2022-01-13,MHL,15.0
4611.75,4605.75,6.0,2.5,TARGET,15.0,2.4166666666666665,9,80,130,2022-01-14,MHL,15.0
4657.25,4650.25,7.0,2.142857142857143,FLAT,-2.75,-0.4642857142857143,59,10,70,2022-01-17,MHL,15.0
4574.25,4554.0,20.25,0.7407407407407407,TARGET,15.0,0.7160493827160493,11,49,130,2022-01-19,MHL,15.0
4459.25,4412.25,47.0,0.3191489361702128,TARGET,15.0,0.30851063829787234,5,21,130,2022-01-21,MHL,15.0
4334.5,4212.5,122.0,0.12295081967213115,TARGET,15.0,0.11885245901639344,30,90,130,2022-01-24,MHL,15.0
4323.25,4276.25,47.0,0.3191489361702128,TARGET,15.0,0.30851063829787234,5,20,130,2022-01-25,MHL,15.0
4414.5,4393.25,21.25,0.7058823529411765,TARGET,15.0,0.6823529411764706,2,6,130,2022-01-26,MHL,15.0
4336.75,4305.0,31.75,0.47244094488188976,STOP,-31.75,-1.015748031496063,11,90,130,2022-01-27,MHL,15.0
4491.75,4473.75,18.0,0.8333333333333334,TARGET,15.0,0.8055555555555556,15,15,130,2022-02-01,MHL,15.0
4566.75,4554.75,12.0,1.25,STOP,-12.0,-1.0416666666666667,2,2,130,2022-02-02,MHL,15.0
4524.0,4504.75,19.25,0.7792207792207793,STOP,-19.25,-1.025974025974026,47,3,130,2022-02-03,MHL,15.0
4482.5,4475.0,7.5,2.0,STOP,-7.5,-1.0666666666666667,14,46,130,2022-02-07,MHL,15.0
4466.25,4456.0,10.25,1.4634146341463414,TARGET,15.0,1.4146341463414633,13,12,130,2022-02-08,MHL,15.0
4519.5,4504.5,15.0,1.0,STOP,-15.0,-1.0333333333333334,11,84,130,2022-02-10,MHL,15.0
4471.25,4467.75,3.5,4.285714285714286,STOP,-3.5,-1.1428571428571428,8,70,130,2022-02-11,MHL,15.0
4372.75,4356.75,16.0,0.9375,TARGET,15.0,0.90625,3,100,130,2022-02-14,MHL,15.0
4456.75,4438.5,18.25,0.821917808219178,STOP,-18.25,-1.0273972602739727,64,2,130,2022-02-15,MHL,15.0
4442.25,4425.75,16.5,0.9090909090909091,STOP,-16.5,-1.0303030303030303,10,51,130,2022-02-16,MHL,15.0
4363.25,4357.25,6.0,2.5,STOP,-6.0,-1.0833333333333333,1,25,130,2022-02-18,MHL,15.0
4301.25,4290.75,10.5,1.4285714285714286,STOP,-10.5,-1.0476190476190477,14,55,70,2022-02-21,MHL,15.0
4321.5,4308.0,13.5,1.1111111111111112,TARGET,15.0,1.0740740740740742,2,3,130,2022-02-22,MHL,15.0
4374.5,4340.75,33.75,0.4444444444444444,TARGET,15.0,0.42962962962962964,8,53,130,2022-03-03,MHL,15.0
4317.5,4295.75,21.75,0.6896551724137931,STOP,-21.75,-1.0229885057471264,3,10,130,2022-03-04,MHL,15.0
4209.0,4180.0,29.0,0.5172413793103449,STOP,-29.0,-1.0172413793103448,5,5,130,2022-03-08,MHL,15.0
4204.75,4185.25,19.5,0.7692307692307693,TARGET,15.0,0.7435897435897436,8,5,130,2022-03-14,MHL,15.0
4300.75,4242.0,58.75,0.2553191489361702,TARGET,15.0,0.24680851063829787,8,108,130,2022-03-16,MHL,15.0
4442.5,4438.5,4.0,3.75,STOP,-4.0,-1.125,3,14,130,2022-03-21,MHL,15.0
4485.5,4465.0,20.5,0.7317073170731707,STOP,-20.5,-1.024390243902439,63,15,130,2022-03-23,MHL,15.0
4467.25,4455.75,11.5,1.3043478260869565,TARGET,15.0,1.2608695652173914,26,4,130,2022-03-24,MHL,15.0
4509.75,4493.0,16.75,0.8955223880597015,TARGET,15.0,0.8656716417910447,47,44,130,2022-03-25,MHL,15.0
4531.5,4525.5,6.0,2.5,STOP,-6.0,-1.0833333333333333,39,2,130,2022-03-28,MHL,15.0
4605.75,4596.25,9.5,1.5789473684210527,STOP,-9.5,-1.0526315789473684,49,36,130,2022-03-30,MHL,15.0
4591.25,4574.75,16.5,0.9090909090909091,STOP,-16.5,-1.0303030303030303,47,26,130,2022-03-31,MHL,15.0
4542.0,4532.5,9.5,1.5789473684210527,TARGET,15.0,1.5263157894736843,4,4,130,2022-04-04,MHL,15.0
4578.5,4560.0,18.5,0.8108108108108109,STOP,-18.5,-1.027027027027027,10,2,130,2022-04-05,MHL,15.0
4476.5,4454.25,22.25,0.6741573033707865,TARGET,15.0,0.651685393258427,6,84,130,2022-04-06,MHL,15.0
4479.5,4462.25,17.25,0.8695652173913043,STOP,-17.25,-1.0289855072463767,21,2,130,2022-04-07,MHL,15.0
4499.75,4468.5,31.25,0.48,TARGET,15.0,0.464,31,28,130,2022-04-08,MHL,15.0
4450.0,4437.75,12.25,1.2244897959183674,STOP,-12.25,-1.0408163265306123,13,5,130,2022-04-11,MHL,15.0
4410.0,4401.0,9.0,1.6666666666666667,STOP,-9.0,-1.0555555555555556,2,92,130,2022-04-12,MHL,15.0
4429.25,4424.75,4.5,3.3333333333333335,STOP,-4.5,-1.1111111111111112,3,9,130,2022-04-14,MHL,15.0
4457.0,4452.5,4.5,3.3333333333333335,STOP,-4.5,-1.1111111111111112,1,11,130,2022-04-20,MHL,15.0
4231.0,4221.0,10.0,1.5,STOP,-10.0,-1.05,1,7,130,2022-04-25,MHL,15.0
4176.5,4164.75,11.75,1.2765957446808511,STOP,-11.75,-1.0425531914893618,2,18,130,2022-04-27,MHL,15.0
4228.25,4182.25,46.0,0.32608695652173914,TARGET,15.0,0.31521739130434784,5,56,130,2022-04-28,MHL,15.0
4127.0,4097.75,29.25,0.5128205128205128,TARGET,15.0,0.49572649572649574,14,4,130,2022-05-02,MHL,15.0
4176.5,4142.5,34.0,0.4411764705882353,TARGET,15.0,0.4264705882352941,29,60,130,2022-05-04,MHL,15.0
4115.5,4061.75,53.75,0.27906976744186046,TARGET,15.0,0.26976744186046514,10,18,130,2022-05-06,MHL,15.0
4034.75,3997.25,37.5,0.4,STOP,-37.5,-1.0133333333333334,47,53,130,2022-05-09,MHL,15.0
4010.0,3952.75,57.25,0.26200873362445415,TARGET,15.0,0.25327510917030566,3,82,130,2022-05-10,MHL,15.0
3954.0,3936.0,18.0,0.8333333333333334,TARGET,15.0,0.8055555555555556,7,91,130,2022-05-11,MHL,15.0
3907.25,3872.5,34.75,0.4316546762589928,TARGET,15.0,0.4172661870503597,8,5,130,2022-05-12,MHL,15.0
3973.25,3959.25,14.0,1.0714285714285714,TARGET,15.0,1.0357142857142858,4,3,130,2022-05-13,MHL,15.0
4008.75,3995.0,13.75,1.0909090909090908,STOP,-13.75,-1.0363636363636364,2,3,130,2022-05-16,MHL,15.0
4062.25,4047.5,14.75,1.0169491525423728,STOP,-14.75,-1.0338983050847457,9,10,130,2022-05-17,MHL,15.0
4035.75,4032.75,3.0,5.0,STOP,-3.0,-1.1666666666666667,1,2,130,2022-05-18,MHL,15.0
3930.25,3918.75,11.5,1.3043478260869565,STOP,-11.5,-1.0434782608695652,9,3,130,2022-05-20,MHL,15.0
3932.75,3913.25,19.5,0.7692307692307693,STOP,-19.5,-1.0256410256410255,6,4,130,2022-05-23,MHL,15.0
3917.25,3914.75,2.5,6.0,STOP,-2.5,-1.2,1,5,130,2022-05-24,MHL,15.0
4169.75,4166.0,3.75,4.0,TARGET,15.0,3.8666666666666667,56,4,70,2022-05-30,MHL,15.0
4126.75,4102.5,24.25,0.6185567010309279,TARGET,15.0,0.5979381443298969,30,17,130,2022-05-31,MHL,15.0
4099.25,4074.75,24.5,0.6122448979591837,STOP,-24.5,-1.0204081632653061,4,15,130,2022-06-02,MHL,15.0
4131.25,4122.25,9.0,1.6666666666666667,STOP,-9.0,-1.0555555555555556,2,2,130,2022-06-03,MHL,15.0
4148.75,4140.0,8.75,1.7142857142857142,STOP,-8.75,-1.0571428571428572,2,4,130,2022-06-06,MHL,15.0
4139.5,4128.0,11.5,1.3043478260869565,TARGET,15.0,1.2608695652173914,4,2,130,2022-06-08,MHL,15.0
3805.0,3792.5,12.5,1.2,STOP,-12.5,-1.04,8,5,130,2022-06-13,MHL,15.0
3770.0,3746.75,23.25,0.6451612903225806,STOP,-23.25,-1.021505376344086,8,8,130,2022-06-14,MHL,15.0
3760.0,3739.75,20.25,0.7407407407407407,TARGET,15.0,0.7160493827160493,1,94,130,2022-06-15,MHL,15.0
3673.0,3638.75,34.25,0.43795620437956206,TARGET,15.0,0.4233576642335766,7,33,130,2022-06-17,MHL,15.0
3764.5,3755.5,9.0,1.6666666666666667,STOP,-9.0,-1.0555555555555556,6,55,130,2022-06-23,MHL,15.0
3920.75,3893.25,27.5,0.5454545454545454,STOP,-27.5,-1.018181818181818,84,27,130,2022-06-27,MHL,15.0
3833.5,3801.0,32.5,0.46153846153846156,FLAT,-13.0,-0.4153846153846154,122,7,130,2022-06-29,MHL,15.0
3768.25,3741.0,27.25,0.5504587155963303,TARGET,15.0,0.5321100917431193,9,28,130,2022-06-30,MHL,15.0
3763.75,3753.25,10.5,1.4285714285714286,TARGET,15.0,1.380952380952381,6,26,130,2022-07-01,MHL,15.0
3775.75,3743.75,32.0,0.46875,TARGET,15.0,0.453125,59,23,130,2022-07-05,MHL,15.0
3819.25,3811.5,7.75,1.935483870967742,STOP,-7.75,-1.064516129032258,3,42,130,2022-07-06,MHL,15.0
3874.75,3851.0,23.75,0.631578947368421,STOP,-23.75,-1.0210526315789474,53,73,130,2022-07-11,MHL,15.0
3746.25,3730.5,15.75,0.9523809523809523,STOP,-15.75,-1.0317460317460319,3,7,130,2022-07-14,MHL,15.0
3891.0,3886.25,4.75,3.1578947368421053,STOP,-4.75,-1.105263157894737,54,15,130,2022-07-18,MHL,15.0
3959.25,3941.25,18.0,0.8333333333333334,STOP,-18.0,-1.0277777777777777,11,3,130,2022-07-21,MHL,15.0
3999.75,3986.25,13.5,1.1111111111111112,STOP,-13.5,-1.037037037037037,23,14,130,2022-07-22,MHL,15.0
3974.5,3950.75,23.75,0.631578947368421,STOP,-23.75,-1.0210526315789474,68,41,130,2022-07-25,MHL,15.0
3950.0,3943.25,6.75,2.2222222222222223,STOP,-6.75,-1.0740740740740742,2,3,130,2022-07-26,MHL,15.0
4007.0,3996.0,11.0,1.3636363636363635,STOP,-11.0,-1.0454545454545454,8,9,130,2022-07-28,MHL,15.0
4098.0,4080.75,17.25,0.8695652173913043,TARGET,15.0,0.8405797101449275,7,3,130,2022-07-29,MHL,15.0
4104.25,4096.75,7.5,2.0,TARGET,15.0,1.9333333333333333,4,2,130,2022-08-01,MHL,15.0
4094.0,4080.25,13.75,1.0909090909090908,TARGET,15.0,1.0545454545454545,9,15,130,2022-08-02,MHL,15.0
4159.25,4145.75,13.5,1.1111111111111112,STOP,-13.5,-1.037037037037037,11,4,130,2022-08-04,MHL,15.0
4160.25,4146.5,13.75,1.0909090909090908,STOP,-13.75,-1.0363636363636364,6,48,130,2022-08-08,MHL,15.0
4125.75,4118.0,7.75,1.935483870967742,STOP,-7.75,-1.064516129032258,14,16,130,2022-08-09,MHL,15.0
4222.0,4218.25,3.75,4.0,STOP,-3.75,-1.1333333333333333,4,96,130,2022-08-11,MHL,15.0
4288.5,4278.5,10.0,1.5,TARGET,15.0,1.45,15,25,130,2022-08-16,MHL,15.0
4266.75,4262.75,4.0,3.75,STOP,-4.0,-1.125,4,31,130,2022-08-17,MHL,15.0
