tape,tf,sess,trend,W,U,buf,tgt,dolk,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2023-26,3,NY,SLOPE,2.0,0.5,2,R2,10,305,-0.0010873693527670718,-0.3316476525939569,0.3442622950819672,0.3333333333333333,0.010928961748633892,2.0,24.75,-0.013263121728352699,0.03782734805439834,-0.03974774220171571,-0.020844865292613143,0.013114754098360656
2023-26,3,NY,SLOPE,2.0,0.5,2,R3,10,305,0.059888268508470496,18.2659218950835,0.2459016393442623,0.25,-0.0040983606557377095,3.0,24.75,0.598237916516226,0.1593601552110349,-0.03893347514375035,0.030834643804984473,0.05901639344262295
2023-26,3,NY,SLOPE,2.0,0.5,2,DOL,10,305,-0.03742608456341258,-11.414955791840836,0.39672131147540984,0.3993506493506494,-0.002629337875239557,1.5040650406504066,24.75,-0.4798124070342139,0.06084984431281484,-0.13505968710711563,-0.0813788325308626,0.003278688524590164
2023-26,3,NY,SIDE,1.0,0.5,2,R1,10,330,-0.04918085254126315,-16.22968133861684,0.5060606060606061,0.5,0.0060606060606061,1.0,24.375,-0.8877991098104495,-0.001494433496610367,-0.09686727158591592,-0.05868274313612768,0.0
2023-26,3,NY,SIDE,1.0,0.5,2,R2,10,330,0.07329044495744477,24.185846835956774,0.3696969696969697,0.3333333333333333,0.036363636363636376,2.0,24.375,0.9195526936033396,0.1290701570141053,0.017510732900784226,0.05575560822659212,0.01818181818181818
2023-26,3,NY,SIDE,1.0,0.5,2,R3,10,330,0.10135349213252715,33.44665240373396,0.24848484848484848,0.25,-0.001515151515151525,3.0,24.375,1.0490191672996994,0.21388341338874214,-0.011176429123687876,0.07490832183736584,0.07575757575757576
2023-26,3,NY,SIDE,1.0,0.5,2,DOL,10,330,0.014271195439155244,4.7094944949212305,0.4121212121212121,0.40322426482301593,0.008896947298196178,1.4800094816687737,24.375,0.18010445968592823,0.1059802774051185,-0.077437886526808,-0.03478830370845379,0.0
2023-26,3,NY,SIDE,2.0,0.5,2,R1,10,201,-0.020143987753622285,-4.048941538478079,0.5223880597014925,0.5,0.02238805970149249,1.0,22.5,-0.28321049955713756,0.03379052866479195,-0.07354449905898289,-0.03536822544890971,0.0
2023-26,3,NY,SIDE,2.0,0.5,2,R2,10,201,0.08154980705187782,16.391511217427443,0.3781094527363184,0.3333333333333333,0.04477611940298509,2.0,22.5,0.7918487637892407,0.09757005622384711,0.06568817420834384,0.052734514883829235,0.009950248756218905
2023-26,3,NY,SIDE,2.0,0.5,2,R3,10,201,0.08104713297514883,16.290473728004915,0.2537313432835821,0.25,0.0037313432835821003,3.0,22.5,0.6503402865201839,0.22644880090259178,-0.06291491447776497,0.03710112557665303,0.05970149253731343
2023-26,3,NY,SIDE,2.0,0.5,2,DOL,10,201,0.0007167948627533372,0.14407576741342076,0.4129353233830846,0.3846153846153846,0.028319938767700004,1.6,22.5,0.007277851855049851,0.16499639281558826,-0.1619362724172812,-0.06327372917115537,0.0
2023-26,3,NY,HHHL,1.0,0.5,2,R1,10,289,-0.1245390872610168,-35.991796218433855,0.4671280276816609,0.5,-0.032871972318339104,1.0,24.25,-2.1110103281388644,-0.127731618850572,-0.12136857313069992,-0.13620561841399725,0.0
2023-26,3,NY,HHHL,1.0,0.5,2,R2,10,289,-0.03400308040494336,-9.826890237028632,0.32525951557093424,0.3333333333333333,-0.008073817762399071,2.0,24.25,-0.40911751932090884,0.0877289074652175,-0.15489553732427552,-0.055156526416023643,0.02422145328719723
2023-26,3,NY,HHHL,1.0,0.5,2,R3,10,289,-0.013674687865747987,-3.9519847932011682,0.23183391003460208,0.25,-0.018166089965397925,3.0,24.25,-0.13575798136203784,0.09933564221396676,-0.12590563635870608,-0.04510167715312569,0.05190311418685121
2023-26,3,NY,HHHL,1.0,0.5,2,DOL,10,289,-0.06513970702552882,-18.825375330377828,0.35986159169550175,0.39108910891089105,-0.0312275172153893,1.5569620253164558,24.25,-0.7603112301979507,-0.013505951869115585,-0.11641736731879437,-0.11851481417760128,0.010380622837370242
2023-26,3,NY,HHHL,2.0,0.5,2,R1,10,161,-0.14352528383156274,-23.107570696881602,0.45962732919254656,0.5,-0.04037267080745344,1.0,22.75,-1.8097347993041994,-0.12731934798107067,-0.15953114639995,-0.1648870667450934,0.0
2023-26,3,NY,HHHL,2.0,0.5,2,R2,10,161,0.020669256694011352,3.327750327735828,0.34782608695652173,0.3333333333333333,0.014492753623188415,2.0,22.75,0.18194084680967454,0.16018065201892934,-0.11711977572566072,-0.016528050260985312,0.018633540372670808
2023-26,3,NY,HHHL,2.0,0.5,2,R3,10,161,0.02940967528395701,4.7349577207170785,0.2484472049689441,0.25,-0.0015527950310559036,3.0,22.75,0.2130135362954191,0.20388508551646628,-0.14291171753827436,-0.02657730474248874,0.043478260869565216
2023-26,3,NY,HHHL,2.0,0.5,2,DOL,10,161,-0.06522671376348481,-10.501500915921055,0.35403726708074534,0.364406779661017,-0.010369512580271634,1.744186046511628,22.75,-0.5724311063114661,0.09672476789056275,-0.2251787944094577,-0.14176848497082867,0.012422360248447204
2023-26,3,NY,NONE,1.0,0.5,2,R1,10,980,-0.06017310258682082,-58.9696405350844,0.4989795918367347,0.5,-0.0010204081632653184,1.0,25.25,-1.8782614644847841,-0.06859917538665139,-0.051747029786990265,-0.06340149669868661,0.0
2023-26,3,NY,NONE,1.0,0.5,2,R2,10,980,-0.017503851725778154,-17.15377469126259,0.3377551020408163,0.3333333333333333,0.004421768707483009,2.0,25.25,-0.3855800023284539,-0.034186333936920256,-0.0008213695146360337,-0.023669057753127856,0.0163265306122449
2023-26,3,NY,NONE,1.0,0.5,2,R3,10,980,-0.013655541045796788,-13.382430224880853,0.22959183673469388,0.25,-0.020408163265306117,3.0,25.25,-0.25077627353656856,-0.01606106637151285,-0.011250015720080705,-0.022870414890672167,0.058163265306122446
2023-26,3,NY,NONE,1.0,0.5,2,DOL,10,980,-0.034898638902790116,-34.20066612473431,0.3795918367346939,0.40645217804807854,-0.02686034131338466,1.460314039408867,25.25,-0.7496228842705871,-0.0776424778042226,0.007845199998642386,-0.05889923142626173,0.006122448979591836
2023-26,3,NY,NONE,2.0,0.5,2,R1,10,535,-0.043069227529948816,-23.042036728522618,0.508411214953271,0.5,0.008411214953271018,1.0,24.5,-0.9920812057663849,-0.041299204760506664,-0.044832645736818416,-0.04889648771065007,0.0
2023-26,3,NY,NONE,2.0,0.5,2,R2,10,535,0.001346607886429416,0.7204352192397376,0.34579439252336447,0.3333333333333333,0.012461059190031154,2.0,24.5,0.021727544898058664,-0.028837965347978868,0.031418552116231714,-0.00986928480132245,0.011214953271028037
2023-26,3,NY,NONE,2.0,0.5,2,R3,10,535,0.02858507513959715,15.293015199684476,0.24485981308411214,0.25,-0.005140186915887857,3.0,24.5,0.3801409203049933,0.025395551953705364,0.031762697119571436,0.011905107484289116,0.048598130841121495
2023-26,3,NY,NONE,2.0,0.5,2,DOL,10,535,-0.022253840526145815,-11.90580468148801,0.3850467289719626,0.386058981233244,-0.0010122522612813767,1.5902777777777777,24.5,-0.3598960139437349,-0.01732518161966462,-0.02716410891431924,-0.05552978748257932,0.005607476635514018
2020-22,1,NY,SLOPE,1.0,0.5,2,R1,10,1161,-0.09246664395198288,-107.35377362825213,0.5193798449612403,0.5,0.019379844961240345,1.0,11.75,-3.1454492880814735,-0.10578761932799179,-0.07944068165925865,-0.09524378269195984,0.0
2020-22,1,NY,SLOPE,1.0,0.5,2,R2,10,1161,-0.0834538827207394,-96.88995783877846,0.3488372093023256,0.3333333333333333,0.015503875968992276,2.0,11.75,-1.9959615745116757,-0.07268657403182453,-0.09398273312523196,-0.08878715040719413,0.0008613264427217916
2020-22,1,NY,SLOPE,1.0,0.5,2,R3,10,1161,-0.09376779164385837,-108.86440609851957,0.2575366063738157,0.25,0.007536606373815702,3.0,11.75,-1.8289524803846586,-0.09935518307899255,-0.08830414141597584,-0.10171050334293043,0.004306632213608958
2020-22,1,NY,SLOPE,1.0,0.5,2,DOL,10,1161,-0.15600698724083453,-181.1241121866089,0.3772609819121447,0.39560439560439564,-0.018343413692250954,1.5277777777777777,11.75,-3.8953854989900556,-0.1469947841905611,-0.16481960146716665,-0.17356769454286886,0.0017226528854435831
2020-22,1,NY,SLOPE,2.0,0.5,2,R1,10,619,-0.11013651730401444,-68.17450421118494,0.5121163166397416,0.5,0.012116316639741553,1.0,11.5,-2.726562262408674,-0.0783969101974905,-0.14177373858116252,-0.11537399565090789,0.0
2020-22,1,NY,SLOPE,2.0,0.5,2,R2,10,619,-0.08267286625393366,-51.17450421118494,0.3505654281098546,0.3333333333333333,0.017232094776521267,2.0,11.5,-1.4377912763333662,-0.0330894668317947,-0.13209631922632378,-0.0926424255475574,0.0
2020-22,1,NY,SLOPE,2.0,0.5,2,R3,10,619,-0.06977220834379341,-43.188996964808126,0.2649434571890145,0.25,0.01494345718901452,3.0,11.5,-0.9849270492948425,0.011092325767051516,-0.1503758891187969,-0.0845490696281148,0.0032310177705977385
2020-22,1,NY,SLOPE,2.0,0.5,2,DOL,10,619,-0.14466576788368585,-89.54811032000154,0.3683360258481422,0.3733333333333333,-0.004997307485191116,1.6785714285714286,11.5,-2.5140109164287794,-0.055045380507718455,-0.2339970572358598,-0.1776223837890177,0.0032310177705977385
2020-22,1,NY,SIDE,1.0,0.5,2,R1,10,727,-0.10968348891466655,-79.73989644096258,0.5144429160935351,0.5,0.014442916093535096,1.0,11.0,-2.9412466819325127,-0.10232531897274799,-0.11702144410399741,-0.11418609824317116,0.0
2020-22,1,NY,SIDE,1.0,0.5,2,R2,10,727,-0.14205788260177288,-103.27608065148888,0.3314993122420908,0.3333333333333333,-0.0018340210912425325,2.0,11.0,-2.7215164140721604,-0.10783496084602621,-0.17618678534170706,-0.15081533145239942,0.001375515818431912
2020-22,1,NY,SIDE,1.0,0.5,2,R3,10,727,-0.17692421834724265,-128.6239067384454,0.2393397524071527,0.25,-0.01066024759284731,3.0,11.0,-2.8008968289690803,-0.15837993629218744,-0.19541755457247628,-0.1899549083723135,0.002751031636863824
