tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div
2023-26,2023-09-19,2023-09-19 09:45:00,84705,-1,15346.0,26.25,TARGET,2.9714285714285715,-314.0,-0.09855618330194602,-0.0,-0.0,0.4448478078748953,1.9979078038914848,
2023-26,2023-09-28,2023-09-28 09:42:00,87924,-1,14668.0,32.0,STOP,-1.0234375,-40.0,-0.016090104585679808,222.0,0.028630384317771474,0.32060871808099045,1.9552171062585102,
2023-26,2023-11-01,2023-11-01 10:09:00,98973,1,14542.25,12.75,TARGET,2.9411764705882355,-83.0,-0.019378939995330375,101.0,0.015158337085396968,0.6428035419480714,1.1309417725386357,
2023-26,2023-11-03,2023-11-03 09:39:00,99883,1,15072.75,32.75,FLAT,1.9083969465648856,-512.0,-0.08207758897082398,-221.0,-0.02522543088688506,0.7120191758931629,2.4683045021693806,
2023-26,2023-11-03,2023-11-03 10:15:00,99895,1,15110.5,34.75,STOP,-1.0215827338129497,-266.0,-0.06300331596399811,41.0,0.005444164121630593,0.5606161200371796,1.1105376470935207,
2023-26,2023-11-08,2023-11-08 09:30:00,101260,1,15395.5,22.0,STOP,-1.0340909090909092,-357.0,-0.05233836680838587,360.0,0.03212564697483491,0.6086917722648582,8.450980392156863,
2023-26,2023-11-10,2023-11-10 09:33:00,102181,1,15323.5,11.75,TARGET,2.9361702127659575,-125.0,-0.050958010599266204,148.0,0.02115494568324757,0.35062893081761004,3.330001427959446,
2023-26,2023-11-10,2023-11-10 10:09:00,102193,1,15352.0,20.25,STOP,-1.037037037037037,196.0,0.042497831743278404,357.0,0.05847665847665848,0.7554463554463554,1.0812294668237001,
2023-26,2023-11-10,2023-11-10 10:15:00,102195,1,15354.75,19.5,STOP,-1.0384615384615385,-128.0,-0.028469750889679714,-15.0,-0.002898550724637681,0.868792270531401,0.8554708809283719,
2023-26,2023-11-13,2023-11-13 10:06:00,102652,-1,15493.5,15.5,STOP,-1.0483870967741935,53.0,0.010840662712211086,189.0,0.027466937945066123,0.7105071937218428,1.3365187580728182,
2023-26,2023-11-14,2023-11-14 09:33:00,103101,1,15827.75,38.0,FLAT,1.006578947368421,493.0,0.04728109715162559,2082.0,0.10970597533986721,0.549425650753504,3.3257686612282806,
2023-26,2023-11-21,2023-11-21 09:39:00,105403,-1,16009.0,12.25,TARGET,2.938775510204082,-435.0,-0.08937743990137662,-291.0,-0.033436745949672525,0.5592324485809491,2.911530033621598,
2023-26,2023-11-21,2023-11-21 09:42:00,105404,-1,16005.25,11.25,TARGET,2.933333333333333,-39.0,-0.020134228187919462,222.0,0.05089408528198074,0.44406235671710226,1.3855536497045933,
2023-26,2023-11-21,2023-11-21 09:54:00,105408,-1,15996.0,13.75,TARGET,2.9454545454545453,-247.0,-0.0825258937520882,-28.0,-0.0053292729349067374,0.5696612105062809,1.3149464410851937,
2023-26,2023-11-27,2023-11-27 10:24:00,107103,1,16019.75,21.75,FLAT,1.6896551724137931,-221.0,-0.06509572901325479,231.0,0.038974185928800406,0.5728024295596423,1.0384763640186425,
2023-26,2024-03-06,2024-03-06 09:42:00,139129,1,18101.5,16.0,STOP,-1.046875,-136.0,-0.037383177570093455,300.0,0.04655493482309125,0.5645561762880199,1.7486160859654836,
2023-26,2024-03-07,2024-03-07 10:03:00,139596,1,18201.5,26.0,STOP,-1.0288461538461537,-367.0,-0.08469882298638357,154.0,0.023326264768252045,0.6563162677976371,0.9304882173864021,
2023-26,2024-03-11,2024-03-11 09:48:00,140511,1,18225.5,27.25,STOP,-1.0275229357798166,193.0,0.051071712093146336,193.0,0.051071712093146336,1.0,1.709659819060791,
2023-26,2024-03-21,2024-03-21 09:33:00,144186,1,18671.0,16.25,STOP,-1.0461538461538462,-179.0,-0.019220444539890476,-95.0,-0.009518084360284541,0.9330728383929466,4.387445602004483,
2023-26,2024-03-22,2024-03-22 09:33:00,144646,1,18531.5,14.5,STOP,-1.0517241379310345,-35.0,-0.00809997685720898,242.0,0.03832752613240418,0.684352233132721,3.4324544713237293,
2023-26,2024-03-28,2024-03-28 09:39:00,146488,1,18502.25,15.75,STOP,-1.0476190476190477,79.0,0.025927141450607153,543.0,0.08406874129122155,0.4717448521442948,2.3872708456534597,
2023-26,2024-04-02,2024-04-02 10:03:00,147416,-1,18257.5,18.75,STOP,-1.04,-368.0,-0.08348457350272233,-65.0,-0.009041591320072333,0.6131589929058283,1.077592990923876,
2023-26,2024-04-05,2024-04-05 10:27:00,148804,1,18203.0,21.75,TARGET,2.9655172413793105,-187.0,-0.037317900618638995,57.0,0.008719596145020651,0.766559583906991,0.8917840455646124,
2023-26,2024-04-08,2024-04-08 10:09:00,149258,-1,18306.25,11.5,STOP,-1.065217391304348,-333.0,-0.16188624210014585,-109.0,-0.02371111594518164,0.44746573852512506,0.8711547204121837,
2023-26,2024-04-10,2024-04-10 10:06:00,150177,1,18180.5,33.25,STOP,-1.0225563909774436,-361.0,-0.09127686472819216,148.0,0.021282714984181765,0.5687374173137763,0.7553400061913115,
2023-26,2024-04-10,2024-04-10 10:15:00,150180,1,18170.0,20.0,TARGET,2.9625,-213.0,-0.04509845437222105,29.0,0.004881333108904225,0.7949840094260225,0.6224853310980721,
2023-26,2024-04-16,2024-04-16 09:51:00,152012,-1,17867.75,8.75,STOP,-1.0857142857142856,-448.0,-0.18035426731078905,-179.0,-0.02897846851222276,0.4021369596891695,1.3859409006259957,
2023-26,2024-04-19,2024-04-19 09:45:00,153390,-1,17484.5,33.0,TARGET,2.977272727272727,32.0,0.004788985333732416,318.0,0.036013590033975085,0.7567383918459796,2.176565561950775,
2023-26,2024-04-19,2024-04-19 09:57:00,153394,-1,17454.75,30.75,TARGET,2.975609756097561,-45.0,-0.011196815128141328,181.0,0.029531734377549357,0.6557350301843694,1.1518403322652484,
2023-26,2024-04-24,2024-04-24 10:03:00,154776,1,17748.75,29.25,STOP,-1.0256410256410255,-160.0,-0.039525691699604744,374.0,0.059365079365079364,0.6425396825396825,1.135708104989905,
2023-26,2024-04-26,2024-04-26 09:39:00,155688,-1,17717.0,48.75,STOP,-1.0153846153846153,-285.0,-0.04746044962531224,306.0,0.024753276168904707,0.485762821549911,2.67558383654741,
2023-26,2024-04-30,2024-04-30 10:12:00,156619,1,17868.0,26.5,STOP,-1.028301886792453,-215.0,-0.10787757150025087,55.0,0.011907339250920112,0.431478675037887,0.9009694345290343,
2023-26,2024-10-11,2024-10-11 09:51:00,210497,-1,20352.75,17.0,STOP,-1.0441176470588236,-75.0,-0.03573130061934254,69.0,0.018755096493612396,0.5705354715955423,1.3832387111328346,
2023-26,2024-10-14,2024-10-14 10:18:00,210966,1,20615.5,13.5,STOP,-1.0555555555555556,-111.0,-0.0662686567164179,67.0,0.02197441784191538,0.5493604460478846,0.7100026779372897,
2023-26,2024-10-15,2024-10-15 09:30:00,211410,1,20632.75,27.5,STOP,-1.0272727272727273,100.0,0.01475796930342385,249.0,0.029256256609094113,0.796146163788039,7.740087304474355,
2023-26,2024-10-15,2024-10-15 09:33:00,211411,1,20644.75,23.0,STOP,-1.0326086956521738,-128.0,-0.05688888888888889,485.0,0.08147152696119604,0.37796069208802285,4.311737225220004,
2023-26,2024-10-23,2024-10-23 09:30:00,214170,-1,20423.75,39.5,TARGET,2.981012658227848,-476.0,-0.05546492659053834,-78.0,-0.0055658627087198514,0.6123876123876124,8.200117027501463,
2023-26,2024-10-23,2024-10-23 09:57:00,214179,-1,20433.0,18.75,TARGET,2.96,-412.0,-0.23172103487064116,-345.0,-0.09291677888499865,0.4788580662537032,1.079815619956086,
2023-26,2025-06-06,2025-06-06 10:03:00,286701,1,21828.5,19.0,STOP,-1.0394736842105263,-11.0,-0.006239364719228588,40.0,0.01122334455667789,0.494668911335578,0.9515113265566462,
2023-26,2025-06-10,2025-06-10 10:27:00,287629,1,21873.25,13.75,STOP,-1.0545454545454545,-10.0,-0.006868131868131868,82.0,0.04175152749490835,0.7413441955193483,0.5626917028663958,
2023-26,2025-06-12,2025-06-12 09:36:00,288532,1,21868.0,39.5,FLAT,1.1962025316455696,-210.0,-0.07216494845360824,-8.0,-0.001774622892635315,0.6455190771960958,3.0664562510959144,
2023-26,2025-06-25,2025-06-25 09:33:00,292591,1,22525.5,29.0,STOP,-1.0258620689655173,-228.0,-0.10052910052910052,145.0,0.0224841060629555,0.3516824313847108,4.801223241590214,
2023-26,2025-06-27,2025-06-27 09:30:00,293510,-1,22701.5,26.75,STOP,-1.02803738317757,-247.0,-0.06924586487244183,125.0,0.014516316339565672,0.414237603065846,6.746987951807229,
2023-26,2025-06-30,2025-06-30 10:18:00,293986,-1,22821.5,17.5,STOP,-1.042857142857143,-133.0,-0.0953405017921147,72.0,0.02340702210663199,0.4535110533159948,0.8258604950867208,
