date,src,R,risk_pts,outcome,F1_disp_delta,F2_retrace_ratio
2026-05-12,zxck-10am-keyopen,-1.0,15.0,loss,-0.056762235737040256,0.44867463617463615
2026-05-13,zxck-10am-keyopen,2.0,15.0,win,0.0652054794520548,0.22542123343693768
2026-05-18,zxck-10am-keyopen,-1.0,15.0,loss,-0.2489067055393586,0.06095388057846103
2026-05-21,zxck-10am-keyopen,-1.0,15.0,loss,0.07158962795941376,0.08687034379058164
2026-05-27,zxck-10am-keyopen,2.0,15.0,win,0.051448170731707314,0.4249519482788747
2026-06-09,zxck-10am-keyopen,-1.0,15.0,loss,0.07895664434261544,0.8913043478260869
2026-06-11,zxck-10am-keyopen,-1.0,15.0,loss,0.2862232779097387,0.14062993784894132
2026-06-30,zxck-10am-keyopen,0.0,15.0,BE,-0.044066486277541554,0.15816224835559098
2026-07-01,zxck-10am-keyopen,2.0,15.0,win,-0.02490886998784933,0.3316865034807995
2026-07-10,zxck-10am-keyopen,-1.0,15.0,loss,-0.08221476510067115,0.12665298677610579
2026-07-15,zxck-10am-keyopen,2.0,15.0,win,0.03623508616880247,0.103648920550329
2025-06-10,ash-unicorn-sb,-1.0,12.0,loss,0.071,1.84
2025-06-30,ash-unicorn-sb,2.0,13.25,win,1.015,0.395
2025-07-08,ash-unicorn-sb,-1.0,21.75,loss,0.199,0.504
2025-07-23,ash-unicorn-sb,0.0,22.25,BE,0.282,0.894
2025-08-07,ash-unicorn-sb,0.0,21.5,BE,0.282,7.322
2025-08-11,ash-unicorn-sb,2.0,16.75,win,0.645,1.481
2025-08-14,ash-unicorn-sb,-1.0,11.5,loss,0.223,1.161
2025-08-25,ash-unicorn-sb,2.0,19.25,win,0.296,0.602
2025-08-26,ash-unicorn-sb,0.0,28.75,BE,0.407,0.523
2025-08-27,ash-unicorn-sb,2.0,19.5,win,0.355,0.403
2025-09-30,ash-unicorn-sb,2.0,15.75,win,0.941,0.811
2025-10-09,ash-unicorn-sb,-1.0,18.0,loss,0.243,2.142
2025-10-22,ash-unicorn-sb,0.0,11.75,BE,0.401,3.144
2025-10-27,ash-unicorn-sb,2.0,18.25,win,0.313,0.226
2025-11-11,ash-unicorn-sb,-1.0,19.0,loss,0.853,1.108
2025-11-21,ash-unicorn-sb,2.0,85.0,win,0.363,0.734
2025-11-24,ash-unicorn-sb,-1.0,65.25,loss,0.241,0.314
2025-12-12,ash-unicorn-sb,-1.0,27.25,loss,0.297,1.377
2025-12-24,ash-unicorn-sb,2.0,8.0,win,0.204,0.85
2026-03-09,ash-unicorn-sb,0.0,24.75,BE,0.268,2.177
2026-04-21,ash-unicorn-sb,2.0,32.25,win,0.268,0.284
2026-04-22,ash-unicorn-sb,2.0,25.5,win,0.296,1.036
2026-05-07,ash-unicorn-sb,2.0,22.25,win,0.326,0.267
2026-05-13,ash-unicorn-sb,2.0,89.75,win,0.23,0.831
2026-05-15,ash-unicorn-sb,0.0,49.5,BE,0.279,2.527
2026-05-18,ash-unicorn-sb,2.0,110.5,win,0.44,0.17
2026-06-10,ash-unicorn-sb,0.0,85.0,BE,0.243,1.015
2026-07-13,ash-unicorn-sb,0.0,41.25,BE,0.148,2.793
2026-07-15,ash-unicorn-sb,-1.0,39.0,loss,0.136,2.231
