stream,stack,n,sess,base_exp,subset_exp,improvement,null_pct
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND absorption_pre_5>p50,28,28,-0.03096644308945471,0.4662579102831836,0.4972243533726383,0.2775
sw-open-drive-pcr,cvd_price_divergence_pre>p50 AND absorption_pre_5>p25,30,30,-0.03096644308945471,0.4658965303606912,0.4968629734501459,0.2725
sw-open-drive-pcr,absorption_pre_5>p50 AND volume_pace_at_entry>p50,30,30,-0.03096644308945471,0.4656917330843683,0.496658176173823,0.27
sw-0930-cashopen-carry,vpoc_distance_at_entry>p25 AND entry_min_into_window<=p50,25,25,-0.11757208680363969,0.3064754966858903,0.42404758348953,0.27
sw-open-drive-pcr,cvd_price_divergence_pre>p50 AND risk_pts>p25,29,29,-0.03096644308945471,0.45924258811815266,0.4902090312076074,0.2675
sw-precash-value-migration,cvd_slope_pre_15>p75 AND news_day<=p25,29,29,0.03717435793368325,0.5586456230268205,0.5214712650931372,0.265
sw-precash-value-migration,cvd_slope_pre_15>p75 AND news_day<=p50,29,29,0.03717435793368325,0.5586456230268205,0.5214712650931372,0.265
sw-0930-cashopen-carry,volume_pace_at_entry<=p50 AND dist_to_level_R>p25,25,25,-0.11757208680363969,0.3054642296462098,0.42303631644984946,0.265
zxck-cisd,absorption_pre_5>p25 AND volume_pace_at_entry>p25,25,25,0.04405408016302246,0.2603914533522951,0.21633737318927262,0.26
sw-precash-value-migration,cvd_slope_pre_15>p75 AND risk_pts<=p75,28,28,0.03717435793368325,0.5530686451341619,0.5158942872004786,0.2525
zxck-cisd,cvd_price_divergence_pre<=p75 AND htf_aligned<=p75,29,29,0.04405408016302246,0.25606624729669203,0.21201216713366958,0.2275
zxck-cisd,cvd_price_divergence_pre<=p75 AND htf_aligned<=p50,29,29,0.04405408016302246,0.25606624729669203,0.21201216713366958,0.2275
sw-precash-price-migration-CTL,cvd_price_divergence_pre<=p50 AND volume_pace_at_entry>p50,29,29,-0.07357276749371046,0.45758995634696376,0.5311627238406742,0.2225
sw-open-drive-pcr,cvd_price_divergence_pre>p50 AND volume_pace_at_entry>p25,29,29,-0.03096644308945471,0.44955870175409746,0.4805251448435522,0.2225
sw-gap-nopart,volume_pace_at_entry>p25 AND value_area_location<=p50,25,25,-0.18226643368491655,0.19219063776891235,0.3744570714538289,0.2075
sw-0930-cashopen-carry,volume_pace_at_entry<=p50 AND atr_pct<=p75,26,26,-0.11757208680363969,0.2931486023571751,0.4107206891608148,0.2025
sw-precash-price-migration-CTL,absorption_pre_5>p75 AND entry_min_into_window<=p75,28,28,-0.07357276749371046,0.4500718268487919,0.5236445943425023,0.1975
sw-open-drive-pcr,cvd_slope_pre_15>p50 AND volume_pace_at_entry>p25,36,36,-0.03096644308945471,0.43727793626495975,0.4682443793544145,0.1975
zxck-wick-ce,vpoc_distance_at_entry<=p75 AND direction_long<=p50,28,28,-0.7449419518697888,-0.5915970496404105,0.15334490222937835,0.1875
zxck-wick-ce,vpoc_distance_at_entry<=p75,28,28,-0.7449419518697888,-0.5915970496404105,0.15334490222937835,0.1875
zxck-wick-ce,vpoc_distance_at_entry<=p75 AND htf_aligned<=p50,28,28,-0.7449419518697888,-0.5915970496404105,0.15334490222937835,0.1875
zxck-wick-ce,vpoc_distance_at_entry<=p75 AND htf_aligned<=p75,28,28,-0.7449419518697888,-0.5915970496404105,0.15334490222937835,0.1875
zxck-wick-ce,vpoc_distance_at_entry<=p75 AND direction_long<=p75,28,28,-0.7449419518697888,-0.5915970496404105,0.15334490222937835,0.1875
zxck-wick-ce,vpoc_distance_at_entry<=p75 AND news_day<=p75,28,28,-0.7449419518697888,-0.5915970496404105,0.15334490222937835,0.1875
zxck-ifvg-50,volume_pace_at_entry<=p50 AND direction_long>p25,47,47,-0.6155913978494624,-0.12234042553191488,0.4932509723175475,0.175
zxck-10am-keyopen,absorption_pre_5>p25 AND dist_to_level_R<=p25,26,26,-0.09703196347031955,0.3782051282051283,0.47523709167544786,0.17
zxck-10am-keyopen,news_day>p25 AND direction_long>p25,26,26,-0.09703196347031955,0.3782051282051283,0.47523709167544786,0.17
zxck-10am-keyopen,news_day>p50 AND direction_long>p25,26,26,-0.09703196347031955,0.3782051282051283,0.47523709167544786,0.17
sw-0930-cashopen-carry,atr_pct<=p75 AND dist_to_level_R>p50,25,25,-0.11757208680363969,0.28182211799500345,0.3993942047986431,0.17
zxck-10am-keyopen,news_day>p25 AND risk_pts<=p75,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
zxck-10am-keyopen,news_day>p50 AND risk_pts<=p75,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
zxck-10am-keyopen,news_day>p25 AND risk_pts<=p50,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
zxck-10am-keyopen,htf_aligned<=p75 AND news_day>p25,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
zxck-10am-keyopen,news_day>p50,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
zxck-10am-keyopen,news_day>p50 AND risk_pts<=p50,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
zxck-10am-keyopen,news_day>p25 AND risk_pts<=p25,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
