# Historical FF red-folder backfill 2023-01..2026-01, derived from data/reference/news_archive.csv (Brake, 18 Jul 2026).
# 2026-02+ intentionally excluded: config/news_calendar.csv owns that span.
datetime_ET,event,impact
2024-01-11 08:30,Core CPI m/m,high
2024-01-11 08:30,CPI m/m,high
2024-01-11 08:30,CPI y/y,high
2024-01-17 08:30,Core Retail Sales m/m,high
2024-01-17 08:30,Retail Sales m/m,high
2024-01-25 08:30,Advance GDP q/q,high
2024-01-26 08:30,Core PCE Price Index m/m,high
2024-01-31 14:00,Federal Funds Rate,high
2024-01-31 14:00,FOMC Statement,high
2024-01-31 14:30,FOMC Press Conference,high
2024-02-01 10:00,ISM Manufacturing PMI,high
2024-02-02 08:30,Average Hourly Earnings m/m,high
2024-02-02 08:30,Non-Farm Employment Change,high
2024-02-02 08:30,Unemployment Rate,high
2024-02-05 10:00,ISM Services PMI,high
2024-02-13 08:30,Core CPI m/m,high
2024-02-13 08:30,CPI m/m,high
2024-02-13 08:30,CPI y/y,high
2024-02-15 08:30,Core Retail Sales m/m,high
2024-02-15 08:30,Retail Sales m/m,high
2024-02-21 14:00,FOMC Meeting Minutes,high
2024-02-29 08:30,Core PCE Price Index m/m,high
2024-03-01 10:00,ISM Manufacturing PMI,high
2024-03-05 10:00,ISM Services PMI,high
2024-03-06 10:00,Fed Chair Powell Testifies,high
2024-03-07 10:00,Fed Chair Powell Testifies,high
2024-03-08 08:30,Average Hourly Earnings m/m,high
2024-03-08 08:30,Non-Farm Employment Change,high
2024-03-08 08:30,Unemployment Rate,high
2024-03-12 08:30,Core CPI m/m,high
2024-03-12 08:30,CPI m/m,high
2024-03-12 08:30,CPI y/y,high
2024-03-14 08:30,Core Retail Sales m/m,high
2024-03-14 08:30,Retail Sales m/m,high
2024-03-20 14:00,Federal Funds Rate,high
2024-03-20 14:00,FOMC Economic Projections,high
2024-03-20 14:00,FOMC Statement,high
2024-03-20 14:30,FOMC Press Conference,high
2024-03-29 08:30,Core PCE Price Index m/m,high
2024-04-01 10:00,ISM Manufacturing PMI,high
2024-04-03 10:00,ISM Services PMI,high
2024-04-05 08:30,Average Hourly Earnings m/m,high
2024-04-05 08:30,Non-Farm Employment Change,high
2024-04-05 08:30,Unemployment Rate,high
2024-04-10 08:30,Core CPI m/m,high
2024-04-10 08:30,CPI m/m,high
2024-04-10 08:30,CPI y/y,high
2024-04-10 14:00,FOMC Meeting Minutes,high
2024-04-15 08:30,Core Retail Sales m/m,high
2024-04-15 08:30,Retail Sales m/m,high
2024-04-25 08:30,Advance GDP q/q,high
2024-04-26 08:30,Core PCE Price Index m/m,high
2024-05-01 10:00,ISM Manufacturing PMI,high
2024-05-01 14:00,Federal Funds Rate,high
2024-05-01 14:00,FOMC Statement,high
2024-05-01 14:30,FOMC Press Conference,high
2024-05-03 08:30,Average Hourly Earnings m/m,high
2024-05-03 08:30,Non-Farm Employment Change,high
2024-05-03 08:30,Unemployment Rate,high
2024-05-03 10:00,ISM Services PMI,high
2024-05-15 08:30,Core CPI m/m,high
2024-05-15 08:30,CPI m/m,high
2024-05-15 08:30,CPI y/y,high
2024-05-15 08:30,Core Retail Sales m/m,high
2024-05-15 08:30,Retail Sales m/m,high
2024-05-22 14:00,FOMC Meeting Minutes,high
2024-05-31 08:30,Core PCE Price Index m/m,high
2024-06-03 10:00,ISM Manufacturing PMI,high
2024-06-05 10:00,ISM Services PMI,high
2024-06-07 08:30,Average Hourly Earnings m/m,high
2024-06-07 08:30,Non-Farm Employment Change,high
2024-06-07 08:30,Unemployment Rate,high
2024-06-12 08:30,Core CPI m/m,high
2024-06-12 08:30,CPI m/m,high
2024-06-12 08:30,CPI y/y,high
2024-06-12 14:00,Federal Funds Rate,high
2024-06-12 14:00,FOMC Economic Projections,high
2024-06-12 14:00,FOMC Statement,high
2024-06-12 14:30,FOMC Press Conference,high
2024-06-18 08:30,Core Retail Sales m/m,high
2024-06-18 08:30,Retail Sales m/m,high
2024-06-28 08:30,Core PCE Price Index m/m,high
2024-07-01 10:00,ISM Manufacturing PMI,high
2024-07-03 10:00,ISM Services PMI,high
2024-07-03 14:00,FOMC Meeting Minutes,high
2024-07-05 08:30,Average Hourly Earnings m/m,high
2024-07-05 08:30,Non-Farm Employment Change,high
2024-07-05 08:30,Unemployment Rate,high
2024-07-09 10:00,Fed Chair Powell Testifies,high
2024-07-10 10:00,Fed Chair Powell Testifies,high
2024-07-11 08:30,Core CPI m/m,high
2024-07-11 08:30,CPI m/m,high
2024-07-11 08:30,CPI y/y,high
