day,ft,seg,oos,pl,pl_t45
2025-10-17,2025-10-17 12:34:00+00:00,mid 08:30-08:59,False,-214.5,-224.11999999999998
2025-10-20,2025-10-20 12:11:00+00:00,early 08:00-08:29,False,360.5,435.82
2025-10-21,2025-10-21 12:01:00+00:00,early 08:00-08:29,False,-203.0,-208.17999999999998
2025-10-22,2025-10-22 12:04:00+00:00,early 08:00-08:29,False,-105.0,320.32
2025-10-23,2025-10-23 12:01:00+00:00,early 08:00-08:29,False,50.0,-33.48
2025-10-23,2025-10-23 12:20:00+00:00,early 08:00-08:29,False,-322.0,-327.18
2025-10-27,2025-10-27 12:03:00+00:00,early 08:00-08:29,False,-315.0,146.4
2025-10-28,2025-10-28 12:12:00+00:00,early 08:00-08:29,False,114.0,25.56
2025-10-29,2025-10-29 12:11:00+00:00,early 08:00-08:29,False,-114.0,-118.44
2025-10-30,2025-10-30 12:06:00+00:00,early 08:00-08:29,False,-115.5,-117.72
2025-10-30,2025-10-30 12:11:00+00:00,early 08:00-08:29,False,346.0,565.52
2025-10-30,2025-10-30 13:02:00+00:00,late 09:00-09:29,False,143.5,-169.67999999999998
2025-10-31,2025-10-31 12:01:00+00:00,early 08:00-08:29,False,-118.0,-120.96
2025-11-03,2025-11-03 13:01:00+00:00,early 08:00-08:29,False,-105.0,-108.69999999999999
2025-11-03,2025-11-03 13:55:00+00:00,mid 08:30-08:59,False,968.5,133.38
2025-11-04,2025-11-04 13:36:00+00:00,mid 08:30-08:59,False,-315.0,-321.66
2025-11-05,2025-11-05 13:03:00+00:00,early 08:00-08:29,False,-0.5,271.52
2025-11-06,2025-11-06 13:22:00+00:00,early 08:00-08:29,False,-140.0,-142.96
2025-11-10,2025-11-10 14:06:00+00:00,late 09:00-09:29,False,-48.0,-50.22
2025-11-11,2025-11-11 13:21:00+00:00,early 08:00-08:29,False,297.5,198.79999999999998
2025-11-12,2025-11-12 13:39:00+00:00,mid 08:30-08:59,False,-58.5,-60.72
2025-11-13,2025-11-13 13:34:00+00:00,mid 08:30-08:59,False,72.5,246.52000000000004
2025-11-21,2025-11-21 13:01:00+00:00,early 08:00-08:29,False,-44.5,-89.24
2025-11-24,2025-11-24 13:06:00+00:00,early 08:00-08:29,False,210.0,5.04
2025-11-24,2025-11-24 13:59:00+00:00,mid 08:30-08:59,False,-312.0,-317.92
2025-11-26,2025-11-26 13:06:00+00:00,early 08:00-08:29,False,679.0,416.64000000000004
2025-11-27,2025-11-27 13:23:00+00:00,early 08:00-08:29,False,161.875,-8.68
2025-12-01,2025-12-01 13:06:00+00:00,early 08:00-08:29,False,-114.0,-116.22
2025-12-03,2025-12-03 13:05:00+00:00,early 08:00-08:29,False,151.375,-110.18
2025-12-04,2025-12-04 13:01:00+00:00,early 08:00-08:29,False,-203.5,-211.64
2025-12-05,2025-12-05 13:21:00+00:00,early 08:00-08:29,False,292.5,360.78000000000003
2025-12-09,2025-12-09 13:02:00+00:00,early 08:00-08:29,False,-220.0,-227.39999999999998
2025-12-09,2025-12-09 13:17:00+00:00,early 08:00-08:29,False,316.75,934.6400000000001
2025-12-10,2025-12-10 13:04:00+00:00,early 08:00-08:29,False,-105.0,-108.69999999999999
2025-12-10,2025-12-10 14:21:00+00:00,late 09:00-09:29,False,-325.0,-332.40000000000003
2025-12-11,2025-12-11 13:32:00+00:00,mid 08:30-08:59,False,152.0,-30.24
2025-12-12,2025-12-12 13:13:00+00:00,early 08:00-08:29,False,-111.0,-113.22
2025-12-17,2025-12-17 13:52:00+00:00,mid 08:30-08:59,False,-324.5,-332.64
2025-12-19,2025-12-19 13:01:00+00:00,early 08:00-08:29,False,-308.0,-313.92
2025-12-23,2025-12-23 13:04:00+00:00,early 08:00-08:29,True,588.0,512.82
2025-12-23,2025-12-23 13:05:00+00:00,early 08:00-08:29,True,52.0,634.08
2025-12-23,2025-12-23 13:32:00+00:00,mid 08:30-08:59,True,451.0,827.86
2025-12-24,2025-12-24 13:04:00+00:00,early 08:00-08:29,True,-209.0,-217.14
2025-12-26,2025-12-26 14:00:00+00:00,late 09:00-09:29,True,13.0,-101.48
2025-12-29,2025-12-29 13:29:00+00:00,early 08:00-08:29,True,-108.0,-112.44
2025-12-30,2025-12-30 13:10:00+00:00,early 08:00-08:29,True,-94.0,-96.96
2025-12-31,2025-12-31 13:25:00+00:00,early 08:00-08:29,True,171.0,676.5600000000001
2025-12-31,2025-12-31 13:40:00+00:00,mid 08:30-08:59,True,520.0,642.6
2026-02-02,2026-02-02 13:01:00+00:00,early 08:00-08:29,True,-400.0,-405.92
2026-02-05,2026-02-05 13:40:00+00:00,mid 08:30-08:59,True,29.5,148.26
2026-02-09,2026-02-09 14:20:00+00:00,late 09:00-09:29,True,-210.0,-212.96
2026-02-10,2026-02-10 13:35:00+00:00,mid 08:30-08:59,True,145.125,267.78000000000003
2026-02-12,2026-02-12 13:34:00+00:00,mid 08:30-08:59,True,109.5,35.28
2026-02-16,2026-02-16 14:01:00+00:00,late 09:00-09:29,True,237.5,1411.3
2026-02-17,2026-02-17 13:01:00+00:00,early 08:00-08:29,True,227.0,-86.48
