rule,scope,total,is_,oos,d_is,d_oos
be1.5,late 09:00-09:29,25421.074999999997,2639.02,22782.054999999997,-391.23,4714.429999999997
be1.0,late 09:00-09:29,20482.074999999997,2639.02,17843.054999999997,-391.23,-224.57000000000335
time60,late 09:00-09:29,24736.574999999997,2595.5200000000004,22141.054999999997,-434.72999999999956,4073.4299999999967
time15,early 08:00-08:29,13803.745000000003,2483.520000000001,11320.224999999999,-546.7299999999991,-6747.4000000000015
time45,all,29598.28,2455.4800000000005,27142.799999999996,-574.7699999999995,9075.174999999996
be2.0,late 09:00-09:29,24891.574999999997,2439.52,22452.054999999997,-590.73,4384.429999999997
time45,late 09:00-09:29,26834.074999999997,2438.02,24396.054999999997,-592.23,6328.429999999997
target4.0,late 09:00-09:29,21076.575,2365.52,18711.054999999997,-664.73,643.4299999999967
time30,late 09:00-09:29,23291.074999999997,2323.02,20968.054999999997,-707.23,2900.4299999999967
target3.0,late 09:00-09:29,18942.575,2270.52,16672.055,-759.73,-1395.5699999999997
target1.0,mid 08:30-08:59,17954.21,2196.44,15757.769999999999,-833.81,-2309.8550000000014
target1.0,early 08:00-08:29,13904.245,2121.5200000000004,11782.724999999999,-908.7299999999996,-6284.9000000000015
time60,all,29025.78,2080.9800000000014,26944.799999999996,-949.2699999999986,8877.174999999996
be1.0,mid 08:30-08:59,23217.21,2049.44,21167.770000000004,-980.81,3100.145000000004
be1.5,mid 08:30-08:59,23104.71,1936.94,21167.770000000004,-1093.31,3100.145000000004
be2.0,mid 08:30-08:59,22452.21,1826.94,20625.270000000004,-1203.31,2557.645000000004
time45,mid 08:30-08:59,23231.71,1806.94,21424.77,-1223.31,3357.1450000000004
target1.0,all,6757.280000000001,1663.4800000000005,5093.799999999999,-1366.7699999999995,-12973.825
time60,mid 08:30-08:59,22815.21,603.4400000000004,22211.77,-2426.8099999999995,4144.145
