fib,side,score,R,fill,day,hm,hold_min,htf,has_sweep,span
0.75,short,3,-1.0,2023-01-26 07:15:00-05:00,2023-01-26,435,19,premium,True,47.25
0.71,short,3,-1.0,2023-01-26 07:15:00-05:00,2023-01-26,435,19,premium,True,47.25
0.75,long,2,3.0,2023-01-26 08:30:00-05:00,2023-01-26,510,8,premium,True,85.75
0.71,long,2,2.4482758620689653,2023-01-26 08:30:00-05:00,2023-01-26,510,8,premium,True,85.75
0.75,long,3,-1.0,2023-01-26 10:40:00-05:00,2023-01-26,640,15,premium,True,145.0
0.71,long,3,-1.0,2023-01-26 10:39:00-05:00,2023-01-26,639,16,premium,True,145.0
0.75,short,3,-1.0,2023-01-26 12:01:00-05:00,2023-01-26,721,9,premium,True,99.75
0.71,short,3,-1.0,2023-01-26 12:00:00-05:00,2023-01-26,720,10,premium,True,99.75
0.75,short,3,-1.0,2023-01-27 06:04:00-05:00,2023-01-27,364,61,premium,False,37.0
0.71,short,3,-1.0,2023-01-27 05:24:00-05:00,2023-01-27,324,101,premium,False,37.0
0.75,short,3,-1.0,2023-01-27 02:53:00-05:00,2023-01-27,173,150,premium,False,33.0
0.71,short,3,-1.0,2023-01-27 02:52:00-05:00,2023-01-27,172,151,premium,False,33.0
0.75,short,3,-1.0,2023-01-27 04:49:00-05:00,2023-01-27,289,34,premium,False,30.0
0.71,short,3,-1.0,2023-01-27 04:22:00-05:00,2023-01-27,262,61,premium,False,30.0
0.75,long,2,3.0,2023-01-27 08:00:00-05:00,2023-01-27,480,29,premium,True,37.75
0.71,long,2,2.4482758620689653,2023-01-27 07:59:00-05:00,2023-01-27,479,30,premium,True,37.75
0.75,long,2,3.0,2023-01-27 08:00:00-05:00,2023-01-27,480,29,premium,True,50.75
0.71,long,2,2.4482758620689653,2023-01-27 08:00:00-05:00,2023-01-27,480,29,premium,True,50.75
0.75,short,3,-1.0,2023-01-27 09:30:00-05:00,2023-01-27,570,1,premium,True,49.25
