month,regime,day,action,oracle,hit,agent_pl,oracle_pl,regret,e3,e4
2026-06,event_risk,2026-06-05,MOMENTUM,FLAT,False,0,0,0,-772,0
2026-06,war,2026-06-08,MOMENTUM,ROTATION,False,475,3131,2656,3131,475
2026-06,war,2026-06-09,MOMENTUM,MOMENTUM,True,810,810,0,445,810
2026-06,event_risk,2026-06-10,ROTATION,FLAT,False,-10,0,10,-10,0
2026-06,event_risk,2026-06-11,FLAT,FLAT,True,0,0,0,-10,0
2026-06,war,2026-06-12,MOMENTUM,MOMENTUM,True,1400,1400,0,-560,1400
2026-06,balance,2026-06-15,ROTATION,ROTATION,True,909,909,0,909,-5
2026-06,event_risk,2026-06-16,FLAT,MOMENTUM,False,0,885,885,210,885
2026-06,event_risk,2026-06-17,FLAT,ROTATION,False,0,211,211,211,-465
2026-06,balance,2026-06-18,ROTATION,MOMENTUM,False,-10,1030,1040,-10,1030
2026-06,balance,2026-06-19,ROTATION,FLAT,False,-288,0,288,-288,-15
2026-06,war,2026-06-22,MOMENTUM,FLAT,False,-30,0,30,-602,-30
2026-06,balance,2026-06-23,ROTATION,FLAT,False,-635,0,635,-635,-640
2026-06,balance,2026-06-24,ROTATION,ROTATION,True,71,71,0,71,-280
2026-06,event_risk,2026-06-25,ROTATION,MOMENTUM,False,-515,120,635,-515,120
2026-06,war,2026-06-26,MOMENTUM,ROTATION,False,0,1060,1060,1060,0
2026-06,balance,2026-06-29,ROTATION,MOMENTUM,False,368,450,82,368,450
2026-06,event_risk,2026-06-30,FLAT,FLAT,True,0,0,0,-315,0
2026-07,event_risk,2026-07-02,FLAT,FLAT,True,0,0,0,-18,0
2026-07,balance,2026-07-03,ROTATION,FLAT,False,-515,0,515,-515,-515
2026-07,event_risk,2026-07-06,FLAT,ROTATION,False,0,468,468,468,-90
2026-07,balance,2026-07-07,FLAT,FLAT,True,0,0,0,-895,0
2026-07,trap,2026-07-08,ROTATION,FLAT,False,-505,0,505,-505,0
2026-07,balance,2026-07-13,ROTATION,FLAT,False,-218,0,218,-218,0
2026-07,event_risk,2026-07-14,ROTATION,FLAT,False,-765,0,765,-765,0
2026-07,event_risk,2026-07-15,MOMENTUM,FLAT,False,0,0,0,-405,0
