trading_date,entry_price,n_bars,prev_poc,midnight_open,day_open,prev_val,prev_vah,R_long,MFE_long,MAE_long,pts_long,stopped_long,R_short,MFE_short,MAE_short,pts_short,stopped_short
2024-03-21,18687.5,391,18272.5,18592.5,18539.75,18244.5,18382.0,-1.0,4.75,30.0,-121.75,True,4.058333333333334,135.0,21.5,121.75,False
2024-03-22,18537.5,391,18656.0,18553.0,18580.5,18617.5,18707.0,-1.0,8.5,30.0,31.25,True,-1.0,37.5,30.0,-31.25,True
2024-03-25,18459.25,391,18537.5,18576.0,18567.0,18509.5,18581.5,-1.0,21.5,30.0,57.75,True,-1.0,44.5,30.0,-57.75,True
2024-03-26,18568.75,391,18519.25,18523.75,18531.25,18498.75,18571.75,-1.0,39.75,30.0,-100.75,True,-1.0,18.75,30.0,100.75,True
2024-03-27,18566.5,391,18554.25,18496.75,18477.5,18533.75,18590.75,-1.0,5.25,30.0,-59.75,True,1.9916666666666667,188.0,5.25,59.75,False
2024-03-28,18500.0,391,18427.5,18493.75,18505.0,18391.0,18484.5,-1.0,4.5,30.0,-45.5,True,-1.0,42.75,30.0,45.5,True
2024-04-01,18500.5,391,18490.5,18584.5,18503.0,18472.5,18511.5,-1.0,106.5,30.0,-8.75,True,-1.0,18.0,30.0,8.75,True
2024-04-02,18287.5,391,18466.75,18479.25,18497.25,18435.75,18541.75,-1.0,4.5,30.0,47.25,True,-1.0,86.0,30.0,-47.25,True
2024-04-03,18240.5,391,18274.75,18310.0,18345.0,18207.25,18305.75,4.883333333333334,211.25,1.0,146.5,False,-1.0,1.0,30.0,-146.5,True
2024-04-04,18541.25,391,18407.75,18453.25,18388.5,18315.25,18449.25,-1.0,26.75,30.0,-450.5,True,15.016666666666667,472.0,26.75,450.5,False
2024-04-05,18138.0,391,18506.5,18109.75,18086.25,18270.0,18568.0,-1.0,33.0,30.0,148.75,True,-1.0,14.5,30.0,-148.75,True
2024-04-08,18330.25,391,18292.0,18285.75,18348.25,18187.0,18385.5,-1.0,6.75,30.0,-27.75,True,-1.0,92.75,30.0,27.75,True
2024-04-09,18391.25,391,18301.5,18303.5,18314.75,18279.5,18329.5,-1.0,13.75,30.0,-12.75,True,0.425,230.5,13.75,12.75,False
2024-04-10,18140.0,391,18255.5,18379.0,18381.0,18208.0,18337.0,-1.0,56.25,30.0,37.0,True,-1.0,21.0,30.0,-37.0,True
2024-04-11,18265.25,391,18166.0,18199.0,18184.0,18128.5,18204.0,-1.0,8.75,30.0,217.0,True,-1.0,95.75,30.0,-217.0,True
