Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1471,Exit short,2025-04-30 10:07,xS,19567,1,391245,-105,-0.03,10,45,0.01,-100,-0.03,-7440,-0.74,1
1471,Entry short,2025-04-30 10:06,S @ 19562,19562.25,1,391245,-105,-0.03,10,45,0.01,-100,-0.03,-7440,-0.74,1
1472,Exit long,2025-04-30 10:18,SAR,19556.75,1,391235,-110,-0.03,10,0,0.00,-175,-0.04,-7550,-0.75,1
1472,Entry long,2025-04-30 10:17,L @ 19562,19561.75,1,391235,-110,-0.03,10,0,0.00,-175,-0.04,-7550,-0.75,1
1473,Exit long,2025-04-30 10:27,xL,19557,1,391235,-105,-0.03,10,10,0.00,-100,-0.03,-7655,-0.77,4
1473,Entry long,2025-04-30 10:23,L @ 19562,19561.75,1,391235,-105,-0.03,10,10,0.00,-100,-0.03,-7655,-0.77,4
1474,Exit long,2025-04-30 10:40,xL,19557,1,391235,-105,-0.03,10,15,0.00,-100,-0.03,-7760,-0.78,1
1474,Entry long,2025-04-30 10:39,L @ 19562,19561.75,1,391235,-105,-0.03,10,15,0.00,-100,-0.03,-7760,-0.78,1
1475,Exit short,2025-04-30 16:13,xS,19557,1,391245,95,0.02,10,100,0.03,-45,-0.01,-7665,-0.77,2
1475,Entry short,2025-04-30 16:11,S @ 19562,19562.25,1,391245,95,0.02,10,100,0.03,-45,-0.01,-7665,-0.77,2
1476,Exit long,2025-04-30 16:30,xL,19557,1,391235,-105,-0.03,10,0,0.00,-100,-0.03,-7770,-0.78,0
1476,Entry long,2025-04-30 16:30,L @ 19562,19561.75,1,391235,-105,-0.03,10,0,0.00,-100,-0.03,-7770,-0.78,0
1477,Exit short,2025-04-30 16:42,xS,19557,1,391245,95,0.02,10,100,0.03,-35,-0.01,-7675,-0.77,2
1477,Entry short,2025-04-30 16:40,S @ 19562,19562.25,1,391245,95,0.02,10,100,0.03,-35,-0.01,-7675,-0.77,2
1478,Exit long,2025-04-30 20:30,xL,19557,1,391235,-105,-0.03,10,0,0.00,-100,-0.03,-7780,-0.78,0
1478,Entry long,2025-04-30 20:30,L @ 19562,19561.75,1,391235,-105,-0.03,10,0,0.00,-100,-0.03,-7780,-0.78,0
1479,Exit short,2025-04-30 20:39,xS,19549.25,1,391245,250,0.06,10,255,0.07,-95,-0.02,-7530,-0.75,6
