Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
3019,Entry long,2026-06-12 13:05,L @ 29544.25,29544,1,590880,-170,-0.03,10,0,0.00,-165,-0.03,-25260,-2.53,0
3020,Exit short,2026-06-12 14:30,xS,29534,1,590890,200,0.03,10,205,0.03,-35,-0.01,-25060,-2.51,0
3020,Entry short,2026-06-12 14:30,S @ 29544.25,29544.5,1,590890,200,0.03,10,205,0.03,-35,-0.01,-25060,-2.51,0
3021,Exit long,2026-06-12 15:02,xL,29539.25,1,590880,-105,-0.02,10,20,0.00,-100,-0.02,-25165,-2.52,1
3021,Entry long,2026-06-12 15:01,L @ 29544.25,29544,1,590880,-105,-0.02,10,20,0.00,-100,-0.02,-25165,-2.52,1
3022,Exit long,2026-06-12 18:24,SAR,29535,1,590880,-190,-0.03,10,0,0.00,-385,-0.07,-25355,-2.54,1
3022,Entry long,2026-06-12 18:23,L @ 29544.25,29544,1,590880,-190,-0.03,10,0,0.00,-385,-0.07,-25355,-2.54,1
3023,Exit short,2026-06-12 18:25,xS,29530.5,1,590890,270,0.05,10,275,0.05,-50,-0.01,-25085,-2.51,1
3023,Entry short,2026-06-12 18:24,S @ 29544.25,29544.5,1,590890,270,0.05,10,275,0.05,-50,-0.01,-25085,-2.51,1
3024,Exit long,2026-06-12 19:16,xL,29559.75,1,590880,305,0.05,10,310,0.05,-140,-0.02,-24780,-2.48,0
3024,Entry long,2026-06-12 19:16,L @ 29544.25,29544,1,590880,305,0.05,10,310,0.05,-140,-0.02,-24780,-2.48,0
3025,Exit short,2026-06-12 20:30,xS,29537.5,1,590890,130,0.02,10,135,0.02,-85,-0.01,-24650,-2.46,0
3025,Entry short,2026-06-12 20:30,S @ 29544.25,29544.5,1,590890,130,0.02,10,135,0.02,-85,-0.01,-24650,-2.46,0
3026,Exit long,2026-06-12 20:37,xL,29560.5,1,590880,320,0.05,10,325,0.06,-35,-0.01,-24330,-2.43,4
3026,Entry long,2026-06-12 20:33,L @ 29544.25,29544,1,590880,320,0.05,10,325,0.06,-35,-0.01,-24330,-2.43,4
3027,Exit short,2026-06-12 20:58,xS,29551.5,1,590890,-150,-0.03,10,0,0.00,-145,-0.02,-24480,-2.45,0
3027,Entry short,2026-06-12 20:58,S @ 29544.25,29544.5,1,590890,-150,-0.03,10,0,0.00,-145,-0.02,-24480,-2.45,0
3028,Exit short,2026-06-12 22:29,xS,29537.25,1,590890,135,0.02,10,140,0.02,-85,-0.01,-24345,-2.43,1
3028,Entry short,2026-06-12 22:28,S @ 29544.25,29544.5,1,590890,135,0.02,10,140,0.02,-85,-0.01,-24345,-2.43,1
3029,Exit short,2026-06-12 22:35,xS,29539.25,1,590890,95,0.02,10,100,0.02,-10,0.00,-24250,-2.43,0
3029,Entry short,2026-06-12 22:35,S @ 29544.25,29544.5,1,590890,95,0.02,10,100,0.02,-10,0.00,-24250,-2.43,0
3030,Exit short,2026-06-13 00:29,xS,29550,1,590890,-120,-0.02,10,75,0.01,-115,-0.02,-24370,-2.44,0
3030,Entry short,2026-06-13 00:29,S @ 29544.25,29544.5,1,590890,-120,-0.02,10,75,0.01,-115,-0.02,-24370,-2.44,0
3031,Exit long,2026-06-13 00:36,xL,29568,1,590880,470,0.08,10,475,0.08,-70,-0.01,-23900,-2.39,0
3031,Entry long,2026-06-13 00:36,L @ 29544.25,29544,1,590880,470,0.08,10,475,0.08,-70,-0.01,-23900,-2.39,0
3032,Exit long,2026-06-13 00:40,xL,29528.25,1,590880,-325,-0.06,10,290,0.05,-320,-0.05,-24225,-2.42,1
3032,Entry long,2026-06-13 00:39,L @ 29544.25,29544,1,590880,-325,-0.06,10,290,0.05,-320,-0.05,-24225,-2.42,1
3033,Exit short,2026-06-13 00:53,xS,29525.5,1,590890,370,0.06,10,375,0.06,-315,-0.05,-23855,-2.39,1
3033,Entry short,2026-06-13 00:52,S @ 29544.25,29544.5,1,590890,370,0.06,10,375,0.06,-315,-0.05,-23855,-2.39,1
3034,Exit long,2026-06-13 01:55,xL,29555,1,590880,210,0.04,10,215,0.04,-60,-0.01,-23645,-2.36,0
3034,Entry long,2026-06-13 01:55,L @ 29544.25,29544,1,590880,210,0.04,10,215,0.04,-60,-0.01,-23645,-2.36,0
3035,Exit short,2026-06-13 02:12,xS,29524,1,590890,400,0.07,10,405,0.07,-100,-0.02,-23245,-2.32,1
3035,Entry short,2026-06-13 02:11,S @ 29544.25,29544.5,1,590890,400,0.07,10,405,0.07,-100,-0.02,-23245,-2.32,1
3036,Exit short,2026-06-18 04:15,xS,30289.25,1,605450,-345,-0.06,10,5,0.00,-340,-0.06,-23590,-2.36,0
3036,Entry short,2026-06-18 04:15,S @ 30272.25,30272.5,1,605450,-345,-0.06,10,5,0.00,-340,-0.06,-23590,-2.36,0
3037,Exit long,2026-06-18 04:23,SAR,30262.5,1,605440,-200,-0.03,10,0,0.00,-245,-0.04,-23790,-2.38,1
3037,Entry long,2026-06-18 04:22,L @ 30272.25,30272,1,605440,-200,-0.03,10,0,0.00,-245,-0.04,-23790,-2.38,1
3038,Exit short,2026-06-18 04:31,xS,30298.5,1,605450,-530,-0.09,10,165,0.03,-525,-0.09,-24320,-2.43,0
3038,Entry short,2026-06-18 04:31,S @ 30272.25,30272.5,1,605450,-530,-0.09,10,165,0.03,-525,-0.09,-24320,-2.43,0
3039,Exit long,2026-06-18 04:57,xL,30290,1,605440,350,0.06,10,355,0.06,-50,-0.01,-23970,-2.40,0
3039,Entry long,2026-06-18 04:57,L @ 30272.25,30272,1,605440,350,0.06,10,355,0.06,-50,-0.01,-23970,-2.40,0
3040,Exit short,2026-06-18 05:13,xS,30296.25,1,605450,-485,-0.08,10,275,0.05,-480,-0.08,-24455,-2.45,1
3040,Entry short,2026-06-18 05:12,S @ 30272.25,30272.5,1,605450,-485,-0.08,10,275,0.05,-480,-0.08,-24455,-2.45,1
3041,Exit long,2026-06-18 05:17,xL,30286.25,1,605440,275,0.05,10,280,0.05,-140,-0.02,-24180,-2.42,0
3041,Entry long,2026-06-18 05:17,L @ 30272.25,30272,1,605440,275,0.05,10,280,0.05,-140,-0.02,-24180,-2.42,0
3042,Exit short,2026-06-22 09:40,xS,30373,1,607765,295,0.05,10,300,0.05,-35,-0.01,-23885,-2.39,2
3042,Entry short,2026-06-22 09:38,S @ 30388,30388.25,1,607765,295,0.05,10,300,0.05,-35,-0.01,-23885,-2.39,2
3043,Exit short,2026-06-22 10:00,xS,30395.5,1,607765,-155,-0.03,10,0,0.00,-150,-0.02,-24040,-2.40,0
3043,Entry short,2026-06-22 10:00,S @ 30388,30388.25,1,607765,-155,-0.03,10,0,0.00,-150,-0.02,-24040,-2.40,0
