Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
2598,Entry short,2025-04-15 11:55,S @ 18915,18915.25,1,378305,260,0.07,10,265,0.07,-15,0.00,-27025,-2.70,1
2599,Exit long,2025-04-15 12:19,xL,18910,1,378295,-105,-0.03,10,0,0.00,-100,-0.03,-27130,-2.71,1
2599,Entry long,2025-04-15 12:18,L @ 18915,18914.75,1,378295,-105,-0.03,10,0,0.00,-100,-0.03,-27130,-2.71,1
2600,Exit long,2025-04-15 14:00,xL,18920,1,378295,95,0.03,10,100,0.03,-60,-0.02,-27035,-2.70,5
2600,Entry long,2025-04-15 13:55,L @ 18915,18914.75,1,378295,95,0.03,10,100,0.03,-60,-0.02,-27035,-2.70,5
2601,Exit long,2025-04-15 14:05,xL,18910,1,378295,-105,-0.03,10,30,0.01,-100,-0.03,-27140,-2.71,3
2601,Entry long,2025-04-15 14:02,L @ 18915,18914.75,1,378295,-105,-0.03,10,30,0.01,-100,-0.03,-27140,-2.71,3
2602,Exit short,2025-04-15 15:02,SAR,18919,1,378305,-85,-0.02,10,95,0.03,-110,-0.03,-27225,-2.72,2
2602,Entry short,2025-04-15 15:00,S @ 18915,18915.25,1,378305,-85,-0.02,10,95,0.03,-110,-0.03,-27225,-2.72,2
2603,Exit long,2025-04-15 15:04,xL,18910,1,378295,-105,-0.03,10,65,0.02,-100,-0.03,-27330,-2.73,2
2603,Entry long,2025-04-15 15:02,L @ 18915,18914.75,1,378295,-105,-0.03,10,65,0.02,-100,-0.03,-27330,-2.73,2
2604,Exit short,2025-04-15 15:26,xS,18910,1,378305,95,0.03,10,100,0.03,-45,-0.01,-27235,-2.72,6
2604,Entry short,2025-04-15 15:20,S @ 18915,18915.25,1,378305,95,0.03,10,100,0.03,-45,-0.01,-27235,-2.72,6
2605,Exit short,2025-04-15 16:38,xS,18920,1,378305,-105,-0.03,10,0,0.00,-100,-0.03,-27340,-2.73,1
2605,Entry short,2025-04-15 16:37,S @ 18915,18915.25,1,378305,-105,-0.03,10,0,0.00,-100,-0.03,-27340,-2.73,1
