Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
8232,Exit long,2025-08-22 02:05,xL,23191.5,1,463720,100,0.02,10,105,0.02,-30,-0.01,-104650,-10.46,1
8232,Entry long,2025-08-22 02:04,L @ 23186.25,23186,1,463720,100,0.02,10,105,0.02,-30,-0.01,-104650,-10.46,1
8233,Exit long,2025-08-22 02:11,xL,23177.5,1,463655,-115,-0.02,10,0,0.00,-110,-0.02,-104765,-10.48,1
8233,Entry long,2025-08-22 02:10,L @ 23183,23182.75,1,463655,-115,-0.02,10,0,0.00,-110,-0.02,-104765,-10.48,1
8234,Exit long,2025-08-22 02:27,xL,23185.25,1,463600,95,0.02,10,100,0.02,-30,-0.01,-104670,-10.47,1
8234,Entry long,2025-08-22 02:26,L @ 23180.25,23180,1,463600,95,0.02,10,100,0.02,-30,-0.01,-104670,-10.47,1
8235,Exit long,2025-08-22 03:14,xL,23153,1,463220,-170,-0.04,10,115,0.02,-165,-0.04,-104840,-10.48,4
8235,Entry long,2025-08-22 03:10,L @ 23161.25,23161,1,463220,-170,-0.04,10,115,0.02,-165,-0.04,-104840,-10.48,4
8236,Exit long,2025-08-22 04:31,xL,23194.75,1,463710,175,0.04,10,180,0.04,-125,-0.03,-104665,-10.47,1
8236,Entry long,2025-08-22 04:30,L @ 23185.75,23185.5,1,463710,175,0.04,10,180,0.04,-125,-0.03,-104665,-10.47,1
8237,Exit short,2025-08-22 05:02,xS,23235.25,1,464600,-115,-0.02,10,25,0.01,-110,-0.02,-104780,-10.48,1
8237,Entry short,2025-08-22 05:01,S @ 23229.75,23230,1,464600,-115,-0.02,10,25,0.01,-110,-0.02,-104780,-10.48,1
8238,Exit short,2025-08-22 05:56,xS,23225,1,464605,95,0.02,10,100,0.02,-60,-0.01,-104685,-10.47,1
8238,Entry short,2025-08-22 05:55,S @ 23230,23230.25,1,464605,95,0.02,10,100,0.02,-60,-0.01,-104685,-10.47,1
8239,Exit long,2025-08-22 23:55,xL,23304.25,1,466200,-125,-0.03,10,110,0.02,-120,-0.03,-104810,-10.48,1
8239,Entry long,2025-08-22 23:54,L @ 23310.25,23310,1,466200,-125,-0.03,10,110,0.02,-120,-0.03,-104810,-10.48,1
8240,Exit short,2025-08-23 00:00,xS,23297,1,465655,-295,-0.06,10,0,0.00,-290,-0.06,-105105,-10.51,0
8240,Entry short,2025-08-23 00:00,S @ 23282.5,23282.75,1,465655,-295,-0.06,10,0,0.00,-290,-0.06,-105105,-10.51,0
8241,Exit short,2025-08-23 00:06,xS,23537.5,1,470655,-105,-0.02,10,0,0.00,-100,-0.02,-105210,-10.52,0
8241,Entry short,2025-08-23 00:06,S @ 23532.5,23532.75,1,470655,-105,-0.02,10,0,0.00,-100,-0.02,-105210,-10.52,0
8242,Exit short,2025-08-23 00:25,xS,23578.25,1,471045,-530,-0.11,10,0,0.00,-525,-0.11,-105740,-10.57,0
8242,Entry short,2025-08-23 00:25,S @ 23552,23552.25,1,471045,-530,-0.11,10,0,0.00,-525,-0.11,-105740,-10.57,0
8243,Exit long,2025-08-23 00:27,xL,23534,1,471180,-510,-0.11,10,0,0.00,-505,-0.11,-106250,-10.62,0
8243,Entry long,2025-08-23 00:27,L @ 23559.25,23559,1,471180,-510,-0.11,10,0,0.00,-505,-0.11,-106250,-10.62,0
8244,Exit short,2025-08-23 00:30,xS,23573,1,471255,-215,-0.05,10,175,0.04,-210,-0.04,-106465,-10.65,1
8244,Entry short,2025-08-23 00:29,S @ 23562.5,23562.75,1,471255,-215,-0.05,10,175,0.04,-210,-0.04,-106465,-10.65,1
8245,Exit short,2025-08-23 01:30,xS,23633.75,1,472500,-185,-0.04,10,160,0.03,-180,-0.04,-106650,-10.66,2
8245,Entry short,2025-08-23 01:28,S @ 23624.75,23625,1,472500,-185,-0.04,10,160,0.03,-180,-0.04,-106650,-10.66,2
8246,Exit long,2025-08-23 01:38,SAR,23625.25,1,472560,-65,-0.01,10,0,0.00,-75,-0.02,-106715,-10.67,1
8246,Entry long,2025-08-23 01:37,L @ 23628.25,23628,1,472560,-65,-0.01,10,0,0.00,-75,-0.02,-106715,-10.67,1
8247,Exit short,2025-08-25 23:47,SAR,23469,1,469335,-55,-0.01,10,0,0.00,-200,-0.04,-106770,-10.68,1
8247,Entry short,2025-08-25 23:46,S @ 23466.5,23466.75,1,469335,-55,-0.01,10,0,0.00,-200,-0.04,-106770,-10.68,1
8248,Exit short,2025-08-25 23:55,xS,23492.75,1,469625,-240,-0.05,10,30,0.01,-235,-0.05,-107010,-10.70,2
8248,Entry short,2025-08-25 23:53,S @ 23481,23481.25,1,469625,-240,-0.05,10,30,0.01,-235,-0.05,-107010,-10.70,2
8249,Exit short,2025-08-26 00:13,xS,23538.5,1,470945,165,0.04,10,170,0.04,-50,-0.01,-106845,-10.68,1
8249,Entry short,2025-08-26 00:12,S @ 23547,23547.25,1,470945,165,0.04,10,170,0.04,-50,-0.01,-106845,-10.68,1
8250,Exit short,2025-08-26 03:10,xS,23586,1,471825,95,0.02,10,100,0.02,-20,0.00,-106750,-10.67,0
8250,Entry short,2025-08-26 03:10,S @ 23591,23591.25,1,471825,95,0.02,10,100,0.02,-20,0.00,-106750,-10.67,0
