month,date,window,fill_t,direction,dollars,win,cvd,open_vs_value,weekday,gated_kept
2026-04,2026-04-01,golden,10:00,long,930.0,True,-183.0,above_value,Wednesday,True
2026-04,2026-04-09,golden,09:42,long,60.0,True,-98.0,in_value,Thursday,True
2026-04,2026-04-10,golden,09:48,long,-475.0,False,-233.0,in_value,Friday,True
2026-04,2026-04-10,golden,09:58,short,695.0,True,-132.0,in_value,Friday,True
2026-04,2026-04-14,golden,09:59,short,-315.0,False,-85.0,in_value,Tuesday,True
2026-04,2026-04-14,golden,10:08,long,740.0,True,-518.0,in_value,Tuesday,True
2026-04,2026-04-20,golden,09:48,short,-190.0,False,-154.0,in_value,Monday,True
2026-04,2026-04-21,golden,09:53,long,200.0,True,2.0,above_value,Tuesday,False
2026-04,2026-04-21,golden,10:00,long,100.0,True,-288.0,above_value,Tuesday,True
2026-04,2026-04-23,golden,09:52,long,-500.0,False,817.0,above_value,Thursday,False
2026-04,2026-04-27,golden,09:43,short,335.0,True,-550.0,above_value,Monday,True
2026-04,2026-04-27,golden,09:46,short,75.0,True,-161.0,above_value,Monday,True
2026-04,2026-04-29,golden,09:50,long,885.0,True,-115.0,in_value,Wednesday,True
2026-04,2026-04-29,golden,10:12,long,580.0,True,-44.0,in_value,Wednesday,True
2026-05,2026-05-01,pre,09:03,long,695.0,True,-19.0,in_value,Friday,True
2026-05,2026-05-01,pre,09:26,long,-60.0,False,-18.0,in_value,Friday,True
2026-05,2026-05-04,pre,08:13,long,-410.0,False,-53.0,in_value,Monday,True
2026-05,2026-05-04,pre,09:21,short,-235.0,False,-51.0,in_value,Monday,True
2026-05,2026-05-05,pre,08:03,short,-155.0,False,-97.0,in_value,Tuesday,True
2026-05,2026-05-06,pre,09:18,long,-45.0,False,24.0,in_value,Wednesday,False
2026-05,2026-05-07,pre,08:06,long,490.0,True,43.0,in_value,Thursday,False
2026-05,2026-05-11,pre,08:35,short,795.0,True,48.0,above_value,Monday,False
2026-05,2026-05-11,pre,08:57,long,1140.0,True,-136.0,above_value,Monday,True
2026-05,2026-05-14,pre,08:02,long,-290.0,False,-8.0,in_value,Thursday,True
2026-05,2026-05-14,pre,09:18,long,-50.0,False,-53.0,in_value,Thursday,True
2026-05,2026-05-15,pre,09:22,long,-125.0,False,109.0,in_value,Friday,False
2026-05,2026-05-15,pre,09:24,short,-70.0,False,-111.0,in_value,Friday,True
2026-05,2026-05-19,pre,09:08,short,30.0,True,-342.0,in_value,Tuesday,True
2026-05,2026-05-21,pre,09:07,long,-150.0,False,11.0,below_value,Thursday,False
2026-05,2026-05-21,pre,09:19,short,-280.0,False,60.0,below_value,Thursday,False
2026-05,2026-05-22,pre,08:01,long,-185.0,False,39.0,in_value,Friday,False
2026-05,2026-05-22,pre,08:31,long,670.0,True,-125.0,in_value,Friday,True
2026-05,2026-05-25,pre,08:03,long,-60.0,False,14.0,in_value,Monday,False
2026-05,2026-05-25,pre,08:10,short,-320.0,False,-90.0,in_value,Monday,True
2026-05,2026-05-26,pre,08:26,long,435.0,True,-34.0,in_value,Tuesday,True
2026-05,2026-05-28,pre,08:23,long,-235.0,False,42.0,in_value,Thursday,False
2026-05,2026-05-29,pre,08:03,short,-310.0,False,14.0,above_value,Friday,False
2026-05,2026-05-29,pre,09:26,long,255.0,True,-64.0,above_value,Friday,True
2026-05,2026-05-05,golden,10:00,long,-120.0,False,136.0,in_value,Tuesday,False
2026-05,2026-05-05,golden,10:07,short,-160.0,False,250.0,in_value,Tuesday,False
2026-05,2026-05-06,golden,10:07,short,-535.0,False,-755.0,in_value,Wednesday,True
2026-05,2026-05-21,golden,09:49,long,-220.0,False,5.0,below_value,Thursday,False
2026-05,2026-05-21,golden,10:09,long,555.0,True,281.0,below_value,Thursday,False
2026-05,2026-05-22,golden,09:59,short,-190.0,False,-142.0,in_value,Friday,True
2026-05,2026-05-25,golden,10:09,short,-265.0,False,-145.0,in_value,Monday,True
2026-05,2026-05-26,golden,09:45,long,15.0,True,60.0,in_value,Tuesday,False
2026-05,2026-05-26,golden,10:05,long,615.0,True,271.0,in_value,Tuesday,False
2026-05,2026-05-27,golden,10:07,long,-255.0,False,157.0,above_value,Wednesday,False
2026-06,2026-06-01,pre,08:28,long,-270.0,False,-117.0,in_value,Monday,True
2026-06,2026-06-01,pre,09:01,short,460.0,True,-16.0,in_value,Monday,True
2026-06,2026-06-02,pre,08:05,long,-200.0,False,-30.0,in_value,Tuesday,True
2026-06,2026-06-02,pre,08:10,long,-190.0,False,-39.0,in_value,Tuesday,True
2026-06,2026-06-08,pre,08:55,long,475.0,True,66.0,above_value,Monday,False
2026-06,2026-06-09,pre,08:29,long,1005.0,True,-85.0,in_value,Tuesday,True
2026-06,2026-06-09,pre,09:20,short,-195.0,False,-16.0,in_value,Tuesday,True
2026-06,2026-06-12,pre,08:15,short,1400.0,True,-9.0,in_value,Friday,True
2026-06,2026-06-15,pre,08:20,short,-300.0,False,-130.0,above_value,Monday,True
2026-06,2026-06-15,pre,09:25,long,295.0,True,-10.0,above_value,Monday,True
2026-06,2026-06-16,pre,08:40,short,725.0,True,60.0,above_value,Tuesday,False
2026-06,2026-06-17,pre,08:12,long,-110.0,False,-9.0,below_value,Wednesday,False
2026-06,2026-06-17,pre,08:15,long,-355.0,False,65.0,below_value,Wednesday,False
2026-06,2026-06-18,pre,09:07,long,1030.0,True,-31.0,in_value,Thursday,True
2026-06,2026-06-19,pre,08:06,long,-15.0,False,4.0,in_value,Friday,False
2026-06,2026-06-24,pre,08:06,short,-20.0,False,16.0,above_value,Wednesday,False
2026-06,2026-06-24,pre,08:07,long,-260.0,False,-35.0,above_value,Wednesday,True
2026-06,2026-06-25,pre,08:18,short,-430.0,False,-38.0,in_value,Thursday,True
2026-06,2026-06-25,pre,09:08,short,550.0,True,-83.0,in_value,Thursday,True
2026-06,2026-06-29,pre,08:53,short,-165.0,False,9.0,in_value,Monday,False
2026-06,2026-06-29,pre,08:57,long,615.0,True,-18.0,in_value,Monday,True
2026-06,2026-06-01,golden,10:13,long,-255.0,False,476.0,in_value,Monday,False
2026-06,2026-06-15,golden,10:08,short,370.0,True,-169.0,above_value,Monday,True
2026-06,2026-06-15,golden,10:13,short,830.0,True,237.0,above_value,Monday,False
2026-06,2026-06-22,golden,09:47,short,-395.0,False,174.0,in_value,Monday,False
2026-06,2026-06-22,golden,09:57,long,-130.0,False,-129.0,in_value,Monday,True
2026-06,2026-06-23,golden,09:43,long,-640.0,False,-140.0,in_value,Tuesday,True
2026-07,2026-07-01,pre,08:12,long,-45.0,False,-23.0,in_value,Wednesday,True
2026-07,2026-07-06,pre,09:27,short,-90.0,False,-7.0,in_value,Monday,True
2026-07,2026-07-03,golden,09:47,long,-235.0,False,-42.0,above_value,Friday,True
2026-07,2026-07-03,golden,09:50,short,-280.0,False,-117.0,above_value,Friday,True
