file,family,scale,scale_anomaly,n,joined,med_dev_pts,frac_within_5pts,order_violations,in_span,ok
condensed_glbx-mdp3-20251028.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251029.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251030.mbp-10.csv,A,fixed1e9,False,150,150,0.375,1.0,0,True,True
condensed_glbx-mdp3-20251031.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251103.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251104.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251105.mbp-10.csv,A,fixed1e9,False,150,150,0.25,0.9933333333333333,0,True,True
condensed_glbx-mdp3-20251106.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251107.mbp-10.csv,A,fixed1e9,False,150,150,0.25,0.9866666666666667,0,True,True
condensed_glbx-mdp3-20251110.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251111.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251112.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251113.mbp-10.csv,A,fixed1e9,False,150,150,0.375,1.0,0,True,True
condensed_glbx-mdp3-20251114.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251117.mbp-10.csv,A,fixed1e9,False,150,150,0.375,1.0,0,True,True
condensed_glbx-mdp3-20251118.mbp-10.csv,A,fixed1e9,False,150,150,0.375,1.0,0,True,True
condensed_glbx-mdp3-20251119.mbp-10.csv,A,fixed1e9,False,150,150,0.375,1.0,0,True,True
condensed_glbx-mdp3-20251120.mbp-10.csv,A,fixed1e9,False,150,150,0.375,0.9933333333333333,0,True,True
glbx-mdp3-20250602.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20250603.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20250604.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250605.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250606.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20250609.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250610.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250611.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20250612.mbp-10_condensed.csv,B,decimal,False,120,120,0.5,1.0,0,True,True
glbx-mdp3-20250613.mbp-10_condensed.csv,B,decimal,False,120,120,0.5,1.0,0,True,True
glbx-mdp3-20250616.mbp-10_condensed.csv,B,decimal,False,120,120,221.875,0.0,0,True,False
