ts,tf,direction,kind,pattern,htf_flag,entry_ref,stop_ref,wick_low,wick_high,cluster_center,confluence_count,cluster_types,vwap_touched,close,ob_mid,ob_stop
2026-03-02T08:37:00-05:00,1min,short,rejection_block,unclassified,range,24686.3342,24695.0,24683.5,24695.0,24690.3671,2,"['bb', 'vwap']",True,24682.25,24690.625,24704.25
2026-03-02T08:38:00-05:00,2min,short,rejection_block,unclassified,range,24686.3163,24695.0,24683.5,24695.0,24690.9332,2,"['bb', 'vwap']",True,24673.75,24686.875,24704.25
2026-03-02T08:42:00-05:00,3min,short,rejection_block,unclassified,range,24686.2857,24686.75,24680.0,24686.75,24690.9678,2,"['bb', 'vwap']",True,24675.0,,
2026-03-02T08:45:00-05:00,5min,short,rejection_block,unclassified,range,24686.2151,24686.75,24680.5,24686.75,24687.7576,2,"['bb', 'vwap']",True,24656.5,,
2026-03-02T09:07:00-05:00,1min,long,displacement,B,range,24643.125,24625.75,24625.75,24629.25,24640.3063,2,"['bb', 'poc']",False,24643.25,24629.625,24612.75
2026-03-02T09:08:00-05:00,2min,long,displacement,B,range,24643.125,24625.75,24625.75,24629.25,24639.8812,2,"['bb', 'poc']",False,24648.0,24629.75,24607.75
2026-03-02T09:09:00-05:00,1min,long,rejection_block,unclassified,range,24643.125,24637.25,24637.25,24643.25,24639.15,2,"['bb', 'poc']",False,24643.25,,
2026-03-02T09:12:00-05:00,3min,short,rejection_block,unclassified,range,24643.125,24651.0,24644.5,24651.0,24647.6188,2,"['bb', 'poc']",False,24637.0,24638.875,24652.0
2026-03-02T09:15:00-05:00,5min,short,rejection_block,unclassified,range,24643.125,24644.0,24639.25,24644.0,24648.4125,2,"['bb', 'poc']",False,24633.0,24634.0,24652.0
2026-03-02T09:29:00-05:00,1min,short,rejection_block,unclassified,range,24643.125,24645.25,24641.5,24645.25,24648.0958,2,"['bb', 'poc']",False,24641.5,24626.625,24645.25
2026-03-02T09:31:00-05:00,1min,long,rejection_block,A,range,24651.425,24605.0,24605.0,24644.5,24647.0,2,"['bb', 'poc']",True,24683.0,,
2026-03-02T09:32:00-05:00,2min,long,displacement,B,range,24652.393,24605.0,24605.0,24644.5,24651.909,2,"['bb', 'vwap']",True,24745.5,24680.5,24605.0
2026-03-02T09:33:00-05:00,3min,long,displacement,B,range,24660.5903,24605.0,24605.0,24644.5,24654.2593,2,"['bb', 'vwap']",True,24781.75,24693.75,24605.0
2026-03-02T09:35:00-05:00,5min,long,rejection_block,A,range,24650.7625,24605.0,24605.0,24644.5,24645.9,2,"['bb', 'poc']",True,24832.75,24727.375,24605.0
2026-03-02T09:50:00-05:00,5min,long,rejection_block,unclassified,range,24823.65,24815.0,24815.0,24836.0,24818.95,2,"['bb', 'vwap']",True,24892.25,24846.5,24795.5
2026-03-02T10:20:00-05:00,5min,long,rejection_block,B2,with_trend,24906.2248,24896.25,24896.25,24913.0,24905.3686,2,"['bb', 'vwap']",True,24913.0,,
2026-03-02T10:21:00-05:00,3min,long,rejection_block,B2,with_trend,24910.225,24896.25,24896.25,24919.75,24908.6029,2,"['bb', 'vwap']",True,24919.75,24921.125,24896.25
2026-03-02T10:22:00-05:00,2min,short,displacement,B,counter_trend,24907.685,24925.0,24913.0,24925.0,24908.9988,2,"['bb', 'vwap']",True,24879.0,24911.25,24946.0
2026-03-02T10:24:00-05:00,3min,long,rejection_block,B2,with_trend,24911.225,24866.75,24866.75,24919.0,24909.9818,2,"['bb', 'vwap']",True,24919.0,24897.375,24866.75
2026-03-02T10:25:00-05:00,5min,long,rejection_block,B2,with_trend,24912.45,24866.75,24866.75,24913.0,24910.8781,2,"['bb', 'vwap']",True,24913.0,24906.375,24866.75
2026-03-02T10:27:00-05:00,1min,short,rejection_block,A,counter_trend,24910.4629,24920.5,24902.0,24920.5,24911.9502,2,"['bb', 'vwap']",True,24900.0,24896.625,24924.25
2026-03-02T10:28:00-05:00,2min,short,rejection_block,A,counter_trend,24910.7326,24920.5,24902.0,24920.5,24911.2601,2,"['bb', 'vwap']",True,24881.75,24895.5,24924.25
2026-03-02T10:30:00-05:00,3min,short,rejection_block,A,counter_trend,24908.8375,24910.25,24900.75,24910.25,24909.8644,2,"['bb', 'vwap']",True,24881.75,,
2026-03-02T10:54:00-05:00,3min,short,displacement,B,counter_trend,24914.075,24942.0,24939.75,24942.0,24917.5411,2,"['bb', 'vwap']",True,24904.75,24924.625,24947.75
2026-03-02T10:57:00-05:00,1min,long,displacement,B,with_trend,24921.6832,24900.75,24900.75,24902.0,24920.5978,2,"['bb', 'vwap']",True,24925.0,24904.75,24882.5
2026-03-02T10:58:00-05:00,2min,long,displacement,B,with_trend,24921.971,24900.75,24900.75,24902.0,24921.8668,2,"['bb', 'vwap']",True,24925.75,24903.625,24877.5
2026-03-02T10:59:00-05:00,1min,long,rejection_block,B2,with_trend,24922.85,24917.0,24917.0,24924.0,24922.5658,2,"['bb', 'vwap']",True,24924.0,,
2026-03-02T11:00:00-05:00,5min,long,displacement,B,with_trend,24923.175,24877.5,24877.5,24889.0,24922.838,2,"['bb', 'vwap']",True,24924.5,24912.625,24877.5
2026-03-03T08:10:00-05:00,5min,short,displacement,B,with_trend,24542.85,24569.75,24565.0,24569.75,24546.3625,2,"['bb', 'poc']",False,24542.5,24570.375,24599.0
2026-03-03T08:13:00-05:00,1min,short,rejection_block,B2,with_trend,24542.85,24550.25,24548.0,24550.25,24546.3625,2,"['bb', 'poc']",False,24532.5,24543.25,24555.25
2026-03-03T08:14:00-05:00,2min,short,rejection_block,B2,with_trend,24542.85,24550.25,24548.0,24550.25,24546.3625,2,"['bb', 'poc']",False,24542.25,24541.875,24555.25
2026-03-03T08:16:00-05:00,2min,short,rejection_block,B2,with_trend,24547.0125,24558.5,24546.5,24558.5,24548.4437,2,"['bb', 'poc']",False,24546.5,24549.125,24558.5
2026-03-03T08:17:00-05:00,1min,long,rejection_block,A,counter_trend,24549.875,24539.75,24539.75,24547.25,24548.4437,2,"['bb', 'poc']",False,24552.5,24547.25,24539.75
2026-03-03T08:18:00-05:00,3min,long,rejection_block,A,counter_trend,24549.875,24539.75,24539.75,24550.5,24548.4437,2,"['bb', 'poc']",False,24560.5,24551.25,24539.75
2026-03-03T08:19:00-05:00,1min,long,rejection_block,A,counter_trend,24555.75,24548.25,24548.25,24556.5,24550.8792,2,"['bb', 'poc']",False,24556.5,24557.0,24542.75
2026-03-03T08:20:00-05:00,5min,long,rejection_block,A,counter_trend,24554.3125,24539.75,24539.75,24550.5,24551.5333,2,"['bb', 'poc']",False,24554.75,24555.5,24539.75
2026-03-03T08:21:00-05:00,3min,long,rejection_block,A,counter_trend,24554.025,24546.0,24546.0,24560.75,24551.4375,2,"['bb', 'poc']",False,24572.0,24556.625,24539.75
2026-03-03T08:22:00-05:00,2min,long,rejection_block,A,counter_trend,24553.8375,24553.25,24553.25,24553.75,24551.375,2,"['bb', 'poc']",False,24566.0,24560.75,24546.0
2026-03-03T08:24:00-05:00,3min,short,displacement,B,with_trend,24549.875,24575.5,24571.25,24575.5,24551.025,2,"['bb', 'poc']",False,24544.25,24558.75,24575.5
2026-03-03T08:26:00-05:00,2min,short,rejection_block,B2,with_trend,24549.875,24550.25,24544.25,24550.25,24551.2542,2,"['bb', 'poc']",False,24536.25,24552.625,24575.5
2026-03-03T08:27:00-05:00,3min,short,rejection_block,B2,with_trend,24549.4,24550.25,24544.25,24550.25,24550.7583,2,"['bb', 'poc']",False,24527.25,24549.25,24573.5
2026-03-03T08:30:00-05:00,5min,short,rejection_block,B2,with_trend,24546.075,24550.25,24550.0,24550.25,24550.3833,2,"['bb', 'poc']",False,24529.75,24543.125,24571.25
2026-03-03T08:57:00-05:00,3min,long,rejection_block,A,counter_trend,24487.275,24469.5,24469.5,24487.75,24484.45,2,"['bb', 'poc']",False,24487.75,24484.875,24469.5
2026-03-03T08:59:00-05:00,1min,long,rejection_block,A,counter_trend,24486.9125,24481.5,24481.5,24487.0,24484.2687,2,"['bb', 'poc']",False,24487.25,24486.25,24477.25
2026-03-03T09:00:00-05:00,5min,long,displacement,B,counter_trend,24486.8125,24473.5,24473.5,24478.0,24484.2188,2,"['bb', 'poc']",False,24496.0,24483.125,24466.0
2026-03-03T09:02:00-05:00,2min,short,displacement,B,with_trend,24481.625,24500.25,24497.0,24500.25,24483.075,2,"['bb', 'poc']",False,24476.0,24486.125,24500.25
2026-03-03T09:03:00-05:00,3min,long,rejection_block,A,counter_trend,24483.625,24470.75,24470.75,24484.0,24482.625,2,"['bb', 'poc']",False,24484.0,24484.875,24469.5
2026-03-03T09:04:00-05:00,2min,short,rejection_block,B2,with_trend,24481.625,24488.0,24477.5,24488.0,24482.2438,2,"['bb', 'poc']",False,24477.0,24482.5,24499.0
2026-03-03T09:05:00-05:00,5min,long,rejection_block,A,counter_trend,24482.2125,24466.0,24466.0,24482.5,24481.9188,2,"['bb', 'poc']",False,24482.5,24483.125,24466.0
2026-03-03T09:07:00-05:00,1min,long,rejection_block,A,counter_trend,24491.15,24482.0,24482.0,24485.0,24485.2042,2,"['bb', 'poc']",False,24495.5,24485.0,24466.0
2026-03-03T09:09:00-05:00,3min,long,rejection_block,A,counter_trend,24489.0125,24478.5,24478.5,24485.0,24484.95,2,"['bb', 'poc']",False,24498.5,24486.5,24466.0
2026-03-03T09:10:00-05:00,5min,long,rejection_block,A,counter_trend,24487.3875,24477.5,24477.5,24481.75,24484.7667,2,"['bb', 'poc']",False,24497.25,24486.5,24466.0
2026-03-03T09:11:00-05:00,1min,short,displacement,B,with_trend,24481.625,24497.25,24497.25,24497.25,24484.7792,2,"['bb', 'poc']",False,24476.0,24487.0,24501.0
2026-03-03T09:12:00-05:00,3min,short,displacement,B,with_trend,24481.625,24506.5,24498.0,24506.5,24484.3167,2,"['bb', 'poc']",True,24463.75,24481.5,24507.0
2026-03-03T09:14:00-05:00,2min,short,rejection_block,B2,with_trend,24481.625,24483.5,24480.0,24483.5,24483.7542,2,"['bb', 'poc']",False,24480.0,24484.875,24506.5
2026-03-03T09:15:00-05:00,3min,short,rejection_block,B2,with_trend,24481.625,24484.0,24478.75,24484.0,24483.7542,2,"['bb', 'poc']",False,24478.75,24485.125,24507.0
2026-03-03T09:17:00-05:00,1min,short,displacement,B,with_trend,24481.625,24493.0,24489.25,24493.0,24483.6417,2,"['bb', 'poc']",False,24474.25,24488.125,24505.0
2026-03-03T09:18:00-05:00,2min,long,rejection_block,A,counter_trend,24485.9875,24471.25,24471.25,24489.25,24484.0667,2,"['bb', 'poc']",False,24496.5,24477.625,24456.0
2026-03-03T09:39:00-05:00,3min,long,displacement,B,range,24555.9372,24538.25,24538.25,24551.5,24554.0061,2,"['bb', 'vwap']",True,24644.5,24579.625,24502.5
2026-03-03T09:44:00-05:00,1min,short,rejection_block,unclassified,range,24549.875,24563.5,24552.0,24563.5,24552.7338,2,"['poc', 'vwap']",True,24549.0,24570.75,24610.5
2026-03-03T09:45:00-05:00,5min,short,displacement,B,range,24549.875,24610.5,24592.75,24610.5,24551.0008,2,"['poc', 'vwap']",True,24533.0,24581.875,24661.25
2026-03-03T09:46:00-05:00,2min,short,rejection_block,unclassified,range,24570.4125,24573.5,24570.0,24573.5,24575.2209,2,"['bb', 'vwap']",True,24570.0,,
2026-03-03T09:48:00-05:00,3min,short,rejection_block,unclassified,range,24575.2375,24614.25,24558.25,24614.25,24577.6038,2,"['bb', 'vwap']",True,24558.25,24585.625,24656.75
2026-03-03T09:49:00-05:00,1min,short,displacement,B,range,24549.6465,24561.25,24557.75,24561.25,24549.7607,2,"['poc', 'vwap']",True,24523.25,24567.125,24614.25
2026-03-03T09:50:00-05:00,5min,short,rejection_block,unclassified,range,24537.8125,24614.25,24532.0,24614.25,24541.0338,2,"['bb', 'vwap']",True,24502.25,24575.875,24661.25
2026-03-03T09:52:00-05:00,2min,short,rejection_block,unclassified,range,24538.3762,24569.75,24528.0,24569.75,24539.7006,2,"['bb', 'vwap']",True,24528.0,24531.375,24573.5
2026-03-03T09:53:00-05:00,1min,short,rejection_block,unclassified,range,24537.2695,24555.75,24530.25,24555.75,24539.1472,2,"['bb', 'vwap']",True,24530.25,24542.375,24569.75
2026-03-03T09:54:00-05:00,3min,short,rejection_block,unclassified,range,24561.0375,24569.75,24551.0,24569.75,24565.6008,2,"['bb', 'vwap']",True,24551.0,24564.375,24614.25
2026-03-03T09:55:00-05:00,5min,short,rejection_block,unclassified,range,24561.7625,24569.75,24543.0,24569.75,24565.6051,2,"['bb', 'vwap']",True,24543.0,24575.25,24661.25
2026-03-03T09:56:00-05:00,1min,short,rejection_block,unclassified,range,24547.1,24551.0,24544.0,24551.0,24548.4875,2,"['bb', 'poc']",True,24538.5,24534.375,24558.75
2026-03-03T09:57:00-05:00,3min,short,displacement,B,range,24525.5125,24558.75,24551.75,24558.75,24529.7449,2,"['bb', 'vwap']",True,24517.75,24539.75,24569.75
2026-03-03T09:58:00-05:00,1min,short,rejection_block,unclassified,range,24525.5125,24533.0,24520.75,24533.0,24529.1719,2,"['bb', 'vwap']",True,24520.75,,
2026-03-03T10:00:00-05:00,5min,short,displacement,B,range,24525.175,24551.0,24544.0,24551.0,24526.0151,2,"['bb', 'vwap']",True,24489.25,24525.0,24569.75
2026-03-03T10:01:00-05:00,1min,short,rejection_block,unclassified,range,24524.2791,24562.5,24513.25,24562.5,24527.8222,2,"['bb', 'vwap']",True,24513.25,24520.25,24562.5
2026-03-03T10:02:00-05:00,2min,short,rejection_block,unclassified,range,24522.3694,24562.5,24489.0,24562.5,24525.9731,2,"['bb', 'vwap']",True,24487.25,,
2026-03-03T10:03:00-05:00,3min,short,rejection_block,unclassified,range,24511.15,24562.5,24489.0,24562.5,24515.0968,2,"['bb', 'vwap']",True,24475.5,24521.875,24569.75
2026-03-03T10:04:00-05:00,2min,short,rejection_block,unclassified,range,24511.15,24514.5,24489.25,24514.5,24513.7394,2,"['bb', 'vwap']",False,24489.25,,
2026-03-03T10:05:00-05:00,5min,short,rejection_block,unclassified,range,24507.9125,24562.5,24489.0,24562.5,24510.8517,2,"['bb', 'vwap']",True,24485.0,24516.5,24569.75
2026-03-03T10:06:00-05:00,3min,short,rejection_block,unclassified,range,24507.9125,24509.25,24498.75,24509.25,24512.5064,2,"['bb', 'vwap']",False,24498.75,,
2026-03-03T10:07:00-05:00,1min,short,rejection_block,unclassified,range,24525.5375,24541.5,24520.75,24541.5,24526.5812,2,"['bb', 'poc']",True,24520.75,24500.625,24541.5
2026-03-03T10:08:00-05:00,2min,short,rejection_block,unclassified,range,24507.9125,24541.5,24498.75,24541.5,24509.7052,2,"['bb', 'vwap']",True,24494.25,24500.625,24541.5
2026-03-03T10:09:00-05:00,3min,short,rejection_block,unclassified,range,24507.9125,24541.5,24498.75,24541.5,24508.5987,2,"['bb', 'vwap']",True,24482.75,24500.625,24541.5
2026-03-03T10:10:00-05:00,5min,short,rejection_block,unclassified,range,24506.6,24541.5,24503.5,24541.5,24507.8791,2,"['bb', 'vwap']",True,24503.5,24514.75,24569.75
2026-03-03T10:11:00-05:00,1min,short,rejection_block,unclassified,range,24506.6,24515.0,24503.5,24515.0,24507.0576,2,"['bb', 'vwap']",True,24491.25,24500.5,24521.75
2026-03-03T10:13:00-05:00,1min,long,rejection_block,unclassified,range,24506.6,24504.0,24504.0,24510.25,24506.254,2,"['bb', 'vwap']",True,24514.75,24515.25,24479.75
2026-03-03T10:14:00-05:00,1min,short,displacement,B,range,24502.875,24520.75,24516.75,24520.75,24505.04,2,"['bb', 'vwap']",True,24491.75,24518.375,24550.75
2026-03-03T10:15:00-05:00,5min,long,rejection_block,B2,with_trend,24500.7875,24479.75,24479.75,24501.25,24496.3312,2,"['bb', 'poc']",True,24501.25,24512.875,24463.25
2026-03-03T10:16:00-05:00,2min,short,rejection_block,A,counter_trend,24504.4877,24518.5,24494.75,24518.5,24505.4501,2,"['bb', 'vwap']",True,24494.75,24509.125,24538.5
2026-03-03T10:17:00-05:00,1min,short,rejection_block,A,counter_trend,24491.875,24495.75,24493.75,24495.75,24494.0062,2,"['bb', 'poc']",False,24468.5,24489.25,24516.25
2026-03-03T10:18:00-05:00,3min,short,displacement,B,counter_trend,24491.875,24518.5,24501.0,24518.5,24494.9996,3,"['bb', 'poc', 'vwap']",True,24452.75,24491.25,24538.5
2026-03-03T10:20:00-05:00,5min,short,displacement,B,counter_trend,24487.175,24518.5,24501.0,24518.5,24491.0877,3,"['bb', 'poc', 'vwap']",True,24434.75,24484.5,24541.5
2026-03-03T10:46:00-05:00,2min,short,rejection_block,A,counter_trend,24426.6325,24443.25,24423.5,24443.25,24432.0416,2,"['bb', 'vwap']",True,24423.5,24437.5,24472.75
2026-03-03T10:48:00-05:00,2min,long,rejection_block,B2,with_trend,24425.8103,24416.25,24416.25,24421.5,24422.1989,2,"['bb', 'vwap']",True,24440.75,24436.75,24407.5
2026-03-03T10:49:00-05:00,1min,short,displacement,B,counter_trend,24421.6375,24447.5,24441.5,24447.5,24423.5132,2,"['bb', 'vwap']",True,24418.0,24431.5,24449.75
2026-03-03T10:50:00-05:00,5min,short,rejection_block,A,counter_trend,24424.665,24460.0,24420.5,24460.0,24427.3572,2,"['bb', 'vwap']",True,24420.5,24426.375,24460.0
2026-03-03T10:53:00-05:00,1min,short,rejection_block,A,counter_trend,24422.7853,24440.0,24409.75,24440.0,24424.7897,2,"['bb', 'vwap']",True,24409.75,24415.75,24440.0
2026-03-03T10:54:00-05:00,3min,short,rejection_block,A,counter_trend,24418.15,24440.0,24398.75,24440.0,24423.0562,2,"['bb', 'vwap']",True,24393.0,24423.5,24460.0
2026-03-03T10:55:00-05:00,5min,short,rejection_block,A,counter_trend,24418.15,24440.0,24419.25,24440.0,24422.2713,2,"['bb', 'vwap']",True,24381.0,24416.5,24460.0
2026-03-03T10:57:00-05:00,3min,short,rejection_block,A,counter_trend,24412.5875,24433.25,24403.75,24433.25,24417.3429,2,"['bb', 'vwap']",True,24403.75,24416.5,24460.0
2026-03-03T10:58:00-05:00,2min,long,displacement,B,with_trend,24419.5386,24383.75,24383.75,24383.75,24416.3712,2,"['bb', 'vwap']",True,24421.5,24403.125,24373.0
2026-03-03T11:00:00-05:00,5min,long,displacement,B,range,24419.6625,24377.0,24377.0,24381.0,24416.6896,2,"['bb', 'vwap']",True,24446.75,24413.0,24373.0
2026-03-04T07:45:00-05:00,5min,short,rejection_block,A,counter_trend,24789.65,24794.25,24783.75,24794.25,24791.456,2,"['bb', 'vwap']",True,24783.75,24762.375,24794.25
2026-03-04T08:01:00-05:00,1min,long,rejection_block,B2,with_trend,24803.2875,24795.5,24795.5,24800.5,24799.0613,2,"['bb', 'vwap']",False,24812.25,,
2026-03-04T08:02:00-05:00,2min,long,rejection_block,B2,with_trend,24803.2875,24795.5,24795.5,24800.5,24799.3933,2,"['bb', 'vwap']",True,24822.75,24792.5,24760.0
2026-03-04T08:03:00-05:00,3min,long,rejection_block,B2,with_trend,24803.2875,24795.5,24795.5,24800.5,24799.5759,2,"['bb', 'vwap']",True,24823.5,24791.625,24758.25
2026-03-04T08:05:00-05:00,5min,long,rejection_block,B2,with_trend,24796.8962,24795.5,24795.5,24800.5,24792.0231,2,"['bb', 'vwap']",True,24839.25,24800.0,24758.25
2026-03-04T09:19:00-05:00,1min,long,displacement,B,with_trend,24892.7875,24880.75,24880.75,24880.75,24888.9656,2,"['bb', 'poc']",False,24896.5,24889.375,24880.75
2026-03-04T09:20:00-05:00,5min,long,rejection_block,B2,with_trend,24893.3375,24880.75,24880.75,24896.0,24889.2594,2,"['bb', 'poc']",False,24901.75,24885.25,24866.0
2026-03-04T09:21:00-05:00,3min,long,displacement,B,with_trend,24893.3375,24880.75,24880.75,24880.75,24890.075,2,"['bb', 'poc']",False,24911.0,24896.125,24880.75
2026-03-04T09:23:00-05:00,1min,short,displacement,B,counter_trend,24888.375,24905.0,24899.25,24905.0,24890.2094,2,"['bb', 'poc']",False,24884.5,24898.0,24911.5
2026-03-04T09:25:00-05:00,5min,short,displacement,B,counter_trend,24888.375,24911.5,24900.75,24911.5,24890.2281,2,"['bb', 'poc']",False,24880.5,24895.875,24911.5
2026-03-04T09:26:00-05:00,2min,short,displacement,B,counter_trend,24888.375,24894.75,24891.0,24894.75,24889.625,2,"['bb', 'poc']",False,24869.75,24885.25,24903.75
2026-03-04T09:27:00-05:00,3min,short,displacement,B,counter_trend,24886.5,24894.75,24891.0,24894.75,24888.8469,2,"['bb', 'poc']",False,24857.0,24883.75,24911.5
2026-03-04T09:31:00-05:00,1min,long,displacement,B,with_trend,24888.7875,24837.25,24837.25,24853.5,24887.7875,2,"['bb', 'poc']",True,24935.0,24896.375,24837.25
2026-03-04T09:35:00-05:00,5min,long,displacement,B,with_trend,24895.675,24837.25,24837.25,24853.5,24889.4475,2,"['bb', 'poc']",True,24964.5,24902.875,24837.25
2026-03-04T09:36:00-05:00,3min,long,rejection_block,A,with_trend,24889.125,24889.0,24889.0,24908.25,24886.044,3,"['bb', 'poc', 'vwap']",True,24908.25,24908.375,24846.5
2026-03-04T09:38:00-05:00,2min,long,rejection_block,A,with_trend,24891.8625,24869.25,24869.25,24897.5,24887.965,3,"['bb', 'poc', 'vwap']",True,24897.5,24919.75,24869.25
2026-03-04T09:40:00-05:00,5min,short,displacement,B,counter_trend,24886.6329,24970.25,24964.5,24970.25,24891.0426,3,"['bb', 'poc', 'vwap']",True,24885.0,24903.75,24970.25
2026-03-04T09:41:00-05:00,1min,short,rejection_block,A,counter_trend,24886.875,24888.0,24886.75,24888.0,24889.7431,3,"['bb', 'poc', 'vwap']",True,24864.0,24881.0,24909.25
2026-03-04T09:42:00-05:00,3min,short,rejection_block,A,counter_trend,24884.5785,24909.25,24884.5,24909.25,24888.0275,3,"['bb', 'poc', 'vwap']",True,24851.0,24896.375,24955.5
2026-03-04T09:44:00-05:00,2min,short,rejection_block,A,counter_trend,24877.142,24879.0,24858.0,24879.0,24884.1668,3,"['bb', 'poc', 'vwap']",True,24858.0,,
2026-03-04T09:45:00-05:00,5min,short,rejection_block,A,counter_trend,24885.325,24888.0,24886.75,24888.0,24887.49,3,"['bb', 'poc', 'vwap']",True,24853.25,24902.875,24968.5
2026-03-04T09:48:00-05:00,3min,short,rejection_block,A,counter_trend,24883.3375,24919.5,24875.0,24919.5,24887.3909,3,"['bb', 'poc', 'vwap']",True,24875.0,24872.75,24919.5
2026-03-04T09:49:00-05:00,1min,long,displacement,B,with_trend,24892.9605,24869.75,24869.75,24874.5,24887.9372,3,"['bb', 'poc', 'vwap']",True,24906.25,24894.625,24869.75
2026-03-04T09:50:00-05:00,1min,long,rejection_block,B2,with_trend,24894.3484,24888.75,24888.75,24896.5,24889.1789,3,"['bb', 'poc', 'vwap']",True,24896.5,24903.375,24871.25
2026-03-04T09:51:00-05:00,3min,short,rejection_block,A,counter_trend,24883.4625,24935.5,24874.5,24935.5,24887.175,2,"['bb', 'poc']",True,24873.5,24880.75,24935.5
2026-03-04T09:52:00-05:00,2min,long,rejection_block,B2,with_trend,24891.2,24865.5,24865.5,24896.0,24887.31,2,"['bb', 'poc']",True,24898.75,24863.625,24826.0
2026-03-04T09:53:00-05:00,1min,long,rejection_block,B2,with_trend,24891.2,24889.0,24889.0,24899.75,24887.275,2,"['bb', 'poc']",True,24918.5,24895.5,24865.5
2026-03-04T09:54:00-05:00,3min,long,displacement,B,with_trend,24891.2,24871.0,24871.0,24873.0,24887.9725,2,"['bb', 'poc']",True,24933.0,24904.75,24865.5
2026-03-04T09:55:00-05:00,5min,long,rejection_block,B2,with_trend,24891.9,24865.5,24865.5,24896.0,24887.7875,2,"['bb', 'poc']",True,24932.0,24892.375,24840.75
2026-03-04T10:04:00-05:00,2min,short,displacement,B,counter_trend,24907.2811,24978.0,24971.5,24978.0,24909.0907,2,"['bb', 'vwap']",True,24901.0,24939.75,24983.25
2026-03-04T10:05:00-05:00,5min,long,rejection_block,B2,with_trend,24896.6125,24891.5,24891.5,24922.75,24892.7719,2,"['bb', 'poc']",True,24930.5,24937.375,24891.5
2026-03-04T10:06:00-05:00,3min,long,rejection_block,B2,with_trend,24898.1625,24891.5,24891.5,24936.5,24894.2719,2,"['bb', 'poc']",True,24936.5,24926.25,24891.5
2026-03-04T10:08:00-05:00,2min,long,rejection_block,B2,with_trend,24925.0625,24922.5,24922.5,24938.25,24920.6699,2,"['bb', 'vwap']",True,24970.25,24937.125,24896.25
