file,family,date,session,scale_detected,n_minutes,n_joined,med_dev_pts,frac_within_5pts,ok
glbx-mdp3-20250730.mbp-10_condensed.csv,B,2025-07-30,london,decimal,120,120,0.125,1.0,True
condensed_glbx-mdp3-20250808.mbp-10.csv,A,2025-08-08,ny_am,fixed1e9,150,150,0.125,1.0,True
glbx-mdp3-20250808.mbp-10_condensed.csv,B,2025-08-08,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250818.mbp-10.csv,A,2025-08-18,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250818.mbp-10_condensed.csv,B,2025-08-18,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250827.mbp-10.csv,A,2025-08-27,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250827.mbp-10_condensed.csv,B,2025-08-27,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250905.mbp-10.csv,A,2025-09-05,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250905.mbp-10_condensed.csv,B,2025-09-05,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250915.mbp-10.csv,A,2025-09-15,ny_am,fixed1e9,150,150,240.75,0.0,False
glbx-mdp3-20250915.mbp-10_condensed.csv,B,2025-09-15,london,decimal,120,120,240.625,0.0,False
condensed_glbx-mdp3-20250924.mbp-10.csv,A,2025-09-24,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250924.mbp-10_condensed.csv,B,2025-09-24,london,decimal,120,120,0.125,1.0,True
condensed_glbx-mdp3-20251003.mbp-10.csv,A,2025-10-03,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20251003.mbp-10_condensed.csv,B,2025-10-03,london,decimal,120,120,0.25,1.0,True
glbx-mdp3-20251013.mbp-10_condensed.csv,B,2025-10-13,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20251022.mbp-10_condensed.csv,B,2025-10-22,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20251031.mbp-10.csv,A,2025-10-31,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20251031.mbp-10_condensed.csv,B,2025-10-31,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20251110.mbp-10.csv,A,2025-11-10,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20251110.mbp-10_condensed.csv,B,2025-11-10,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20251119.mbp-10.csv,A,2025-11-19,ny_am,fixed1e9,150,150,0.375,1.0,True
glbx-mdp3-20251119.mbp-10_condensed.csv,B,2025-11-19,london,decimal,120,120,0.5,1.0,True
glbx-mdp3-20251208.mbp-10_condensed.csv,B,2025-12-08,london,decimal,120,120,0.25,1.0,True
glbx-mdp3-20251217.mbp-10_condensed.csv,B,2025-12-17,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20251226.mbp-10_condensed.csv,B,2025-12-26,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20260105.mbp-10_condensed.csv,B,2026-01-05,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20260114.mbp-10_condensed.csv,B,2026-01-14,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20260123.mbp-10_condensed.csv,B,2026-01-23,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20250605.mbp-10.csv,A,2025-06-05,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250605.mbp-10_condensed.csv,B,2025-06-05,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250624.mbp-10.csv,A,2025-06-24,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250624.mbp-10_condensed.csv,B,2025-06-24,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250703.mbp-10.csv,A,2025-07-03,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250703.mbp-10_condensed.csv,B,2025-07-03,london,decimal,120,120,0.125,1.0,True
condensed_glbx-mdp3-20250722.mbp-10.csv,A,2025-07-22,ny_am,fixed1e9,150,150,0.25,1.0,True
