dir,entry_ts,entry_px,exit_ts,exit_px,signal,qty,pnl,comm,mfe,mae,bars
-1,2026-04-07 10:15:00,4646.4,2026-04-07 10:30:00,4676.5,XS,1,-3013,3,1228.5,-3011.5,1
-1,2026-04-08 10:30:00,4794.8,2026-04-08 10:45:00,4767.4,XS,1,2737,3,2738.5,-251.5,1
1,2026-04-09 11:30:00,4804.0,2026-04-09 13:15:00,4817.2,scratch,1,1317,3,2148.5,-71.5,7
1,2026-04-10 10:15:00,4805.4,2026-04-10 11:30:00,4788.8,XL,1,-1663,3,1458.5,-1661.5,5
1,2026-04-14 10:30:00,4833.1,2026-04-14 12:15:00,4832.9,scratch,1,-23,3,888.5,-1871.5,7
1,2026-04-15 10:00:00,4851.8,2026-04-15 10:30:00,4838.2,XL,1,-1363,3,278.5,-1361.5,2
-1,2026-04-16 10:00:00,4815.7,2026-04-16 11:45:00,4824.3,scratch,1,-863,3,2358.5,-1901.5,7
-1,2026-04-21 10:45:00,4762.6,2026-04-21 12:45:00,4732.6,XS,1,2997,3,2998.5,-1401.5,8
-1,2026-04-22 10:45:00,4750.9,2026-04-22 12:30:00,4745.6,scratch,1,527,3,878.5,-751.5,7
1,2026-04-24 10:00:00,4728.1,2026-04-24 11:30:00,4733.6,XL,1,547,3,2898.5,-491.5,6
-1,2026-04-28 10:15:00,4581.3,2026-04-28 12:00:00,4600.1,scratch,1,-1883,3,1128.5,-1891.5,7
1,2026-05-01 10:00:00,4637.0,2026-05-01 10:15:00,4668.0,XL,1,3097,3,3598.5,-121.5,1
1,2026-05-05 10:30:00,4595.1,2026-05-05 11:45:00,4582.0,XL,1,-1313,3,168.5,-1311.5,5
1,2026-05-06 10:00:00,4713.5,2026-05-06 11:45:00,4704.0,scratch,1,-953,3,1518.5,-1291.5,7
1,2026-05-07 11:00:00,4773.5,2026-05-07 11:15:00,4752.8,XL,1,-2073,3,168.5,-2071.5,1
-1,2026-05-12 10:00:00,4686.4,2026-05-12 11:15:00,4663.3,XS,1,2307,3,2308.5,-1661.5,5
1,2026-05-13 11:45:00,4707.3,2026-05-13 13:30:00,4706.4,scratch,1,-93,3,1058.5,-491.5,7
