window,day,month,fill_ts,direction,risk_pts,dollars,win,exit_reason,r_multiple
pre,2026-03-23,2026-03,2026-03-23T08:10:00-04:00,long,83.5,1822.5,True,target,2.1886
golden,2026-03-23,2026-03,2026-03-23T09:41:00-04:00,long,71.75,-725.0,False,stop,-1.0035
pre,2026-03-24,2026-03,2026-03-24T08:06:00-04:00,short,51.75,1305.0,True,target,2.5314
pre,2026-03-24,2026-03,2026-03-24T09:10:00-04:00,short,53.0,-545.0,False,stop,-1.0189
golden,2026-03-24,2026-03,2026-03-24T09:41:00-04:00,short,136.25,-1370.0,False,stop,-1.0018
pre,2026-03-25,2026-03,2026-03-25T08:18:00-04:00,short,66.75,-675.0,False,stop,-1.0037
golden,2026-03-25,2026-03,2026-03-25T09:51:00-04:00,short,87.5,-882.5,False,stop,-1.0029
pre,2026-03-26,2026-03,2026-03-26T09:21:00-04:00,long,19.75,-405.0,False,stop,-1.0127
golden,2026-03-26,2026-03,2026-03-26T09:45:00-04:00,long,70.5,717.5,True,target,1.0248
golden,2026-03-26,2026-03,2026-03-26T10:01:00-04:00,long,73.5,-742.5,False,stop,-1.0034
golden,2026-03-27,2026-03,2026-03-27T09:49:00-04:00,long,51.25,-520.0,False,stop,-1.0049
golden,2026-03-27,2026-03,2026-03-27T10:13:00-04:00,long,51.75,-525.0,False,stop,-1.0048
pre,2026-03-31,2026-03,2026-03-31T08:12:00-04:00,short,68.0,-687.5,False,stop,-1.0037
pre,2026-03-31,2026-03,2026-03-31T09:01:00-04:00,short,34.5,-700.0,False,stop,-1.0072
golden,2026-03-31,2026-03,2026-03-31T09:41:00-04:00,long,52.0,1172.5,True,target,2.2644
golden,2026-03-31,2026-03,2026-03-31T10:07:00-04:00,short,37.0,-750.0,False,stop,-1.0068
golden,2026-04-01,2026-04,2026-04-01T09:45:00-04:00,short,82.25,-837.5,False,stop,-1.0122
golden,2026-04-01,2026-04,2026-04-01T10:09:00-04:00,long,46.75,752.5,True,target,1.6203
pre,2026-04-02,2026-04,2026-04-02T08:50:00-04:00,long,15.5,-320.0,False,stop,-1.0161
pre,2026-04-02,2026-04,2026-04-02T09:01:00-04:00,short,23.0,-470.0,False,stop,-1.0109
golden,2026-04-02,2026-04,2026-04-02T09:41:00-04:00,short,95.25,-960.0,False,stop,-1.0026
golden,2026-04-02,2026-04,2026-04-02T09:48:00-04:00,long,34.0,1995.0,True,target,2.9412
pre,2026-04-06,2026-04,2026-04-06T08:49:00-04:00,long,13.0,-270.0,False,stop,-1.0192
golden,2026-04-06,2026-04,2026-04-06T09:43:00-04:00,long,62.0,1125.0,True,target,1.8226
golden,2026-04-06,2026-04,2026-04-06T10:03:00-04:00,short,47.5,937.5,True,target,1.9842
pre,2026-04-07,2026-04,2026-04-07T08:20:00-04:00,long,35.25,-715.0,False,stop,-1.0071
golden,2026-04-07,2026-04,2026-04-07T09:41:00-04:00,short,64.5,2150.0,True,target,3.3411
pre,2026-04-08,2026-04,2026-04-08T08:02:00-04:00,long,12.5,415.0,True,target,1.68
pre,2026-04-08,2026-04,2026-04-08T08:06:00-04:00,long,33.0,-670.0,False,stop,-1.0076
golden,2026-04-08,2026-04,2026-04-08T09:49:00-04:00,long,49.5,-502.5,False,stop,-1.0051
golden,2026-04-08,2026-04,2026-04-08T09:52:00-04:00,short,67.25,-680.0,False,stop,-1.0037
golden,2026-04-09,2026-04,2026-04-09T09:42:00-04:00,long,32.25,60.0,True,target,0.1008
golden,2026-04-09,2026-04,2026-04-09T09:43:00-04:00,long,42.5,-432.5,False,stop,-1.0059
pre,2026-04-10,2026-04,2026-04-10T08:07:00-04:00,short,10.75,-225.0,False,stop,-1.0233
pre,2026-04-10,2026-04,2026-04-10T08:09:00-04:00,long,9.0,420.0,True,target,2.3611
golden,2026-04-10,2026-04,2026-04-10T09:45:00-04:00,short,13.25,-290.0,False,stop,-1.0755
golden,2026-04-10,2026-04,2026-04-10T09:46:00-04:00,long,31.0,-645.0,False,stop,-1.0323
pre,2026-04-13,2026-04,2026-04-13T08:14:00-04:00,short,4.5,-100.0,False,stop,-1.0556
pre,2026-04-13,2026-04,2026-04-13T08:35:00-04:00,long,19.0,980.0,True,target,2.5921
golden,2026-04-13,2026-04,2026-04-13T09:41:00-04:00,long,17.75,-365.0,False,stop,-1.0141
golden,2026-04-13,2026-04,2026-04-13T09:47:00-04:00,short,25.5,-520.0,False,stop,-1.0098
golden,2026-04-14,2026-04,2026-04-14T09:56:00-04:00,short,29.5,-600.0,False,stop,-1.0085
pre,2026-04-15,2026-04,2026-04-15T08:02:00-04:00,long,0.75,-25.0,False,stop,-1.3333
pre,2026-04-15,2026-04,2026-04-15T08:03:00-04:00,long,22.5,-460.0,False,stop,-1.0111
golden,2026-04-15,2026-04,2026-04-15T09:45:00-04:00,short,59.75,-605.0,False,stop,-1.0042
pre,2026-04-16,2026-04,2026-04-16T09:03:00-04:00,long,22.5,-460.0,False,stop,-1.0111
golden,2026-04-16,2026-04,2026-04-16T09:52:00-04:00,short,52.75,-535.0,False,stop,-1.0047
golden,2026-04-17,2026-04,2026-04-17T09:49:00-04:00,short,39.5,-800.0,False,stop,-1.0063
pre,2026-04-20,2026-04,2026-04-20T09:06:00-04:00,long,17.0,-350.0,False,stop,-1.0147
pre,2026-04-20,2026-04,2026-04-20T09:21:00-04:00,short,12.25,-255.0,False,stop,-1.0204
golden,2026-04-20,2026-04,2026-04-20T09:41:00-04:00,short,66.5,1680.0,True,target,2.5338
pre,2026-04-21,2026-04,2026-04-21T08:17:00-04:00,short,16.5,-355.0,False,stop,-1.0606
pre,2026-04-21,2026-04,2026-04-21T08:33:00-04:00,short,5.5,-135.0,False,stop,-1.1818
golden,2026-04-21,2026-04,2026-04-21T09:46:00-04:00,long,22.75,1880.0,True,target,4.1429
