date,session,criterion,n_real_minutes,n_nominal_minutes,note
2023-06-25,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-06-25,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-07-23,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-07-23,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-08-20,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-08-20,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-09-17,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-09-17,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-10-15,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-10-15,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-11-12,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-11-12,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-12-10,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-12-10,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-01-28,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-01-28,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-02-25,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-02-25,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-03-24,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-03-24,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-05-11,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-05-11,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-06-08,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-06-08,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-06-17,ny_am,flow_file_convention_mismatch,150,150,"condensed_glbx-mdp3-20250617.mbp-10.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-06-17,london,flow_file_convention_mismatch,120,120,"glbx-mdp3-20250617.mbp-10_condensed.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-07-06,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-07-06,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-08-03,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-08-03,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-08-31,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-08-31,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-09-18,ny_am,flow_file_convention_mismatch,150,150,"condensed_glbx-mdp3-20250918.mbp-10.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-09-28,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-09-28,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-10-26,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-10-26,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-11-23,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-11-23,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-12-21,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-12-21,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2026-01-18,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2026-01-18,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-01-01,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-01-01,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-04-14,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-04-14,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-05-12,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-05-12,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-06-09,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-06-09,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-07-07,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-07-07,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-08-04,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-08-04,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-09-01,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-09-01,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-09-29,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-09-29,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-10-27,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-10-27,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-11-24,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-11-24,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-12-22,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-12-22,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-01-09,ny_am,session_window_incomplete,90,210,"calendar/coverage based, outcome-independent"
2025-01-19,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-01-19,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-02-16,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-02-16,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-03-16,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-03-16,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-04-13,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-04-13,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-06-18,ny_am,flow_file_convention_mismatch,150,150,"condensed_glbx-mdp3-20250618.mbp-10.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-09-19,ny_am,flow_file_convention_mismatch,97,97,"condensed_glbx-mdp3-20250919.mbp-10.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2023-01-29,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-01-29,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-02-26,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-02-26,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-03-26,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-03-26,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-04-23,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-04-23,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-05-21,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-05-21,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-06-18,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-06-18,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-07-16,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-07-16,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
