ts,tf,direction,kind,pattern,htf_flag,entry_ref,stop_ref,wick_low,wick_high,cluster_center,confluence_count,cluster_types,vwap_touched,ob_mid,ob_stop,close
2026-06-09T04:12:00-04:00,3min,long,rejection_block,B2,with_trend,29618.125,29616.75,29616.75,29621.0,29617.1312,2,"['bb', 'poc']",False,29607.875,29579.5,29628.75
2026-06-09T04:14:00-04:00,2min,long,rejection_block,B2,with_trend,29627.75,29626.0,29626.0,29629.0,29622.9375,2,"['bb', 'poc']",False,,,29661.25
2026-06-10T03:39:00-04:00,3min,long,rejection_block,B2,range,28955.0375,28953.75,28953.75,28957.75,28950.5462,2,"['bb', 'vwap']",False,28957.875,28934.5,28957.75
2026-06-10T03:42:00-04:00,3min,short,displacement,B,range,28945.9375,28961.0,28957.5,28961.0,28950.3063,2,"['bb', 'vwap']",True,28963.125,28984.5,28943.25
2026-06-10T03:44:00-04:00,2min,short,rejection_block,B2,range,28945.8421,28949.75,28944.5,28949.75,28949.2836,2,"['bb', 'vwap']",True,28958.875,28981.25,28937.75
2026-06-10T03:46:00-04:00,2min,short,rejection_block,B2,range,28945.7506,28950.0,28943.0,28950.0,28949.2503,2,"['bb', 'vwap']",True,,,28943.0
2026-06-10T03:48:00-04:00,3min,long,rejection_block,B2,range,28953.175,28926.25,28926.25,28946.25,28949.3366,2,"['bb', 'vwap']",True,28944.375,28926.25,28962.5
2026-06-10T03:49:00-04:00,1min,long,rejection_block,B2,range,28953.7375,28949.25,28949.25,28957.5,28949.5809,2,"['bb', 'vwap']",False,28946.25,28926.25,28957.5
2026-06-10T03:51:00-04:00,3min,short,displacement,B,range,28945.2707,28966.25,28962.25,28966.25,28949.6479,2,"['bb', 'vwap']",True,28946.25,28966.25,28941.25
2026-06-10T03:52:00-04:00,2min,long,rejection_block,B2,range,28954.15,28935.0,28935.0,28949.75,28949.6555,2,"['bb', 'vwap']",True,28950.625,28935.0,28956.0
2026-06-10T03:56:00-04:00,2min,long,displacement,B,range,28954.025,28938.25,28938.25,28946.0,28950.2871,2,"['bb', 'vwap']",True,28950.25,28936.75,28963.75
2026-06-10T03:57:00-04:00,3min,long,rejection_block,B2,range,28954.025,28938.25,28938.25,28946.0,28950.1335,2,"['bb', 'vwap']",True,28950.625,28935.0,28958.75
2026-06-10T04:00:00-04:00,5min,long,rejection_block,B2,range,28954.0375,28946.25,28946.25,28948.5,28950.1894,2,"['bb', 'vwap']",False,28954.75,28936.5,28964.25
2026-06-10T04:01:00-04:00,1min,short,displacement,B,range,28944.4851,28965.0,28964.25,28965.0,28949.7659,2,"['bb', 'vwap']",True,28950.125,28970.5,28931.25
2026-06-10T04:02:00-04:00,2min,short,displacement,B,range,28944.2305,28965.0,28964.25,28965.0,28948.806,2,"['bb', 'vwap']",True,28946.25,28970.5,28923.25
2026-06-10T04:03:00-04:00,3min,short,displacement,B,range,28943.5686,28965.0,28964.25,28965.0,28947.6479,2,"['bb', 'vwap']",True,28930.375,28973.0,28891.25
2026-06-10T04:12:00-04:00,3min,short,rejection_block,B2,range,28931.8,28939.0,28930.75,28939.0,28936.2617,2,"['bb', 'vwap']",False,28915.25,28939.0,28930.75
2026-06-10T04:35:00-04:00,5min,short,rejection_block,B2,range,28858.2802,28871.0,28861.0,28871.0,28863.0838,2,"['bb', 'vwap']",True,28869.625,28894.0,28848.5
2026-06-10T04:37:00-04:00,1min,long,rejection_block,B2,range,28866.3375,28860.0,28860.0,28861.0,28861.8225,2,"['bb', 'vwap']",False,28866.625,28845.25,28875.0
2026-06-10T04:38:00-04:00,2min,long,rejection_block,B2,range,28866.3,28860.0,28860.0,28861.0,28861.6107,2,"['bb', 'vwap']",False,28866.5,28845.0,28875.5
2026-06-10T04:39:00-04:00,3min,long,rejection_block,B2,range,28865.65,28860.0,28860.0,28861.0,28861.0665,2,"['bb', 'vwap']",False,28866.5,28845.0,28867.5
2026-06-10T04:45:00-04:00,5min,short,displacement,B,range,28845.4287,28857.0,28857.0,28857.0,28848.3269,2,"['bb', 'vwap']",True,28828.125,28888.0,28776.25
2026-06-10T04:54:00-04:00,3min,short,rejection_block,B2,range,28815.1,28819.75,28796.0,28819.75,28817.7777,2,"['bb', 'vwap']",False,28781.0,28819.75,28796.0
2026-06-10T04:55:00-04:00,5min,short,rejection_block,B2,range,28811.3125,28819.75,28776.25,28819.75,28815.0962,2,"['bb', 'vwap']",True,28781.0,28819.75,28772.75
2026-06-12T03:36:00-04:00,3min,long,displacement,A,counter_trend,29333.7,29292.5,29292.5,29292.5,29332.9395,2,"['bb', 'vwap']",True,29312.375,29283.75,29338.0
2026-06-12T03:37:00-04:00,1min,long,rejection_block,B2,counter_trend,29333.7,29329.75,29329.75,29337.75,29332.3579,2,"['bb', 'vwap']",True,,,29343.0
2026-06-12T03:38:00-04:00,2min,short,displacement,B,with_trend,29329.4122,29345.0,29337.75,29345.0,29331.5561,2,"['bb', 'vwap']",True,29325.0,29345.0,29322.0
2026-06-12T03:39:00-04:00,1min,short,rejection_block,B2,with_trend,29328.4343,29334.75,29323.75,29334.75,29329.2921,2,"['bb', 'vwap']",True,29333.125,29345.0,29323.75
2026-06-12T03:40:00-04:00,5min,long,displacement,A,counter_trend,29330.15,29311.25,29311.25,29311.25,29328.5526,2,"['bb', 'vwap']",True,29321.875,29283.75,29348.75
2026-06-12T03:42:00-04:00,3min,long,rejection_block,B2,counter_trend,29328.7875,29325.0,29325.0,29327.0,29327.2643,2,"['bb', 'vwap']",True,29343.0,29319.5,29362.75
2026-06-12T04:34:00-04:00,2min,long,displacement,B,counter_trend,29530.125,29517.75,29517.75,29518.25,29526.275,2,"['bb', 'poc']",False,29526.5,29516.25,29534.25
2026-06-12T04:35:00-04:00,5min,short,displacement,B,with_trend,29524.2875,29536.75,29531.25,29536.75,29527.2062,2,"['bb', 'poc']",False,29538.625,29575.0,29502.25
2026-06-12T04:36:00-04:00,3min,short,displacement,B,with_trend,29491.1625,29535.75,29526.25,29535.75,29491.6246,2,"['bb', 'vwap']",True,29506.375,29542.75,29481.0
2026-06-12T04:37:00-04:00,1min,long,displacement,B,counter_trend,29492.0803,29482.0,29482.0,29483.25,29491.6214,2,"['bb', 'vwap']",True,29486.125,29470.0,29492.25
2026-06-12T04:38:00-04:00,2min,long,displacement,B,counter_trend,29495.2625,29478.75,29478.75,29483.25,29493.6714,2,"['bb', 'vwap']",True,29502.125,29470.0,29498.25
