dir_tv,entry_ts,entry_px,exit_ts,exit_px_tv,signal,qty,pnl,comm,mfe,mae,bars,cal,reason_tv,dow,dir_us,or_hi,or_lo,or_width,entry_min,entry,stop,risk_pts,capped,atr,exit_min,exit_px_us,reason_us,mfe_r,mae_r,bars_held,pnl_pts,pnl_usd,r,_merge
1,2026-03-24 10:15:00,4395.6,2026-03-24 10:45:00,4425.6,XL,1,2997,3,2998.5,-691.5,2,2026-03-24 00:00:00-04:00,target,,,,,,,,,,,,,,,,,,,,,left_only
-1,2026-03-25 10:00:00,4543.2,2026-03-25 10:45:00,4573.3,XS,1,-3013,3,1198.5,-3011.5,3,2026-03-25 00:00:00-04:00,stop,2.0,-1.0,4575.8,4555.3,20.5,600.0,4543.2,4573.2,30.0,True,178.7214285714286,645.0,4573.2,stop,0.4,-1.146666666666685,4.0,-30.1,-3013.0,-1.0043333333333333,both
1,2026-03-26 10:45:00,4457.0,2026-03-26 12:00:00,4426.9,XL,1,-3013,3,908.5,-3011.5,5,2026-03-26 00:00:00-04:00,stop,,,,,,,,,,,,,,,,,,,,,left_only
1,2026-03-27 10:15:00,4456.3,2026-03-27 10:45:00,4486.3,XL,1,2997,3,2998.5,-841.5,2,2026-03-27 00:00:00-04:00,target,4.0,1.0,4459.8,4441.0,18.800000000000182,615.0,4489.0,4459.0,30.0,True,182.96428571428564,645.0,4519.0,target,1.8833333333333333,-0.27999999999998787,3.0,29.9,2987.0,0.9956666666666667,both
1,2026-03-31 10:00:00,4637.3,2026-03-31 11:45:00,4651.5,scratch,1,1417,3,2468.5,-1201.5,7,2026-03-31 00:00:00-04:00,time_stop,1.0,1.0,4619.7,4598.3,21.399999999999636,600.0,4637.3,4607.3,30.0,True,186.82142857142858,690.0,4651.5,time_stop,0.8233333333333273,-0.4,7.0,14.099999999999818,1406.9999999999818,0.4689999999999939,both
1,2026-04-01 10:45:00,4782.3,2026-04-01 11:30:00,4806.6,XL,1,2427,3,2428.5,-171.5,3,2026-04-01 00:00:00-04:00,target,2.0,1.0,4776.8,4758.0,18.800000000000182,645.0,4782.3,4758.0,24.300000000000182,False,195.9428571428572,690.0,4806.6,target,1.341563786008198,-0.06995884773661751,4.0,24.20000000000018,2417.000000000018,0.9946502057613169,both
1,2026-04-02 10:30:00,4691.6,2026-04-02 10:45:00,4699.0,XL,1,737,3,3478.5,-541.5,1,2026-04-02 00:00:00-04:00,target,,,,,,,,,,,,,,,,,,,,,left_only
-1,2026-04-07 10:15:00,4646.4,2026-04-07 10:30:00,4676.5,XS,1,-3013,3,1228.5,-3011.5,1,2026-04-07 00:00:00-04:00,stop,1.0,-1.0,4688.8,4660.0,28.800000000000182,615.0,4646.4,4676.4,30.0,True,178.50000000000014,630.0,4676.4,stop,0.4099999999999758,-1.3666666666666667,2.0,-30.1,-3013.0,-1.0043333333333333,both
-1,2026-04-08 10:30:00,4794.8,2026-04-08 10:45:00,4767.4,XS,1,2737,3,2738.5,-251.5,1,2026-04-08 00:00:00-04:00,target,2.0,-1.0,4822.2,4800.6,21.599999999999454,630.0,4794.799999999999,4822.2,27.400000000000546,False,178.37142857142868,645.0,4767.399999999999,target,1.3576642335765754,-0.09124087591244014,2.0,27.300000000000544,2727.0000000000546,0.9952554744525548,both
1,2026-04-09 11:30:00,4804.0,2026-04-09 13:15:00,4817.2,scratch,1,1317,3,2148.5,-71.5,7,2026-04-09 00:00:00-04:00,time_stop,3.0,1.0,4802.8,4775.4,27.400000000000546,690.0,4804.0,4775.4,28.600000000000364,False,173.97857142857148,780.0,4817.7,time_stop,0.7517482517482422,-0.024475524475517804,7.0,13.599999999999818,1356.9999999999818,0.47447552447551206,both
1,2026-04-10 10:15:00,4805.4,2026-04-10 11:30:00,4788.8,XL,1,-1663,3,1458.5,-1661.5,5,2026-04-10 00:00:00-04:00,stop,4.0,1.0,4803.0,4788.9,14.100000000000364,615.0,4805.400000000001,4788.9,16.50000000000091,False,151.28571428571436,690.0,4788.9,stop,0.884848484848403,-1.5818181818181167,6.0,-16.60000000000091,-1663.0000000000912,-1.0078787878787876,both
1,2026-04-14 10:30:00,4833.1,2026-04-14 12:15:00,4832.9,scratch,1,-23,3,888.5,-1871.5,7,2026-04-14 00:00:00-04:00,time_stop,1.0,1.0,4828.9,4802.9,26.0,630.0,4833.1,4803.1,30.0,True,132.49285714285725,720.0,4832.9,time_stop,0.29666666666665453,-0.6233333333333576,7.0,-0.3000000000007276,-33.00000000007276,-0.011000000000024253,both
1,2026-04-15 10:00:00,4851.8,2026-04-15 10:30:00,4838.2,XL,1,-1363,3,278.5,-1361.5,2,2026-04-15 00:00:00-04:00,stop,2.0,1.0,4848.4,4838.3,10.099999999999454,600.0,4851.8,4838.3,13.5,False,130.2428571428572,630.0,4838.3,stop,0.2074074074074209,-1.0148148148148013,3.0,-13.6,-1363.0,-1.0096296296296297,both
-1,2026-04-16 10:00:00,4815.7,2026-04-16 11:45:00,4824.3,scratch,1,-863,3,2358.5,-1901.5,7,2026-04-16 00:00:00-04:00,time_stop,3.0,-1.0,4846.2,4834.4,11.800000000000182,600.0,4815.7,4845.7,30.0,True,126.56428571428576,690.0,4824.5,time_stop,0.7866666666666485,-0.6333333333333333,7.0,-8.900000000000182,-893.0000000000182,-0.29766666666667274,both
-1,2026-04-21 10:45:00,4762.6,2026-04-21 12:45:00,4732.6,XS,1,2997,3,2998.5,-1401.5,8,2026-04-21 00:00:00-04:00,target,1.0,-1.0,4812.1,4788.8,23.300000000000182,645.0,4762.599999999999,4792.599999999999,30.0,True,106.53571428571435,765.0,4732.599999999999,target,1.2066666666666606,-0.466666666666697,9.0,29.9,2987.0,0.9956666666666667,both
-1,2026-04-22 10:45:00,4750.9,2026-04-22 12:30:00,4745.6,scratch,1,527,3,878.5,-751.5,7,2026-04-22 00:00:00-04:00,time_stop,2.0,-1.0,4775.0,4760.0,15.0,645.0,4750.9,4775.0,24.100000000000364,False,110.51428571428576,735.0,4745.5,time_stop,0.3651452282157319,-0.31120331950207,7.0,5.299999999999637,526.9999999999636,0.21867219917010608,both
1,2026-04-24 10:00:00,4728.1,2026-04-24 11:30:00,4733.6,XL,1,547,3,2898.5,-491.5,6,2026-04-24 00:00:00-04:00,target,4.0,1.0,4726.1,4705.4,20.700000000000728,600.0,4728.1,4705.4,22.700000000000728,False,97.24285714285712,600.0,4750.800000000001,target,1.2775330396475362,-0.21585903083702151,1.0,22.600000000000726,2257.0000000000728,0.9942731277533041,both
-1,2026-04-28 10:15:00,4581.3,2026-04-28 12:00:00,4600.1,scratch,1,-1883,3,1128.5,-1891.5,7,2026-04-28 00:00:00-04:00,time_stop,1.0,-1.0,4604.8,4583.7,21.100000000000364,615.0,4581.299999999999,4604.8,23.50000000000091,False,89.33571428571433,705.0,4600.1,time_stop,0.48085106382973763,-0.8042553191489282,7.0,-18.900000000001093,-1893.0000000001094,-0.8055319148936324,both
1,2026-05-01 10:00:00,4637.0,2026-05-01 10:15:00,4668.0,XL,1,3097,3,3598.5,-121.5,1,2026-05-01 00:00:00-04:00,target,4.0,1.0,4620.3,4597.3,23.0,600.0,4637.0,4607.0,30.0,True,87.60714285714299,600.0,4667.0,target,1.2,-0.039999999999993936,1.0,29.9,2987.0,0.9956666666666667,both
1,2026-05-05 10:30:00,4595.1,2026-05-05 11:45:00,4582.0,XL,1,-1313,3,168.5,-1311.5,5,2026-05-05 00:00:00-04:00,stop,1.0,1.0,4592.2,4582.1,10.099999999999454,630.0,4595.1,4582.1,13.0,False,89.25714285714295,705.0,4582.1,stop,0.1307692307692168,-1.2153846153846293,6.0,-13.1,-1313.0,-1.01,both
1,2026-05-06 10:00:00,4713.5,2026-05-06 11:45:00,4704.0,scratch,1,-953,3,1518.5,-1291.5,7,2026-05-06 00:00:00-04:00,time_stop,2.0,1.0,4710.3,4691.2,19.100000000000364,600.0,4713.5,4691.2,22.300000000000182,False,91.22857142857154,690.0,4704.4,time_stop,0.6816143497757711,-0.578475336322849,7.0,-9.200000000000363,-923.0000000000364,-0.41390134529149275,both
1,2026-05-07 11:00:00,4773.5,2026-05-07 11:15:00,4752.8,XL,1,-2073,3,168.5,-2071.5,1,2026-05-07 00:00:00-04:00,stop,3.0,1.0,4768.5,4752.9,15.600000000000364,660.0,4773.5,4752.9,20.600000000000364,False,92.90714285714297,675.0,4752.9,stop,0.0825242718446499,-1.3689320388349184,2.0,-20.700000000000365,-2073.0000000000364,-1.0063106796116503,both
-1,2026-05-12 10:00:00,4686.4,2026-05-12 11:15:00,4663.3,XS,1,2307,3,2308.5,-1661.5,5,2026-05-12 00:00:00-04:00,target,1.0,-1.0,4709.5,4691.0,18.5,600.0,4686.4,4709.5,23.100000000000364,False,89.54285714285717,675.0,4663.299999999999,target,1.7835497835497476,-0.718614718614723,6.0,23.000000000000362,2297.0000000000364,0.9943722943722945,both
1,2026-05-13 11:45:00,4707.3,2026-05-13 13:30:00,4706.4,scratch,1,-93,3,1058.5,-491.5,7,2026-05-13 00:00:00-04:00,time_stop,,,,,,,,,,,,,,,,,,,,,left_only
-1,2026-05-20 10:15:00,4479.3,2026-05-20 10:30:00,4510.0,XS,1,-3073,3,38.5,-3481.5,1,2026-05-20 00:00:00-04:00,stop,2.0,-1.0,4495.8,4485.5,10.300000000000182,615.0,4479.299999999999,4495.8,16.50000000000091,False,90.45714285714277,615.0,4495.8,stop,0.02424242424240086,-2.109090909090859,1.0,-16.60000000000091,-1663.0000000000912,-1.0078787878787876,both
-1,2026-05-22 10:15:00,4497.7,2026-05-22 12:00:00,4521.4,scratch,1,-2373,3,878.5,-2551.5,7,2026-05-22 00:00:00-04:00,time_stop,4.0,-1.0,4528.1,4511.2,16.900000000000546,615.0,4497.7,4527.7,30.0,True,86.54999999999986,705.0,4521.0,time_stop,0.2933333333333394,-0.85,7.0,-23.400000000000183,-2343.000000000018,-0.781000000000006,both
-1,2026-05-26 10:00:00,4515.0,2026-05-26 11:45:00,4508.6,scratch,1,637,3,1248.5,-1061.5,7,2026-05-26 00:00:00-04:00,time_stop,1.0,-1.0,4532.3,4521.5,10.800000000000182,600.0,4515.0,4532.3,17.300000000000182,False,82.06428571428562,690.0,4508.7,time_stop,0.7225433526011484,-0.6127167630057949,7.0,6.200000000000182,617.0000000000182,0.3566473988439374,both
1,2026-05-28 10:15:00,4495.2,2026-05-28 12:15:00,4525.2,XL,1,2997,3,2998.5,-1351.5,8,2026-05-28 00:00:00-04:00,target,3.0,1.0,4460.9,4448.0,12.899999999999636,615.0,4495.200000000001,4465.200000000001,30.0,True,85.00714285714282,735.0,4525.200000000001,target,1.2899999999999636,-0.4500000000000303,9.0,29.9,2987.0,0.9956666666666667,both
1,2026-05-29 10:00:00,4567.1,2026-05-29 10:15:00,4570.5,XL,1,337,3,1688.5,-191.5,1,2026-05-29 00:00:00-04:00,target,4.0,1.0,4566.1,4553.0,13.100000000000364,600.0,4567.1,4553.0,14.100000000000364,False,89.3785714285713,600.0,4581.200000000001,target,1.1985815602836312,-0.1347517730496806,1.0,14.000000000000364,1397.0000000000364,0.9907801418439719,both
-1,2026-06-02 10:00:00,4531.9,2026-06-02 10:15:00,4519.9,XS,1,1197,3,1198.5,-491.5,1,2026-06-02 00:00:00-04:00,target,1.0,-1.0,4543.9,4535.6,8.299999999999272,600.0,4531.9,4543.9,12.0,False,84.97857142857129,615.0,4519.9,target,1.0416666666666667,-0.4083333333333788,2.0,11.9,1187.0,0.9891666666666666,both
-1,2026-06-04 10:45:00,4502.5,2026-06-04 12:30:00,4511.6,scratch,1,-913,3,1868.5,-1071.5,7,2026-06-04 00:00:00-04:00,time_stop,,,,,,,,,,,,,,,,,,,,,left_only
-1,2026-06-05 10:00:00,4390.3,2026-06-05 11:45:00,4360.3,XS,1,2997,3,2998.5,-1391.5,7,2026-06-05 00:00:00-04:00,target,4.0,-1.0,4435.5,4411.2,24.300000000000182,600.0,4390.299999999999,4420.299999999999,30.0,True,83.94285714285706,705.0,4360.299999999999,target,1.0499999999999696,-0.4633333333333515,8.0,29.9,2987.0,0.9956666666666667,both
-1,2026-06-09 10:15:00,4344.7,2026-06-09 10:30:00,4342.5,XS,1,217,3,1638.5,-331.5,1,2026-06-09 00:00:00-04:00,target,1.0,-1.0,4359.0,4349.1,9.899999999999636,615.0,4344.7,4359.0,14.300000000000182,False,88.39285714285708,615.0,4330.4,target,1.146853146853107,-0.23076923076924055,1.0,14.200000000000182,1417.0000000000182,0.9909090909090911,both
-1,2026-06-10 11:00:00,4147.6,2026-06-10 12:45:00,4144.9,scratch,1,267,3,1798.5,-1211.5,7,2026-06-10 00:00:00-04:00,time_stop,2.0,-1.0,4203.1,4164.8,38.30000000000018,660.0,4147.599999999999,4177.599999999999,30.0,True,97.03571428571422,750.0,4145.2,time_stop,0.5999999999999697,-0.4033333333333455,7.0,2.299999999999636,226.99999999996362,0.07566666666665454,both
1,2026-06-11 10:00:00,4104.1,2026-06-11 10:15:00,4081.6,XL,1,-2253,3,248.5,-3131.5,1,2026-06-11 00:00:00-04:00,stop,3.0,1.0,4103.7,4088.0,15.699999999999818,600.0,4104.1,4088.0,16.100000000000364,False,107.3285714285714,600.0,4088.0,stop,0.15527950310558655,-1.944099378881955,1.0,-16.200000000000365,-1623.0000000000366,-1.0080745341614907,both
1,2026-06-12 11:15:00,4235.1,2026-06-12 13:00:00,4236.4,scratch,1,127,3,2168.5,-771.5,7,2026-06-12 00:00:00-04:00,time_stop,4.0,1.0,4231.2,4203.0,28.199999999999818,675.0,4235.1,4205.1,30.0,True,116.71428571428565,765.0,4236.5,time_stop,0.7233333333333273,-0.2566666666666909,7.0,1.2999999999996361,126.99999999996362,0.042333333333321205,both
-1,2026-06-16 10:00:00,4352.4,2026-06-16 10:15:00,4342.9,XS,1,947,3,948.5,-761.5,1,2026-06-16 00:00:00-04:00,target,1.0,-1.0,4361.9,4354.5,7.399999999999636,600.0,4352.4,4361.9,9.5,False,105.97857142857141,615.0,4342.9,target,1.494736842105244,-0.8000000000000383,2.0,9.4,937.0,0.9863157894736843,both
1,2026-06-17 10:15:00,4362.6,2026-06-17 10:30:00,4380.0,XL,1,1737,3,1978.5,-171.5,1,2026-06-17 00:00:00-04:00,target,2.0,1.0,4361.9,4352.3,9.599999999999454,615.0,4362.6,4352.3,10.300000000000182,False,106.39285714285714,615.0,4372.900000000001,target,1.922330097087274,-0.16504854368938812,1.0,10.200000000000182,1017.0000000000182,0.9873786407766992,both
-1,2026-06-18 10:00:00,4275.2,2026-06-18 11:15:00,4254.2,XS,1,2097,3,2098.5,-211.5,5,2026-06-18 00:00:00-04:00,target,3.0,-1.0,4296.2,4281.9,14.300000000000182,600.0,4275.2,4296.2,21.0,False,112.59285714285723,675.0,4254.2,target,1.0476190476190477,-0.10000000000001733,6.0,20.9,2087.0,0.9938095238095238,both
-1,2026-06-19 10:00:00,4169.0,2026-06-19 11:45:00,4166.1,scratch,1,287,3,878.5,-331.5,7,2026-06-19 00:00:00-04:00,time_stop,4.0,-1.0,4185.8,4175.6,10.199999999999818,600.0,4169.0,4185.8,16.800000000000182,False,119.85714285714292,690.0,4165.5,time_stop,0.5238095238095289,-0.19642857142858014,7.0,3.4,337.0,0.2005952380952359,both
