ts,tf,direction,kind,pattern,htf_flag,entry_ref,stop_ref,wick_low,wick_high,cluster_center,confluence_count,cluster_types,vwap_touched,ob_mid,ob_stop,close
2026-06-18T10:42:00-04:00,3min,long,rejection_block,B2,with_trend,30560.975,30557.0,30557.0,30564.5,30558.7313,2,"['bb', 'vwap']",True,30536.875,30463.5,30564.5
2026-06-18T10:44:00-04:00,2min,long,rejection_block,B2,with_trend,30563.4625,30551.5,30551.5,30564.25,30558.2452,2,"['bb', 'vwap']",True,30580.875,30551.5,30569.5
2026-06-18T10:45:00-04:00,5min,long,rejection_block,B2,with_trend,30563.4625,30551.5,30551.5,30573.25,30557.5244,2,"['bb', 'vwap']",True,30565.5,30503.5,30573.25
2026-06-18T10:46:00-04:00,2min,long,rejection_block,B2,with_trend,30573.6543,30568.5,30568.5,30570.75,30570.4021,2,"['bb', 'vwap']",True,30583.625,30557.0,30592.5
2026-06-18T10:48:00-04:00,3min,long,rejection_block,B2,with_trend,30576.9071,30571.25,30571.25,30573.25,30573.5223,2,"['bb', 'vwap']",True,30599.25,30557.0,30629.5
2026-06-18T10:50:00-04:00,5min,long,displacement,B,with_trend,30581.3597,30571.25,30571.25,30573.25,30577.7986,2,"['bb', 'vwap']",True,30606.125,30551.5,30645.75
2026-06-19T07:54:00-04:00,3min,short,displacement,B,with_trend,30578.2125,30595.75,30589.5,30595.75,30577.2825,2,"['bb', 'vwap']",True,,,30577.75
2026-06-19T07:56:00-04:00,2min,short,rejection_block,B2,with_trend,30573.725,30578.75,30577.25,30578.75,30576.841,2,"['bb', 'vwap']",False,30581.125,30595.75,30572.75
2026-06-19T07:58:00-04:00,2min,long,rejection_block,A,counter_trend,30580.8652,30566.75,30566.75,30574.0,30577.0225,2,"['bb', 'vwap']",True,30575.0,30566.5,30582.0
2026-06-19T08:00:00-04:00,5min,long,displacement,B,counter_trend,30580.8753,30566.5,30566.5,30575.75,30577.2626,2,"['bb', 'vwap']",True,30581.125,30566.5,30591.75
2026-06-19T08:04:00-04:00,2min,long,rejection_block,A,counter_trend,30581.8125,30581.75,30581.75,30584.5,30577.9408,2,"['bb', 'vwap']",False,,,30584.5
2026-06-19T08:05:00-04:00,5min,long,rejection_block,A,counter_trend,30581.8125,30581.75,30581.75,30590.0,30578.0355,2,"['bb', 'vwap']",False,30584.75,30573.75,30590.0
2026-06-19T08:08:00-04:00,2min,short,displacement,B,with_trend,30573.275,30583.0,30581.75,30583.0,30577.0456,2,"['bb', 'vwap']",True,30582.125,30594.5,30571.75
2026-06-19T08:10:00-04:00,5min,long,rejection_block,A,counter_trend,30583.0625,30569.75,30569.75,30583.5,30578.9489,2,"['bb', 'vwap']",True,30582.125,30569.75,30583.5
2026-06-19T08:13:00-04:00,1min,long,rejection_block,A,counter_trend,30581.9,30575.5,30575.5,30581.0,30578.8929,2,"['bb', 'vwap']",True,30581.25,30575.5,30582.75
2026-06-19T08:14:00-04:00,2min,long,rejection_block,A,counter_trend,30582.2375,30575.5,30575.5,30581.0,30578.9775,2,"['bb', 'vwap']",True,30581.25,30575.5,30584.5
2026-06-19T08:15:00-04:00,5min,short,displacement,B,with_trend,30573.8625,30587.0,30585.5,30587.0,30579.1487,2,"['bb', 'vwap']",True,30579.125,30591.75,30572.25
2026-06-19T08:16:00-04:00,2min,short,displacement,B,with_trend,30573.8625,30581.25,30581.25,30581.25,30579.0839,2,"['bb', 'vwap']",True,30576.5,30585.25,30567.75
2026-06-19T08:18:00-04:00,3min,short,rejection_block,B2,with_trend,30573.8625,30576.25,30572.75,30576.25,30578.8235,2,"['bb', 'vwap']",False,30575.875,30587.0,30566.0
