card_id,tv_replay_datetime,window,direction,shape,trigger_price,second_legs,call(take/skip),why
C164,2025-11-11 04:54 ET,LONDON,DOWN,sequential,25602.75,vwap_m2,,
C165,2026-02-19 10:30 ET,NY_AM,DOWN,same_candle,24858.5,"daily_poc,bb_ma_15m,vwap",,
C166,2026-05-22 03:21 ET,LONDON,UP,same_candle,29569.75,bb_ma_15m,,
C167,2025-12-01 09:33 ET,NY_AM,UP,same_candle,25264.25,"daily_poc,daily_val,bb_ma_15m",,
C168,2025-12-08 09:42 ET,NY_AM,DOWN,same_candle,25792.5,"vwap,vwap_p1,daily_poc,bb_ma_15m,daily_vah",,
C169,2025-09-19 10:28 ET,NY_AM,UP,same_candle,24793.5,vwap_p1,,
C170,2026-06-10 10:34 ET,NY_AM,UP,same_candle,29191.75,"daily_vah,vwap_p1",,
C171,2026-07-14 09:56 ET,NY_AM,DOWN,same_candle,29741.5,"daily_poc,vwap_p1",,
C172,2026-03-09 04:51 ET,LONDON,UP,same_candle,24301.5,"daily_poc,vwap_p1",,
C173,2025-10-06 10:52 ET,NY_AM,DOWN,same_candle,25142.5,vwap,,
C174,2025-12-03 04:10 ET,LONDON,DOWN,sequential,25625.0,daily_val,,
C175,2025-12-15 10:56 ET,NY_AM,UP,same_candle,25402.0,"vwap_m1,daily_val",,
C176,2026-04-06 03:36 ET,LONDON,UP,sequential,24258.5,vwap_p1,,
C177,2025-12-02 09:36 ET,NY_AM,UP,same_candle,25541.5,"vwap_p1,daily_vah",,
C178,2026-02-02 04:24 ET,LONDON,UP,sequential,25446.75,"daily_poc,daily_vah",,
C179,2026-03-24 09:30 ET,NY_AM,UP,sequential,24254.5,"daily_poc,daily_val",,
C180,2026-03-17 10:40 ET,NY_AM,DOWN,same_candle,25049.5,"vwap_p1,daily_poc",,
C181,2026-01-05 09:36 ET,NY_AM,DOWN,same_candle,25573.25,"daily_vah,vwap_p1",,
C182,2025-09-04 04:08 ET,LONDON,UP,same_candle,23486.25,"vwap,bb_ma_15m",,
C183,2025-10-08 04:56 ET,LONDON,DOWN,same_candle,25089.0,daily_vah,,
C184,2025-10-03 04:54 ET,LONDON,UP,same_candle,25179.5,"daily_poc,bb_ma_15m",,
