day,ft,cvd_5,cvd_15,cvd_30,cvd_norm_15,delta_div_15,fp_imb_15,absorp_15,stack_bid,stack_ask,vol_15,vol_30,abs_cvd_15,two_sided_share_30
2025-09-26,2025-09-26 12:13:00+00:00,38.0,65.0,155.0,0.03331624807790876,1.0,0.01665812403895439,104.05333333333333,4,0,1951.0,4303.0,65.0,1.0
2025-09-29,2025-09-29 12:11:00+00:00,173.0,39.0,151.0,0.01929737753587333,0.0,0.009648688767936675,112.27777777777777,3,0,2021.0,4635.0,39.0,1.0
2025-09-30,2025-09-30 12:19:00+00:00,22.0,8.0,27.0,0.006700167504187605,0.0,0.00335008375209378,95.52,0,4,1194.0,2949.0,8.0,1.0
2025-10-03,2025-10-03 12:42:00+00:00,-78.0,-314.0,-510.0,-0.10724043715846994,0.0,-0.05362021857923499,111.54285714285714,3,3,2928.0,4460.0,314.0,1.0
2025-10-06,2025-10-06 13:07:00+00:00,84.0,57.0,-66.0,0.014649190439475714,0.0,0.007324595219737828,183.10588235294117,0,3,3891.0,6652.0,57.0,1.0
2025-10-06,2025-10-06 13:07:00+00:00,84.0,57.0,-66.0,0.014649190439475714,0.0,0.007324595219737828,183.10588235294117,0,3,3891.0,6652.0,57.0,1.0
2025-10-07,2025-10-07 12:23:00+00:00,80.0,47.0,354.0,0.02256361017762842,0.0,0.011281805088814156,108.20779220779221,3,0,2083.0,4712.0,47.0,1.0
2025-10-08,2025-10-08 12:04:00+00:00,-79.0,-65.0,379.0,-0.06545820745216516,0.0,-0.032729103726082565,79.44,3,3,993.0,3823.0,65.0,1.0
2025-10-08,2025-10-08 12:30:00+00:00,55.0,71.0,-269.0,0.025921869295363272,0.0,0.012960934647681666,109.56,3,3,2739.0,4739.0,71.0,1.0
2025-10-09,2025-10-09 12:11:00+00:00,2.0,-61.0,-96.0,-0.03791174642635177,0.0,-0.018955873213175878,105.50819672131148,0,4,1609.0,2626.0,61.0,1.0
2025-10-10,2025-10-10 12:39:00+00:00,-166.0,-246.0,-259.0,-0.1341330425299891,0.0,-0.06706652126499457,100.4931506849315,0,0,1834.0,3217.0,246.0,1.0
2025-10-13,2025-10-13 12:06:00+00:00,-35.0,-198.0,-188.0,-0.03844660194174757,0.0,-0.01922330097087377,115.08379888268156,5,5,5150.0,9460.0,198.0,1.0
2025-10-16,2025-10-16 12:27:00+00:00,-13.0,-15.0,-247.0,-0.005468465184104995,0.0,-0.0027342325920525212,144.3684210526316,0,6,2743.0,5491.0,15.0,1.0
2025-10-16,2025-10-16 12:31:00+00:00,117.0,81.0,-89.0,0.02817391304347826,0.0,0.01408695652173908,47.916666666666664,12,11,2875.0,6231.0,81.0,1.0
2025-10-17,2025-10-17 12:34:00+00:00,-198.0,-43.0,128.0,-0.006296675940840533,0.0,-0.003148337970420245,118.76521739130435,4,3,6829.0,15824.0,43.0,1.0
2025-10-20,2025-10-20 12:11:00+00:00,59.0,33.0,46.0,0.026294820717131476,0.0,0.013147410358565703,89.64285714285714,3,0,1255.0,2506.0,33.0,1.0
2025-10-21,2025-10-21 12:01:00+00:00,63.0,32.0,-23.0,0.024242424242424242,0.0,0.012121212121212088,82.5,10,0,1320.0,3523.0,32.0,1.0
2025-10-22,2025-10-22 12:04:00+00:00,63.0,131.0,-15.0,0.036911806142575374,0.0,0.018455903071287638,77.57377049180327,4,6,3549.0,6175.0,131.0,1.0
2025-10-23,2025-10-23 12:01:00+00:00,-67.0,-223.0,-332.0,-0.07794477455435163,0.0,-0.038972387277175835,96.16806722689076,0,3,2861.0,5338.0,223.0,1.0
2025-10-23,2025-10-23 12:20:00+00:00,-78.0,-84.0,-353.0,-0.02663284717818643,0.0,-0.01331642358909324,97.7984496124031,3,14,3154.0,6043.0,84.0,1.0
2025-10-27,2025-10-27 12:03:00+00:00,85.0,130.0,-88.0,0.07471264367816093,0.0,0.03735632183908044,95.34246575342466,8,4,1740.0,3576.0,130.0,1.0
2025-10-28,2025-10-28 12:12:00+00:00,120.0,152.0,153.0,0.10497237569060773,0.0,0.0524861878453039,89.1076923076923,4,0,1448.0,2669.0,152.0,1.0
2025-10-29,2025-10-29 12:11:00+00:00,16.0,-15.0,-103.0,-0.008488964346349746,1.0,-0.004244482173174857,138.58823529411765,0,0,1767.0,2809.0,15.0,1.0
2025-10-30,2025-10-30 12:06:00+00:00,28.0,-35.0,5.0,-0.017994858611825194,1.0,-0.008997429305912574,84.56521739130434,3,3,1945.0,3233.0,35.0,1.0
2025-10-30,2025-10-30 12:11:00+00:00,-192.0,-175.0,-197.0,-0.0755939524838013,0.0,-0.03779697624190065,75.28455284552845,0,3,2315.0,3719.0,175.0,1.0
2025-10-30,2025-10-30 13:02:00+00:00,-218.0,-738.0,-1145.0,-0.08943286476005817,0.0,-0.04471643238002909,157.1809523809524,4,0,8252.0,17315.0,738.0,1.0
2025-10-31,2025-10-31 12:01:00+00:00,-33.0,304.0,330.0,0.11755607115235886,0.0,0.058778035576179444,89.94782608695652,10,0,2586.0,3674.0,304.0,1.0
2025-11-03,2025-11-03 13:01:00+00:00,-127.0,-60.0,-218.0,-0.04267425320056899,1.0,-0.021337126600284473,50.666666666666664,3,3,1406.0,3088.0,60.0,1.0
2025-11-03,2025-11-03 13:55:00+00:00,-62.0,-27.0,-44.0,-0.012233801540552787,1.0,-0.006116900770276379,108.98765432098766,0,0,2207.0,5358.0,27.0,1.0
2025-11-04,2025-11-04 13:36:00+00:00,91.0,50.0,111.0,0.009455370650529501,1.0,0.004727685325264797,92.36681222707423,0,0,5288.0,9119.0,50.0,1.0
2025-11-05,2025-11-05 13:03:00+00:00,59.0,148.0,261.0,0.07020872865275142,0.0,0.03510436432637576,67.456,7,0,2108.0,4327.0,148.0,1.0
2025-11-06,2025-11-06 13:22:00+00:00,71.0,172.0,202.0,0.09534368070953436,0.0,0.047671840354767125,75.9578947368421,3,3,1804.0,3182.0,172.0,1.0
2025-11-10,2025-11-10 14:06:00+00:00,-103.0,1.0,-368.0,0.0002718129926610492,0.0,0.00013590649633055119,129.08771929824562,3,3,3679.0,6460.0,1.0,1.0
2025-11-11,2025-11-11 13:21:00+00:00,-33.0,213.0,182.0,0.07312049433573635,0.0,0.03656024716786821,82.63829787234043,0,4,2913.0,4370.0,213.0,1.0
2025-11-12,2025-11-12 13:39:00+00:00,73.0,-60.0,-444.0,-0.029498525073746312,1.0,-0.014749262536873142,108.48,0,4,2034.0,3964.0,60.0,1.0
2025-11-13,2025-11-13 13:34:00+00:00,-221.0,-364.0,-298.0,-0.10502019619157531,0.0,-0.05251009809578766,57.053497942386834,3,9,3466.0,5314.0,364.0,1.0
2025-11-21,2025-11-21 13:01:00+00:00,-85.0,-657.0,113.0,-0.037957132127794786,1.0,-0.018978566063897417,198.3839541547278,5,3,17309.0,33093.0,657.0,1.0
2025-11-24,2025-11-24 13:06:00+00:00,-4.0,-113.0,-5.0,-0.03187588152327221,1.0,-0.015937940761636127,73.47150259067358,0,0,3545.0,5885.0,113.0,1.0
2025-11-24,2025-11-24 13:59:00+00:00,-310.0,-265.0,-354.0,-0.060626858842370165,0.0,-0.03031342942118509,95.02173913043478,0,4,4371.0,7498.0,265.0,1.0
2025-11-25,2025-11-25 13:04:00+00:00,132.0,263.0,341.0,0.0720350588879759,0.0,0.03601752944398795,87.97590361445783,9,8,3651.0,10379.0,263.0,1.0
2025-11-26,2025-11-26 13:06:00+00:00,303.0,281.0,718.0,0.1329862754377662,0.0,0.0664931377188831,93.91111111111111,21,4,2113.0,5340.0,281.0,1.0
2025-11-27,2025-11-27 13:23:00+00:00,26.0,-93.0,-103.0,-0.13043478260869565,0.0,-0.06521739130434784,62.0,3,3,713.0,1223.0,93.0,1.0
2025-12-01,2025-12-01 13:06:00+00:00,129.0,221.0,-108.0,0.06494269761974727,0.0,0.03247134880987368,108.03174603174604,0,8,3403.0,6264.0,221.0,1.0
2025-12-03,2025-12-03 13:05:00+00:00,28.0,62.0,220.0,0.04353932584269663,1.0,0.0217696629213483,123.82608695652173,0,3,1424.0,2514.0,62.0,1.0
2025-12-04,2025-12-04 13:01:00+00:00,19.0,-18.0,-60.0,-0.016605166051660517,0.0,-0.008302583025830257,58.5945945945946,0,0,1084.0,2558.0,18.0,1.0
2025-12-05,2025-12-05 13:21:00+00:00,-188.0,-169.0,-125.0,-0.11024135681669928,0.0,-0.055120678408349666,57.308411214953274,3,6,1533.0,2541.0,169.0,1.0
2025-12-09,2025-12-09 13:02:00+00:00,-123.0,19.0,35.0,0.013333333333333334,0.0,0.00666666666666671,52.77777777777778,0,11,1425.0,2549.0,19.0,1.0
2025-12-09,2025-12-09 13:17:00+00:00,-27.0,-17.0,2.0,-0.014370245139475908,0.0,-0.007185122569737967,56.333333333333336,3,3,1183.0,2608.0,17.0,1.0
2025-12-10,2025-12-10 13:04:00+00:00,81.0,161.0,97.0,0.17519042437431992,0.0,0.08759521218715993,41.30337078651685,6,0,919.0,2009.0,161.0,1.0
2025-12-10,2025-12-10 14:21:00+00:00,-251.0,-502.0,-916.0,-0.14285714285714285,0.0,-0.0714285714285714,135.15384615384616,0,3,3514.0,6948.0,502.0,1.0
2025-12-11,2025-12-11 13:32:00+00:00,-121.0,-178.0,-215.0,-0.08372530573847602,0.0,-0.041862652869238015,62.07299270072993,3,11,2126.0,4609.0,178.0,1.0
2025-12-12,2025-12-12 13:13:00+00:00,224.0,357.0,673.0,0.1403853716083366,0.0,0.07019268580416826,64.37974683544304,6,0,2543.0,6017.0,357.0,1.0
2025-12-17,2025-12-17 13:52:00+00:00,-763.0,-879.0,-1413.0,-0.14971895758814513,1.0,-0.07485947879407256,159.75510204081633,0,8,5871.0,11789.0,879.0,1.0
2025-12-19,2025-12-19 13:01:00+00:00,-126.0,-230.0,-186.0,-0.08653122648607976,0.0,-0.0432656132430399,55.375,4,5,2658.0,4334.0,230.0,1.0
2025-12-23,2025-12-23 13:04:00+00:00,-47.0,12.0,-60.0,0.011673151750972763,0.0,0.005836575875486361,60.470588235294116,0,0,1028.0,1634.0,12.0,1.0
2025-12-23,2025-12-23 13:05:00+00:00,-97.0,-10.0,-41.0,-0.009652509652509652,0.0,-0.004826254826254817,60.94117647058823,0,0,1036.0,1635.0,10.0,1.0
2025-12-23,2025-12-23 13:32:00+00:00,-44.0,-35.0,-75.0,-0.023411371237458192,0.0,-0.01170568561872909,83.05555555555556,3,3,1495.0,2593.0,35.0,1.0
2025-12-24,2025-12-24 13:04:00+00:00,-51.0,-25.0,-24.0,-0.03987240829346093,0.0,-0.019936204146730474,59.714285714285715,3,0,627.0,1112.0,25.0,1.0
2025-12-26,2025-12-26 14:00:00+00:00,-63.0,-224.0,-33.0,-0.11188811188811189,0.0,-0.05594405594405594,61.6,0,0,2002.0,4043.0,224.0,1.0
2025-12-29,2025-12-29 13:29:00+00:00,101.0,79.0,162.0,0.07059874888293119,0.0,0.03529937444146558,56.65822784810127,0,3,1119.0,2820.0,79.0,1.0
2025-12-30,2025-12-30 13:10:00+00:00,25.0,36.0,-20.0,0.047493403693931395,0.0,0.0237467018469657,56.148148148148145,4,0,758.0,1498.0,36.0,1.0
2025-12-31,2025-12-31 13:25:00+00:00,110.0,152.0,181.0,0.13013698630136986,0.0,0.06506849315068497,56.28915662650602,3,0,1168.0,2127.0,152.0,1.0
2025-12-31,2025-12-31 13:40:00+00:00,48.0,58.0,210.0,0.026703499079189688,0.0,0.013351749539594837,104.67469879518072,5,0,2172.0,3340.0,58.0,1.0
2026-02-02,2026-02-02 13:01:00+00:00,-73.0,-200.0,40.0,-0.07980845969672785,0.0,-0.03990422984836395,45.77168949771689,3,3,2506.0,4762.0,200.0,1.0
2026-02-05,2026-02-05 13:40:00+00:00,240.0,156.0,115.0,0.018673689250658366,0.0,0.009336844625329133,78.62588235294118,0,9,8354.0,13307.0,156.0,1.0
2026-02-09,2026-02-09 14:20:00+00:00,-280.0,-649.0,-804.0,-0.1207891308393821,0.0,-0.06039456541969107,119.4,4,3,5373.0,9014.0,649.0,1.0
2026-02-10,2026-02-10 13:18:00+00:00,106.0,122.0,-2.0,0.029814271749755622,1.0,0.014907135874877797,84.80829015544042,5,3,4092.0,7326.0,122.0,1.0
2026-02-12,2026-02-12 13:04:00+00:00,-24.0,7.0,51.0,0.004450095359186269,1.0,0.002225047679593084,50.74193548387097,5,4,1573.0,2961.0,7.0,1.0
2026-02-16,2026-02-16 14:01:00+00:00,-86.0,-103.0,-164.0,-0.13359273670557717,0.0,-0.06679636835278857,27.783783783783782,0,5,771.0,1494.0,103.0,1.0
2026-02-17,2026-02-17 13:01:00+00:00,-54.0,-28.0,4.0,-0.01348747591522158,0.0,-0.006743737957610796,63.87692307692308,3,5,2076.0,3436.0,28.0,1.0
2026-02-19,2026-02-19 13:04:00+00:00,-65.0,-129.0,-130.0,-0.07513104251601631,0.0,-0.03756552125800816,50.13138686131387,3,4,1717.0,3384.0,129.0,1.0
2026-02-19,2026-02-19 13:39:00+00:00,191.0,238.0,276.0,0.04210898796886058,0.0,0.021054493984430267,68.09638554216868,0,0,5652.0,7882.0,238.0,1.0
2026-02-23,2026-02-23 13:05:00+00:00,13.0,-58.0,-134.0,-0.02468085106382979,1.0,-0.01234042553191489,77.04918032786885,4,3,2350.0,4440.0,58.0,1.0
2026-02-24,2026-02-24 13:03:00+00:00,77.0,141.0,145.0,0.045177827619352774,0.0,0.022588913809676425,73.43529411764706,3,5,3121.0,6909.0,141.0,1.0
2026-02-24,2026-02-24 13:03:00+00:00,77.0,141.0,145.0,0.045177827619352774,0.0,0.022588913809676425,73.43529411764706,3,5,3121.0,6909.0,141.0,1.0
2026-02-25,2026-02-25 13:21:00+00:00,-78.0,-17.0,-153.0,-0.010685103708359522,0.0,-0.005342551854179756,97.9076923076923,0,0,1591.0,3143.0,17.0,1.0
2026-02-25,2026-02-25 14:23:00+00:00,11.0,418.0,740.0,0.05363099820374647,1.0,0.026815499101873197,163.22513089005236,4,3,7794.0,12628.0,418.0,1.0
2026-02-26,2026-02-26 13:04:00+00:00,-31.0,-65.0,-117.0,-0.0551314673452078,0.0,-0.027565733672603898,72.55384615384615,0,3,1179.0,2345.0,65.0,1.0
2026-03-05,2026-03-05 13:25:00+00:00,-79.0,21.0,-116.0,0.006064106266243142,1.0,0.003032053133121604,105.74045801526718,0,5,3463.0,7746.0,21.0,1.0
2026-03-09,2026-03-09 12:55:00+00:00,-29.0,-156.0,-312.0,-0.03175895765472313,0.0,-0.01587947882736157,94.46153846153847,6,5,4912.0,9084.0,156.0,1.0
2026-03-09,2026-03-09 13:01:00+00:00,18.0,-43.0,-136.0,-0.009665093279388626,1.0,-0.004832546639694291,107.20481927710843,7,3,4449.0,8956.0,43.0,1.0
2026-03-12,2026-03-12 12:26:00+00:00,-80.0,2.0,-55.0,0.0007716049382716049,0.0,0.0003858024691357764,84.98360655737704,3,4,2592.0,5975.0,2.0,1.0
2026-03-12,2026-03-12 12:42:00+00:00,-43.0,-219.0,-202.0,-0.07966533284830847,0.0,-0.03983266642415423,64.68235294117648,6,4,2749.0,5288.0,219.0,1.0
2026-03-13,2026-03-13 12:31:00+00:00,222.0,183.0,86.0,0.06097967344218594,0.0,0.030489836721092956,60.62626262626262,10,7,3001.0,5800.0,183.0,1.0
2026-03-17,2026-03-17 12:26:00+00:00,-59.0,214.0,598.0,0.06434155141310884,0.0,0.032170775706554466,76.02285714285715,0,4,3326.0,6108.0,214.0,1.0
2026-03-17,2026-03-17 12:56:00+00:00,65.0,111.0,11.0,0.05199063231850117,1.0,0.025995316159250548,93.84615384615384,0,0,2135.0,6625.0,111.0,1.0
2026-03-19,2026-03-19 12:01:00+00:00,33.0,32.0,-41.0,0.008268733850129198,0.0,0.004134366925064636,91.05882352941177,0,6,3870.0,6933.0,32.0,1.0
2026-03-19,2026-03-19 12:03:00+00:00,-264.0,-52.0,-233.0,-0.013091641490433032,0.0,-0.006545820745216535,66.2,3,12,3972.0,7651.0,52.0,1.0
2026-03-20,2026-03-20 12:01:00+00:00,41.0,-94.0,-291.0,-0.02876376988984088,1.0,-0.014381884944920431,56.58874458874459,5,3,3268.0,6119.0,94.0,1.0
2026-03-20,2026-03-20 12:06:00+00:00,-43.0,-45.0,-287.0,-0.009700366458288425,1.0,-0.0048501832291442115,80.32900432900433,8,4,4639.0,7681.0,45.0,1.0
2026-03-24,2026-03-24 12:06:00+00:00,-143.0,-367.0,-325.0,-0.0642169728783902,0.0,-0.032108486439195116,54.82014388489208,3,4,5715.0,7809.0,367.0,1.0
2026-03-25,2026-03-25 12:01:00+00:00,126.0,-3.0,-72.0,-0.0004672169444011836,1.0,-0.0002336084722006082,85.04635761589404,10,4,6421.0,8996.0,3.0,1.0
2026-03-26,2026-03-26 13:21:00+00:00,293.0,426.0,183.0,0.09603246167718665,0.0,0.0480162308385933,90.53061224489795,3,6,4436.0,9169.0,426.0,1.0
2026-03-31,2026-03-31 12:59:00+00:00,-274.0,-19.0,34.0,-0.003340953050817654,0.0,-0.0016704765254088039,97.21367521367522,3,4,5687.0,11208.0,19.0,1.0
2026-03-31,2026-03-31 13:21:00+00:00,177.0,329.0,288.0,0.09296411415654139,0.0,0.04648205707827069,88.475,5,3,3539.0,9266.0,329.0,1.0
2026-04-02,2026-04-02 13:01:00+00:00,-90.0,-31.0,76.0,-0.006048780487804878,0.0,-0.0030243902439024417,131.4102564102564,6,3,5125.0,9420.0,31.0,1.0
2026-04-06,2026-04-06 12:47:00+00:00,72.0,82.0,180.0,0.031857031857031856,0.0,0.015928515928515963,67.73684210526316,5,0,2574.0,4476.0,82.0,1.0
2026-04-07,2026-04-07 12:01:00+00:00,-48.0,-132.0,-223.0,-0.08058608058608059,0.0,-0.040293040293040316,64.87128712871286,3,6,1638.0,5323.0,132.0,1.0
