day,ft,oos,R,pl,big_R2,reach4,gap_abs,gap_pts,expiry_week,cvd_5,cvd_15,cvd_30,cvd_norm_15,abs_cvd_15,delta_div_15,absorp_15,vol_15,vol_30,stack_bid_bin,stack_ask_bin,absorp_atr,absorp_rel,vol_15_rel,vol_30_rel,stack_bid_exc,stack_ask_exc
2025-10-06,2025-10-06 13:07:00+00:00,False,-1.0350877192982455,-206.5,False,False,184.25,184.25,False,85.0,57.0,-64.0,0.014664265500385902,57.0,0.0,182.91764705882352,3887.0,6636.0,0.0,1.0,17.0656213249706,1.1008983504133827,1.471930322824955,1.1785286151933578,-0.4166666666666667,0.5333333333333333
2025-10-07,2025-10-07 12:23:00+00:00,False,5.033333333333333,528.5,True,True,28.0,28.0,False,80.0,47.0,353.0,0.02256361017762842,47.0,0.0,108.20779220779221,2083.0,4711.0,1.0,0.0,9.219728106228265,1.1289646229559218,1.295800933125972,1.6071641791044775,0.55,-0.43333333333333335
2025-10-08,2025-10-08 12:04:00+00:00,False,2.5625,246.0,True,True,41.5,41.5,False,-79.0,-65.0,379.0,-0.06545820745216516,65.0,0.0,79.44,993.0,3823.0,1.0,1.0,4.084018801410106,0.8288215461913848,0.6117357153858001,1.2162570587767438,0.55,0.5666666666666667
2025-10-08,2025-10-08 12:30:00+00:00,False,-1.0714285714285714,-105.0,False,False,41.5,41.5,False,55.0,71.0,-269.0,0.025921869295363272,71.0,0.0,109.56,2739.0,4739.0,1.0,1.0,11.264982373678025,0.8468044497599096,1.1937241229025932,1.145031712473573,0.5666666666666667,0.5166666666666666
2025-10-09,2025-10-09 12:11:00+00:00,False,-1.0606060606060606,-52.5,False,False,4.75,-4.75,False,3.0,-57.0,-92.0,-0.03551401869158879,57.0,0.0,105.24590163934427,1605.0,2622.0,0.0,1.0,6.432405353181135,1.098062322847781,0.9887571230555984,0.8341684562157003,-0.45,0.55
2025-10-10,2025-10-10 12:39:00+00:00,False,2.122448979591837,104.0,True,False,24.25,24.25,False,-167.0,-250.0,-263.0,-0.13676148796498905,250.0,0.0,100.16438356164383,1828.0,3211.0,0.0,0.0,7.4077719082422755,0.7962218462306148,0.867790173273202,0.785565749235474,-0.4666666666666667,-0.5166666666666666
2025-10-13,2025-10-13 12:06:00+00:00,False,-1.0408163265306123,-306.0,False,False,381.25,381.25,False,-41.0,-204.0,-194.0,-0.03965785381026438,204.0,0.0,114.94972067039106,5144.0,9454.0,1.0,1.0,15.324998670000532,1.1993052016654244,3.20898315658141,2.965495608531995,0.5,0.5666666666666667
2025-10-16,2025-10-16 12:27:00+00:00,False,-1.0363636363636364,-57.0,False,False,137.25,137.25,False,-10.0,-10.0,-242.0,-0.003652300949598247,10.0,0.0,144.10526315789474,2738.0,5482.0,0.0,1.0,6.996805694989504,1.5094747819530556,1.4370817478021256,1.3683619344773792,-0.5833333333333333,0.4666666666666667
2025-10-16,2025-10-16 12:31:00+00:00,False,2.399122807017544,478.625,True,True,137.25,137.25,False,118.0,86.0,-82.0,0.029965156794425088,86.0,0.0,47.833333333333336,2870.0,6224.0,1.0,1.0,7.334124304097838,0.38151165220226474,1.103846153846154,1.3299855761525723,0.4833333333333334,0.44999999999999996
2025-10-17,2025-10-17 12:34:00+00:00,False,-1.064516129032258,-214.5,False,True,106.25,-106.25,False,-199.0,-44.0,127.0,-0.006444053895723492,44.0,0.0,118.74782608695652,6828.0,15823.0,1.0,1.0,16.416280267903144,0.982826119375566,2.626153846153846,3.381163523692505,0.4833333333333334,0.44999999999999996
