ft,day,oos,bar,peak_R,R,pl,resume,cvd_roll_dir,cvd_since_dir,imb_roll_dir,absorp_roll,delta_div_roll
2025-10-06 13:07:00+00:00,2025-10-06,False,23,1.7017543859649122,-1.0350877192982455,-206.5,False,185.0,249.0,0.029920750444767913,207.83193277310923,0.0
2025-10-07 12:23:00+00:00,2025-10-07,False,16,1.4666666666666666,5.033333333333333,528.5,True,202.0,190.0,0.11050328227571116,121.86666666666666,0.0
2025-10-08 12:04:00+00:00,2025-10-08,False,6,2.1875,2.5625,246.0,True,135.0,77.0,0.09789702683103699,47.96521739130435,0.0
2025-10-10 12:39:00+00:00,2025-10-10,False,5,1.653061224489796,2.122448979591837,104.0,True,137.0,-50.0,0.040472673559822744,96.02836879432624,0.0
2025-10-13 12:06:00+00:00,2025-10-13,False,1,1.183673469387755,-1.0408163265306123,-306.0,False,212.0,20.0,0.04208019055180627,112.58100558659218,0.0
2025-10-16 12:31:00+00:00,2025-10-16,False,4,1.912280701754386,2.399122807017544,478.625,True,158.0,19.0,0.04465799886941775,58.96666666666667,0.0
2025-10-17 12:34:00+00:00,2025-10-17,False,1,1.2580645161290323,-1.064516129032258,-214.5,True,-107.0,-1.0,-0.015691450359290218,118.59130434782608,0.0
2025-10-20 12:11:00+00:00,2025-10-20,False,30,1.2407407407407407,1.9074074074074077,360.5,True,195.0,204.0,0.10839355197331851,80.85393258426966,0.0
2025-10-22 12:04:00+00:00,2025-10-22,False,4,2.0,-1.0714285714285714,-105.0,True,180.0,109.0,0.05366726296958855,98.6470588235294,0.0
2025-10-23 12:01:00+00:00,2025-10-23,False,20,1.606060606060606,0.7575757575757576,50.0,True,195.0,306.0,0.05071521456436931,111.44927536231884,0.0
2025-10-27 12:03:00+00:00,2025-10-27,False,10,1.75,-1.05,-315.0,True,145.0,59.0,0.06252695127210005,84.32727272727273,0.0
2025-10-28 12:12:00+00:00,2025-10-28,False,8,2.1142857142857143,1.0857142857142856,114.0,True,547.0,385.0,0.21663366336633663,82.11382113821138,0.0
2025-10-30 12:11:00+00:00,2025-10-30,False,5,1.9661016949152543,2.9322033898305087,346.0,True,512.0,355.0,0.12592228234136743,46.46857142857143,0.0
2025-10-30 13:02:00+00:00,2025-10-30,False,1,1.4,0.9111111111111112,143.5,True,718.0,-65.0,0.08413405202718538,166.51707317073172,0.0
