day,ft,ec_delta,ec_fp_imb,ec_delta_hi_lo,ec_aggr_flip,oos
2026-04-17,2026-04-17 12:25:00+00:00,174.0,0.3023255813953488,0.008645533141210375,0.0,True
2026-04-20,2026-04-20 12:01:00+00:00,96.0,0.375,0.022123893805309734,0.0,True
2026-04-24,2026-04-24 12:24:00+00:00,78.0,0.2876712328767123,0.006535947712418301,1.0,True
2026-04-27,2026-04-27 12:25:00+00:00,-79.0,-0.26666666666666666,-0.011185682326621925,0.0,True
2026-04-29,2026-04-29 12:03:00+00:00,1.0,0.047619047619047616,0.05970149253731343,1.0,True
2026-04-29,2026-04-29 12:41:00+00:00,85.0,0.37254901960784315,0.0056657223796034,0.0,True
2026-04-30,2026-04-30 13:12:00+00:00,-62.0,-0.021739130434782608,0.004694835680751174,0.0,True
2026-05-01,2026-05-01 12:41:00+00:00,4.0,0.0,0.006024096385542169,1.0,True
2026-05-04,2026-05-04 12:13:00+00:00,51.0,0.07142857142857142,0.008,0.0,True
2026-05-11,2026-05-11 12:04:00+00:00,-64.0,-0.12121212121212122,0.026490066225165563,0.0,True
2026-05-11,2026-05-11 12:34:00+00:00,-32.0,-0.019230769230769232,0.06711409395973154,0.0,True
2026-05-18,2026-05-18 12:06:00+00:00,12.0,0.018867924528301886,0.006097560975609756,1.0,True
2026-05-19,2026-05-19 12:37:00+00:00,129.0,0.19,0.00375234521575985,0.0,True
2026-05-19,2026-05-19 13:07:00+00:00,-79.0,-0.12244897959183673,0.002758620689655172,0.0,True
2026-05-20,2026-05-20 13:22:00+00:00,-1.0,0.058823529411764705,0.020080321285140562,1.0,True
2026-05-21,2026-05-21 13:06:00+00:00,-23.0,0.016666666666666666,0.007874015748031496,1.0,True
2026-05-22,2026-05-22 12:01:00+00:00,-24.0,-0.25,0.01694915254237288,1.0,True
2026-05-22,2026-05-22 13:17:00+00:00,16.0,-0.07142857142857142,0.036036036036036036,0.0,True
2026-05-26,2026-05-26 12:26:00+00:00,42.0,0.3181818181818182,0.012048192771084338,0.0,True
2026-05-29,2026-05-29 12:55:00+00:00,14.0,0.21052631578947367,0.028985507246376812,0.0,True
2026-05-29,2026-05-29 13:13:00+00:00,40.0,-0.038461538461538464,0.018691588785046728,0.0,True
2026-06-01,2026-06-01 12:27:00+00:00,39.0,0.08695652173913043,0.015228426395939087,1.0,True
2026-06-02,2026-06-02 12:23:00+00:00,75.0,0.3448275862068966,0.010526315789473684,1.0,True
2026-06-08,2026-06-08 12:11:00+00:00,-89.0,-0.3108108108108108,0.00554016620498615,0.0,True
2026-06-08,2026-06-08 12:11:00+00:00,-89.0,-0.3108108108108108,0.00554016620498615,0.0,True
2026-06-09,2026-06-09 12:28:00+00:00,6.0,0.037037037037037035,0.05952380952380952,1.0,True
2026-06-12,2026-06-12 12:11:00+00:00,5.0,0.06896551724137931,0.07228915662650602,1.0,True
2026-06-15,2026-06-15 12:18:00+00:00,-83.0,-0.34523809523809523,0.0,0.0,True
2026-06-15,2026-06-15 13:13:00+00:00,2.0,-0.16666666666666666,0.014150943396226415,1.0,True
2026-06-15,2026-06-15 13:13:00+00:00,2.0,-0.16666666666666666,0.014150943396226415,1.0,True
2026-06-16,2026-06-16 12:40:00+00:00,66.0,0.22448979591836735,-0.0035971223021582736,0.0,True
2026-06-16,2026-06-16 12:40:00+00:00,66.0,0.22448979591836735,-0.0035971223021582736,0.0,True
2026-06-18,2026-06-18 13:07:00+00:00,79.0,-0.07142857142857142,0.004484304932735426,0.0,True
2026-06-19,2026-06-19 12:01:00+00:00,4.0,0.3,0.07894736842105263,0.0,True
2026-06-24,2026-06-24 12:03:00+00:00,23.0,0.09090909090909091,0.01775147928994083,1.0,True
2026-06-24,2026-06-24 12:03:00+00:00,23.0,0.09090909090909091,0.01775147928994083,1.0,True
2026-06-25,2026-06-25 13:07:00+00:00,0.0,0.06382978723404255,0.017241379310344827,1.0,True
2026-06-26,2026-06-26 13:16:00+00:00,-16.0,-0.07547169811320754,0.019230769230769232,1.0,True
2026-06-26,2026-06-26 13:20:00+00:00,-90.0,0.07692307692307693,0.0020491803278688526,1.0,True
2026-06-29,2026-06-29 12:55:00+00:00,2.0,0.25,0.02702702702702703,1.0,True
2026-06-29,2026-06-29 12:55:00+00:00,2.0,0.25,0.02702702702702703,1.0,True
2026-06-30,2026-06-30 12:01:00+00:00,-23.0,-0.03571428571428571,0.0,0.0,True
2026-06-30,2026-06-30 12:26:00+00:00,-73.0,-0.2236842105263158,0.00906344410876133,1.0,True
2026-07-06,2026-07-06 12:23:00+00:00,-7.0,-0.16666666666666666,0.01834862385321101,1.0,True
2026-07-10,2026-07-10 13:16:00+00:00,9.0,0.18181818181818182,0.018018018018018018,1.0,True
2026-07-10,2026-07-10 13:16:00+00:00,9.0,0.18181818181818182,0.018018018018018018,1.0,True
