day,stance,stance_asked,health_override,book,act,size,pl,oracle,hit,orc,e3,e4
2024-03-14,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,415,MOMENTUM,True,415,-239,415
2024-03-15,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-450,FLAT,False,0,-118,-450
2024-03-18,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-18,-440
2024-03-19,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-315,ROTATION,False,845,845,-315
2024-03-20,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-495,FLAT,False,0,-4,-495
2024-03-21,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,355,328,355
2024-03-22,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-300,FLAT,False,0,-298,-300
2024-03-25,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,ROTATION,False,1048,1048,505
2024-03-26,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,315,164,315
2024-03-27,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-320,ROTATION,False,185,185,-320
2024-03-28,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,195,ROTATION,False,200,200,195
2024-04-01,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,350,-270,350
2024-04-02,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-390,FLAT,False,0,-340,-390
2024-04-03,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,705,MOMENTUM,True,705,0,705
2024-04-04,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-425,FLAT,False,0,-205,-425
2024-04-05,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-150,FLAT,False,0,-630,-150
2024-04-08,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,470,MOMENTUM,True,470,-14,470
2024-04-09,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-305,ROTATION,False,240,240,-305
2024-04-10,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-471,0
2024-04-11,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-365,ROTATION,False,220,220,-365
2024-04-12,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-165,ROTATION,False,920,920,-165
2024-04-15,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-350,FLAT,False,0,-725,-350
2024-04-16,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,1445,MOMENTUM,True,1445,1145,1445
2024-04-17,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-370,ROTATION,False,141,141,-370
2024-04-18,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,1450,MOMENTUM,True,1450,-550,1450
2024-04-19,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,235,MOMENTUM,True,235,-265,235
2024-04-22,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,695,MOMENTUM,True,695,496,695
2024-04-23,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,960,ROTATION,False,1210,1210,960
2024-04-24,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,235,MOMENTUM,True,235,166,235
2024-04-25,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-360,ROTATION,False,238,238,-360
2024-04-26,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,1080,MOMENTUM,True,1080,24,1080
2024-04-29,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-550,ROTATION,False,12,12,-550
2024-04-30,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-470,FLAT,False,0,-126,-470
